step,eval,ess,ess_shaped,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.04583333333333333,,,,,,,,,,,,
1,,0.28292409156551557,0.28286229121906226,0.0,0.008185384106649823,0.0,0.0,0.014712583739310503,1293.78515625,0.02734375,0.2657088041305542,0.03515625,0.0007806042221274773
2,,0.29640199676532786,0.2963164456818457,0.0,0.00924371844834327,0.0,0.0,0.022387619595974684,1523.0234375,0.0380859375,0.2574445903301239,0.0576171875,0.0011599574606029216
3,,0.29350798699035396,0.29365635029427495,0.0,0.009244376749612378,0.0,0.0,0.023501196410506964,1468.3896484375,0.015625,0.1353873610496521,0.0712890625,0.0005884028754041815
4,,0.30834920081968875,0.30840403337913075,0.0,0.005976220304005334,0.0,0.0,0.02430907031521201,1515.87109375,0.01953125,0.147646963596344,0.10546875,0.00031627924630504996
5,,0.28060389241516565,0.28056656060193197,0.0,0.008602849580609447,0.0,0.0,0.016117990482598543,1441.6962890625,0.0166015625,0.11265966296195984,0.068359375,0.0004749451642055054
6,,0.2981859661472575,0.29706499459343644,0.0,0.005386339778922122,0.0,0.0,0.019733088556677103,1280.7529296875,0.0126953125,0.09547854214906693,0.10546875,0.0003080240024380438
7,,0.2926205578911823,0.2924723581789118,0.0,0.005970567432156384,0.0,0.0,0.019763068296015263,1314.26953125,0.017578125,0.11627548187971115,0.1240234375,0.00044599616629103
8,,0.3570981502112777,0.35667646780825835,0.0,0.005473311175775781,0.0,0.0,0.020063672680407763,1240.3466796875,0.0029296875,0.054051369428634644,0.1259765625,0.0003956407684100327
9,,0.3388175245061658,0.3389746707338841,0.0,0.005325211206762095,0.0,0.0,0.01929549966007471,1288.0478515625,0.0107421875,0.0550246387720108,0.1396484375,0.00033645985684028714
10,0.05416666666666667,0.38971497354905993,0.3898314023189611,0.0,0.004696166789020491,0.0,0.0,0.017574354773387313,1222.3388671875,0.0107421875,0.03455226123332977,0.1220703125,0.00035664546952149514
11,,0.4593905618823981,0.4600387667880678,0.0,0.0053916769895305024,0.0,0.0,0.018213400151580572,1080.1025390625,0.00390625,0.024946339428424835,0.1611328125,0.0004140281091499294
12,,0.3466674971704632,0.3462737238064629,0.0,0.00498249306581528,0.0,0.0,0.01670886413194239,1190.7724609375,0.0048828125,0.02789260633289814,0.109375,0.00043570430254173215
13,,0.3927418904179259,0.3933597300044299,0.0,0.0048209309383199905,0.0,0.0,0.020714905578643084,1212.90625,0.0068359375,0.022403815761208534,0.1484375,0.00040512050038898906
14,,0.3683557759507551,0.3769573768980942,0.0,0.004873905080301354,0.0,0.0,0.018640449736267328,1136.25390625,0.0107421875,0.02506422810256481,0.1318359375,0.00039511962384134825
15,,0.3354277569242242,0.3372220392308291,0.0,0.005018337502151525,0.0,0.0,0.01891900599002838,1054.09375,0.0029296875,0.018840357661247253,0.140625,0.0005380911893742754
16,,0.385944115520494,0.38906267205637024,0.0,0.004797952430154689,0.0,0.0,0.02051934413611889,1368.5498046875,0.0166015625,0.017242582514882088,0.1259765625,0.00048659985887479165
17,,0.43050071976448107,0.43597501504645353,0.0,0.004516243709506397,0.0,0.0,0.0191445704549551,1429.767578125,0.015625,0.01679534837603569,0.16015625,0.0005306424776958106
18,,0.3689591039285163,0.3885056671601844,0.0,0.004943085672535687,0.0,0.0,0.020246128551661968,1452.173828125,0.01953125,0.015150796622037888,0.1318359375,0.0005492591314075227
19,,0.359258189118406,0.355280516901612,0.0,0.0048465980717295395,0.0,0.0,0.019849480129778385,1340.3466796875,0.0126953125,0.01969270594418049,0.1123046875,0.0006159652914566511
20,0.025,0.3705855716983195,0.39240210408690307,0.0,0.005466993465907424,0.0,0.0,0.020725605310872197,1307.095703125,0.01171875,0.01538434810936451,0.1416015625,0.0005609810630917066
21,,0.35259453909748495,0.35164981068948353,0.0,0.004992171244897403,0.0,0.0,0.022513930685818195,1342.7890625,0.0126953125,0.013612672686576843,0.166015625,0.0005822675421522188
22,,0.3052859875997235,0.3113780012059392,0.0,0.005579638849378413,0.0,0.0,0.017685239436104894,1250.435546875,0.0087890625,0.014494352973997593,0.1328125,0.000656528391129116
23,,0.39834325873127013,0.41935075425488133,0.0,0.004254561378769154,0.0,0.0,0.01966432062909007,1251.8427734375,0.0078125,0.012045653536915779,0.17578125,0.0005410040754265126
24,,0.35546462819859764,0.35448723190147974,0.0,0.0049206483279911565,0.0,0.0,0.02257719449698925,1453.8720703125,0.0087890625,0.013197352178394794,0.166015625,0.000621049582217838
25,,0.3289435756874847,0.3529199622857572,0.0,0.005236635840826486,0.0,0.0,0.02132277376949787,1393.7041015625,0.0087890625,0.012381846085190773,0.1396484375,0.000805387749122945
26,,0.35648332721092374,0.37035330675415623,0.0,0.0047581563090435715,0.0,0.0,0.020708095282316208,1275.1513671875,0.0078125,0.011293886229395866,0.1689453125,0.0006533115802081993
27,,0.4291875176125557,0.44457315874790104,0.0,0.004934483212745519,0.0,0.0,0.018680167151615024,1293.0888671875,0.009765625,0.011062908917665482,0.09765625,0.0006274208357348176
28,,0.3850231687271565,0.39415662431663845,0.0,0.005061800049082752,0.0,0.0,0.018773916643112898,1130.81640625,0.00390625,0.010782063007354736,0.146484375,0.0006088763960464169
29,,0.37572503146472197,0.41767302821527236,0.0,0.00456464532805038,0.0,0.0,0.019231473561376333,1244.14453125,0.0126953125,0.010821368545293808,0.1455078125,0.0005827714909049151
30,0.04583333333333333,0.37340195637925533,0.3952958215438752,0.0,0.004578377991322519,0.0,0.0,0.017916121752932668,1185.349609375,0.0068359375,0.010249873623251915,0.12890625,0.0006033477650841945
31,,0.37315157220926004,0.39547774771981425,0.0,0.004414164729771464,0.0,0.0,0.01878390833735466,1279.8486328125,0.0146484375,0.010035227984189987,0.150390625,0.000623193905658089
32,,0.39804765100666906,0.4199491427334736,0.0,0.005049209463624322,0.0,0.0,0.021144710946828127,1217.162109375,0.0078125,0.011029200628399849,0.1240234375,0.0007269727201002496
33,,0.31511051828531284,0.3430629012666843,0.0,0.004779868633838407,0.0,0.0,0.0238683158531785,1219.048828125,0.0107421875,0.009963052347302437,0.1572265625,0.0009965785106160752
34,,0.3807500720151239,0.3791633876220826,0.0,0.004514501914957114,0.0,0.0,0.02122805407270789,1146.5830078125,0.0029296875,0.008750002831220627,0.1845703125,0.0006175244499668034
35,,0.32706625648702825,0.33096305632794654,0.0,0.004357307739310297,0.0,0.0,0.01922005880624056,1377.3505859375,0.005859375,0.01005083043128252,0.1064453125,0.0006963716570135757
36,,0.3158809772027016,0.3464061749118346,0.0,0.004715210481690071,0.0,0.0,0.01824916433542967,1203.1552734375,0.0087890625,0.008976190350949764,0.1162109375,0.0005144457727931002
37,,0.34529923348358843,0.37475658329981365,0.0,0.004495777742637065,0.0,0.0,0.019363361177966,1308.5595703125,0.009765625,0.00977044552564621,0.1181640625,0.0006659889186128084
38,,0.3205026842005884,0.3529087781119802,0.0,0.004548465028393619,0.0,0.0,0.01911279559135437,1410.3173828125,0.01953125,0.010448168963193893,0.103515625,0.0005079886352260267
39,,0.34085430813093887,0.37375642721075597,0.0,0.004081082793936507,0.0,0.0,0.021640021353960037,1461.3369140625,0.0166015625,0.014945654198527336,0.1396484375,0.0006586690887604917
40,0.052083333333333336,0.3710949363693599,0.38604045870966686,0.0,0.00457005702068445,0.0,0.0,0.016209737164899707,1295.7685546875,0.0107421875,0.008884277194738388,0.1162109375,0.0006402773145507148
41,,0.3308088461601272,0.3310898422347212,0.0,0.004044229539820663,0.0,0.0,0.02144735772162676,1391.0498046875,0.0087890625,0.009445296600461006,0.16796875,0.0007038367071794077
42,,0.3558822657067449,0.369557725961997,0.0,0.004495068303660855,0.0,0.0,0.01716793398372829,1182.44921875,0.0078125,0.009328882209956646,0.1767578125,0.0007312961494386391
43,,0.37341655126509327,0.4176861242910546,0.0,0.004600085794956153,0.0,0.0,0.021667815279215574,1149.251953125,0.0029296875,0.00781665276736021,0.16796875,0.0007649235413477543
44,,0.40688234031424436,0.4384784489923629,0.0,0.004160621796482992,0.0,0.0,0.017088895430788398,1230.375,0.0048828125,0.007788384798914194,0.14453125,0.0006512248684148723
45,,0.34067112030891084,0.3898016897227245,0.0,0.004193420724766948,0.0,0.0,0.01863219542428851,1166.2041015625,0.001953125,0.008075318299233913,0.1298828125,0.0006914096698361997
46,,0.3633016976761805,0.3733035968347206,0.0,0.004408760250491278,0.0,0.0,0.018176116049289703,1217.8984375,0.001953125,0.008008469827473164,0.1357421875,0.0007961130435068705
47,,0.41070934427549743,0.42712215276163645,0.0,0.004771580711662856,0.0,0.0,0.01864564628340304,1093.2265625,0.001953125,0.00793502852320671,0.1513671875,0.0007647142331042763
48,,0.44241892507823544,0.43874405646953096,0.0,0.004629652258017556,0.0,0.0,0.017161750933155417,973.7939453125,0.0,0.007744463626295328,0.1455078125,0.0006732580110492492
49,,0.3542016668898747,0.3673317936157528,0.0,0.004332096100492889,0.0,0.0,0.016930962214246392,1101.4619140625,0.0,0.007420123554766178,0.1171875,0.0007098341689262118
