step,eval,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.17291666666666666,,,,,,
1,0.18333333333333332,0.6272602189010543,1074.6484375,0.005126953125,0.6293127536773682,0.224609375,4.217295502461385e-05
2,0.16458333333333333,0.4837971812639339,1076.68310546875,0.00439453125,0.5552704334259033,0.2626953125,8.266895230773895e-05
3,0.17083333333333334,0.2012725020756073,1120.727783203125,0.0048828125,0.47153767943382263,0.27587890625,3.510148047755842e-05
4,0.17916666666666667,0.1299633791014848,1141.462890625,0.005615234375,0.4125748872756958,0.247314453125,4.878328517113727e-05
5,0.17916666666666667,0.12764241149445596,1139.950439453125,0.00439453125,0.34025517106056213,0.29541015625,3.217796225953862e-05
6,0.18333333333333332,0.18920377511775688,1103.144775390625,0.002197265625,0.3068961501121521,0.302490234375,3.787181719729915e-05
7,0.16041666666666668,0.11155935708671669,1121.266845703125,0.003173828125,0.27246394753456116,0.31884765625,5.4554306445948674e-05
8,0.17291666666666666,0.0987382594706893,1051.134521484375,0.001953125,0.24452289938926697,0.341064453125,-3.0041779034384317e-05
9,0.16458333333333333,0.11508191475481211,1129.8017578125,0.00341796875,0.23407551646232605,0.38818359375,-2.3167713379230127e-06
10,0.1875,0.12964678115828432,1110.978515625,0.002197265625,0.22500011324882507,0.33642578125,5.416515357190767e-05
11,0.18333333333333332,0.1396122165151593,1141.486328125,0.00244140625,0.22080855071544647,0.368408203125,-2.8145704558113493e-05
12,0.18541666666666667,0.12427199394998895,1094.336181640625,0.002197265625,0.2193063646554947,0.3671875,6.053279939610692e-06
13,0.18958333333333333,0.14177183181529568,1049.286865234375,0.0029296875,0.2247093915939331,0.375732421875,-3.823483033649211e-05
14,0.17916666666666667,0.12838980743578834,1072.9638671875,0.001953125,0.20853936672210693,0.393310546875,6.715111363260938e-06
15,0.1875,0.09680568732894386,1078.798583984375,0.001953125,0.19537265598773956,0.401123046875,2.8331713607580393e-05
16,0.21666666666666667,0.11163839557361997,1070.481201171875,0.001953125,0.1818408966064453,0.392822265625,-3.125154843057011e-06
