step,eval,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.19791666666666666,,,,,,
1,,0.03495538390979348,6900.28857421875,0.579345703125,0.9376873970031738,0.324462890625,-2.2551223917637804e-06
2,,0.03451676288704103,6776.8125,0.54443359375,0.9780453443527222,0.367919921875,-3.1623127256648807e-06
3,,0.03701579377019988,6716.6357421875,0.5341796875,0.9597916603088379,0.3828125,9.532836949204755e-06
4,,0.03601888611487773,6818.5498046875,0.5595703125,0.9850648045539856,0.33544921875,5.692456972079047e-06
5,,0.037288502946642585,6618.41455078125,0.5244140625,0.9085676670074463,0.388671875,5.939247099361209e-06
6,,0.03625779222209359,6473.4609375,0.483154296875,0.927446722984314,0.399169921875,-6.961843283410686e-06
7,,0.03743603810097302,6739.17578125,0.529541015625,0.9525541067123413,0.36083984375,-8.645277846781103e-06
8,,0.03766193344067911,6414.7607421875,0.482421875,0.9255708456039429,0.396728515625,5.550431491209274e-07
9,,0.03882872748310787,6416.150390625,0.4638671875,0.9204242825508118,0.42724609375,2.646903133224618e-06
10,0.25,0.0356931662007219,6409.4462890625,0.474853515625,0.8935273885726929,0.404541015625,-5.084805549693762e-06
11,,0.03930313554621531,6409.6513671875,0.47509765625,0.8978098034858704,0.409912109375,6.871507518615733e-07
12,,0.03695128508604897,6247.1396484375,0.424072265625,0.9072362184524536,0.427978515625,1.0736706433544312e-05
13,,0.03909295699363716,6281.53515625,0.42626953125,0.9163798093795776,0.418701171875,-1.3749043618274703e-05
14,,0.03893148388603622,6002.890625,0.38525390625,0.9099751710891724,0.4287109375,2.032160666670995e-06
15,,0.037613839331017467,6116.65576171875,0.405029296875,0.8890127539634705,0.43212890625,-5.6809428619324465e-06
16,,0.04055180760934861,6107.5380859375,0.400390625,0.859480619430542,0.444580078125,1.3546914688427562e-07
17,,0.03836688146735821,6070.01171875,0.4052734375,0.8776677846908569,0.41943359375,-4.852061461325548e-06
18,,0.041545366931919306,6096.6064453125,0.383544921875,0.9346144199371338,0.394287109375,-8.883093661351877e-06
19,,0.03983076374135814,5868.677734375,0.34423828125,0.8735746741294861,0.455322265625,-1.4053517093171395e-06
20,0.24375,0.039785442700398396,5888.47265625,0.365966796875,0.8573686480522156,0.445556640625,1.451811652779653e-06
21,,0.039870220417788635,6033.283203125,0.369384765625,0.8642598986625671,0.42333984375,3.6863728988622665e-07
22,,0.04203363060239494,5817.12890625,0.31982421875,0.8610884547233582,0.4609375,1.77202055331892e-06
23,,0.0423852194899009,5899.06689453125,0.34228515625,0.8695991039276123,0.4306640625,-4.960642035508783e-06
24,,0.03763376756055255,5947.0576171875,0.376708984375,0.8470832109451294,0.431884765625,6.280026754186177e-08
25,,0.043514170624797024,5709.9755859375,0.32080078125,0.848526120185852,0.464599609375,-4.0204051959658395e-06
26,,0.04009336752225803,5705.06689453125,0.32568359375,0.8448811173439026,0.464111328125,4.8820950619471954e-06
27,,0.04013794792960873,5857.6591796875,0.32861328125,0.8387332558631897,0.44384765625,-5.354823607545792e-06
28,,0.042656452640870555,5769.5615234375,0.29638671875,0.8948686718940735,0.44775390625,-1.8001330812731677e-06
29,,0.041344687338462784,5641.767578125,0.30517578125,0.8493980169296265,0.4443359375,9.559638918490686e-07
30,0.27708333333333335,0.04269853961000744,5734.009765625,0.304443359375,0.8502907156944275,0.460205078125,-6.767988166780279e-06
31,,0.042691122175692875,5593.8955078125,0.281005859375,0.8328326940536499,0.46923828125,2.0473663379020717e-06
32,,0.04010876355900092,5522.09619140625,0.283935546875,0.8053355813026428,0.46142578125,5.467401619296202e-06
33,,0.041919804766820605,5663.8271484375,0.28173828125,0.835913896560669,0.457275390625,-4.265508811673418e-07
34,,0.04343581454779562,5751.046875,0.298583984375,0.8570404052734375,0.431884765625,9.868155013743007e-07
35,,0.04060549385000345,5448.189453125,0.26806640625,0.8224190473556519,0.46044921875,5.1773145197775434e-06
36,,0.04193234767292113,5499.2666015625,0.298095703125,0.776924192905426,0.490478515625,6.233212825492964e-06
37,,0.04225601158383385,5466.7880859375,0.258056640625,0.8262602090835571,0.487548828125,1.2198594845555833e-06
38,,0.041971259669867034,5491.64892578125,0.26904296875,0.7961515784263611,0.478271484375,1.2754306509739817e-05
39,,0.04080431184897797,5588.65185546875,0.2568359375,0.8777477145195007,0.413330078125,1.5124786117828549e-05
40,0.2520833333333333,0.04145931895402889,5560.77099609375,0.275634765625,0.8111047744750977,0.45947265625,1.5010716229310905e-06
41,,0.0434808608871913,5360.8330078125,0.236083984375,0.8104805946350098,0.476806640625,3.009280378465615e-07
42,,0.04244738928976548,5418.3974609375,0.252685546875,0.798596978187561,0.487548828125,8.329266610730537e-06
43,,0.04475233060794981,5207.8916015625,0.21630859375,0.829048216342926,0.48486328125,7.682128737359435e-06
44,,0.039221097181403305,5415.291015625,0.247314453125,0.803668737411499,0.464599609375,3.844834395411784e-06
45,,0.040349584802093275,5448.7880859375,0.25,0.8034936189651489,0.458984375,6.112785768970971e-06
46,,0.04426263897881588,5399.8251953125,0.24365234375,0.8190446496009827,0.452392578125,1.3984371038174476e-05
47,,0.03989769893350943,5495.091796875,0.257568359375,0.8140175938606262,0.449462890625,1.0597097954207558e-06
