step,eval,ess,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.14791666666666667,,,,,,,,,,,
1,,0.3410029414366529,0.0,0.002382973720705445,0.25,0.25,0.023267069716933243,1100.851318359375,0.007080078125,0.08785535395145416,0.224609375,3.4271791479896635e-05
2,,0.3982942754562241,0.0,0.002513659029850033,0.25,0.25,0.01334321239087784,1078.540771484375,0.005859375,0.08609116077423096,0.270263671875,3.55965199421927e-05
3,,0.36454284491415007,0.0,0.0024851804618894373,0.25,0.25,0.014927018886438718,1120.7373046875,0.005859375,0.07244661450386047,0.271240234375,4.901275469080594e-05
4,,0.369319342271789,0.0,0.0026267255761999227,0.25,0.25,0.010090641221578427,1099.71044921875,0.00390625,0.05010967701673508,0.2666015625,6.873499969574464e-05
5,,0.38951554011345213,0.0,0.002341426985405417,0.25,0.25,0.010580616510555295,1066.170654296875,0.00244140625,0.03802064433693886,0.337646484375,7.393698541336609e-05
6,,0.42639366068237106,0.0,0.002293522961924781,0.25,0.25,0.010234436617396626,1041.5029296875,0.002197265625,0.028920577839016914,0.32666015625,3.3456661602699396e-05
7,,0.44352250470657384,0.0,0.0021799169766416604,0.0,0.0,0.04895519899883811,1041.107421875,0.00146484375,0.02403862588107586,0.35009765625,8.629525594813103e-05
8,,0.516428652781109,0.0,0.0020253865822889624,0.125,0.125,0.012779576840463741,999.862548828125,0.003173828125,0.020621273666620255,0.379150390625,3.843156457784423e-05
9,,0.5156089397738564,0.0,0.0018858337211345336,0.125,0.125,0.014243813815873287,1049.01220703125,0.001220703125,0.0186337660998106,0.416015625,1.745576162019239e-05
10,0.18958333333333333,0.524910529530767,0.0,0.0017454947842037876,0.125,0.125,0.012215171986845623,1054.644287109375,0.002197265625,0.01666826196014881,0.3818359375,4.324791776018817e-05
11,,0.4990059143444384,0.0,0.0018383188582065538,0.125,0.125,0.012825268629419486,1072.400146484375,0.002197265625,0.016390975564718246,0.409423828125,1.8208216076620598e-05
12,,0.5561138577194749,0.0,0.001801721355584302,0.125,0.125,0.018383118114318944,1016.898193359375,0.00146484375,0.01547968853265047,0.393798828125,3.2375909688258594e-05
13,,0.5464032227993069,0.0,0.0019014348178650739,0.0,0.0,0.01744235446437167,1010.314208984375,0.00146484375,0.015697447583079338,0.423828125,2.095968236371309e-05
14,,0.5285594877530798,0.0,0.0017983204014483545,0.0,0.0,0.02819932798831258,1001.540771484375,0.000732421875,0.014081928879022598,0.418212890625,1.6745189529743245e-05
15,,0.5614978418579213,0.0,0.0020061608528455926,0.0,0.0,0.016602681926606515,954.69384765625,0.0009765625,0.012057171203196049,0.4345703125,2.398972075562019e-05
16,,0.5678737302856058,0.0,0.001946054878205256,0.125,0.125,0.013862624186032303,967.43115234375,0.001220703125,0.01234736293554306,0.439453125,2.2341158471469076e-05
17,,0.5327217182263232,0.0,0.0019530413866651309,0.125,0.125,0.01659028025668596,971.54833984375,0.0009765625,0.012275708839297295,0.422607421875,4.790489184003372e-07
18,,0.5862093023857204,0.0,0.0019749247239538477,0.0,0.0,0.021399541357251018,960.1103515625,0.00048828125,0.013341786339879036,0.396484375,2.2722642845137328e-05
19,,0.5756400194356948,0.0,0.0018026531794957037,0.0,0.0,0.017004137783249326,967.289794921875,0.00146484375,0.012259429320693016,0.40625,2.3665310936108835e-05
20,0.19791666666666666,0.5823265259810311,0.0,0.0017856853105102928,0.0,0.0,0.016191452409320593,977.99658203125,0.001953125,0.011086268350481987,0.475341796875,2.742339579629993e-05
21,,0.552919282243507,0.0,0.0020570549942464864,0.0,0.0,0.01962856165251195,1053.897705078125,0.001220703125,0.011494205333292484,0.41064453125,1.542627258390593e-05
22,,0.5824301906297964,0.0,0.001784347597919201,0.125,0.125,0.010865692313871423,954.677001953125,0.000244140625,0.011013605631887913,0.4541015625,2.158960631615988e-05
23,,0.5520762081883055,0.0,0.0019204568904302348,0.0,0.0,0.014740599307089649,969.611083984375,0.0009765625,0.011284544132649899,0.41552734375,3.594711585102791e-05
24,,0.5391566783338965,0.0,0.0018511960867962478,0.0,0.0,0.014676853460063345,1021.2099609375,0.0009765625,0.011604207567870617,0.427490234375,3.8571300899705984e-05
25,,0.6234532738317421,0.0,0.0019170842429483343,0.0,0.0,0.02569329268095015,998.56640625,0.001220703125,0.01073608361184597,0.4931640625,3.65653409685159e-05
26,,0.5278133248410137,0.0,0.001769704016642895,0.125,0.125,0.01775128165764294,1042.547607421875,0.001953125,0.010637583211064339,0.48876953125,3.0878185979544954e-05
27,,0.53792608745599,0.0,0.0019799436908583433,0.0,0.0,0.015316110918223828,1046.01171875,0.0029296875,0.010997005738317966,0.447998046875,4.083757146895708e-05
28,,0.5858103763031671,0.0,0.0018616287091097917,0.0,0.0,0.012341352147473908,1096.658203125,0.001953125,0.011226007714867592,0.454833984375,1.935983361889271e-05
29,,0.605027052126744,0.0,0.0017976111216648563,0.0,0.0,0.02679670222450428,1031.787109375,0.001953125,0.010574769228696823,0.447265625,6.485071513149008e-06
30,0.20833333333333334,0.5771427099305915,0.0,0.002050611199936391,0.0,0.0,0.01736031380322245,1053.9091796875,0.001220703125,0.01041420828551054,0.4599609375,1.8668026400487433e-05
31,,0.4864418728677287,0.0,0.0020631317281538217,0.0,0.0,0.017020788748813916,1042.4052734375,0.00048828125,0.010526934638619423,0.4765625,3.909663145967733e-05
32,,0.5352107052533458,0.0,0.002003354323219181,0.0,0.0,0.017586106988981186,1047.91552734375,0.000732421875,0.009957540780305862,0.489501953125,2.189247868200381e-05
33,,0.5681664006977645,0.0,0.0019409945035430809,0.0,0.0,0.017320079772871696,1098.930908203125,0.001220703125,0.01021930854767561,0.48779296875,2.1821331695469502e-05
34,,0.5545550442189515,0.0,0.0019471448652004166,0.0,0.0,0.014643068225872052,1086.32861328125,0.0009765625,0.010468976572155952,0.450927734375,4.464453171206313e-05
35,,0.5711388885341426,0.0,0.002002401709119102,0.0,0.0,0.01810826455936572,1075.572509765625,0.00146484375,0.009839082136750221,0.513916015625,6.963355239140157e-05
36,,0.5351839670008113,0.0,0.0024859889839973135,0.0,0.0,0.018782987506478763,1134.85107421875,0.00146484375,0.009678523987531662,0.5283203125,5.178656507135078e-05
37,,0.5229691644905688,0.0,0.002262288340124792,0.0,0.0,0.018936137301740853,1111.66552734375,0.0009765625,0.010079186409711838,0.505859375,4.367588648242678e-05
38,,0.550720879777902,0.0,0.0018355629604721335,0.0,0.0,0.015073643323118124,1199.458984375,0.002197265625,0.009820721112191677,0.502685546875,6.694157750880928e-05
39,,0.5174412712399686,0.0,0.0022166368172022166,0.0,0.0,0.015495591816974994,1142.50537109375,0.0009765625,0.010329319164156914,0.44873046875,3.2726994010297736e-05
40,0.24791666666666667,0.5446672076173977,0.0,0.0022518752317865535,0.0,0.0,0.015441910601818609,1173.613525390625,0.00048828125,0.010127943009138107,0.510009765625,3.634419000054419e-05
41,,0.5652467909915504,0.0,0.002135415706004857,0.0,0.0,0.014580366729811434,1078.76025390625,0.0009765625,0.009768876247107983,0.525634765625,6.139182798132006e-05
42,,0.5540054073140552,0.0,0.0023145381467691985,0.0,0.0,0.022700140798562668,1125.977783203125,0.000732421875,0.009396244771778584,0.541748046875,5.40252794609724e-05
43,,0.43164894138663534,0.0,0.0025004928267307724,0.0,0.0,0.04556328785643667,1123.445068359375,0.001953125,0.009530462324619293,0.534423828125,3.794049924092688e-05
44,,0.5394897366817297,0.0,0.0022759606614128017,0.0,0.0,0.015795473380529394,1202.9111328125,0.003173828125,0.009780275635421276,0.478759765625,4.743826355172824e-05
45,,0.5561104458499875,0.0,0.0021211229748311087,0.0,0.0,0.015396630194652577,1215.175537109375,0.002685546875,0.009491289965808392,0.497802734375,3.335394703586582e-05
46,,0.4674197539024784,0.0,0.0024129471853175776,0.0,0.0,0.014792426927247679,1222.097412109375,0.002685546875,0.009427952580153942,0.50927734375,6.704100714760239e-05
47,,0.5130507944156423,0.0,0.002264804225848937,0.0,0.0,0.030372219877524156,1224.96044921875,0.00341796875,0.009665446355938911,0.494873046875,4.577858234403227e-05
48,,0.4905849369688832,0.0,0.0023368464005939903,0.0,0.0,0.0188055133735453,1162.494384765625,0.001953125,0.009987680241465569,0.470458984375,6.127008652499674e-05
49,,0.46551636725608414,0.0,0.0022215169329308725,0.0,0.0,0.021301371099985075,1184.5458984375,0.003173828125,0.009568583220243454,0.498779296875,5.443569680287179e-05
50,0.22291666666666668,0.48944434292540095,0.0,0.002110321831680119,0.125,0.125,0.016547671709841352,1235.779052734375,0.00341796875,0.009533961303532124,0.509765625,3.155948736155501e-05
51,,0.5552387317639498,0.0,0.0020881329439857727,0.0,0.0,0.01405314580572238,1218.940673828125,0.00341796875,0.008792978711426258,0.548095703125,3.082605929118169e-05
52,,0.41887984262132477,0.0,0.002615489812504538,0.0,0.0,0.019326958721057625,1222.359375,0.003662109375,0.009161880239844322,0.47607421875,5.379845933598896e-05
53,,0.47646203708638746,0.0,0.0029647087981972786,0.0,0.0,0.039313522718597026,1248.7548828125,0.00439453125,0.008952043019235134,0.5361328125,0.00013758781873758003
54,,0.4217881716706511,0.0,0.0028122926416478426,0.0,0.0,0.01732529681248417,1267.57275390625,0.005126953125,0.00902744010090828,0.533203125,0.00012792679320339296
55,,0.44690212419515957,0.0,0.002321691314943698,0.0,0.0,0.02434185821206919,1246.054443359375,0.004150390625,0.008768046274781227,0.577880859375,0.00011110031773458176
56,,0.48256935079979424,0.0,0.002142755187138487,0.0,0.0,0.017635509839234745,1241.386962890625,0.00439453125,0.008666953071951866,0.58544921875,5.957049657136319e-05
57,,0.476748427898283,0.0,0.0021083321164853787,0.0,0.0,0.02082094902809709,1248.006591796875,0.005126953125,0.008460946381092072,0.5263671875,7.642103608298399e-05
58,,0.4297693163178874,0.0,0.0025596016047653115,0.125,0.125,0.017673987725081785,1264.763671875,0.00439453125,0.008602951653301716,0.537841796875,6.274634099900114e-05
59,,0.46648566263188307,0.0,0.0027814974412839087,0.0,0.0,0.024445417242832116,1261.508056640625,0.00537109375,0.007935866713523865,0.57861328125,9.587405213917699e-05
60,0.24166666666666667,0.49599271624909064,0.0,0.0023254368714290263,0.0,0.0,0.01765460418534233,1252.961181640625,0.00439453125,0.008188337087631226,0.555908203125,7.005938178748017e-05
61,,0.3537533355334736,0.0,0.0028881794819491336,0.125,0.125,0.01916846402427022,1279.004150390625,0.003662109375,0.007880271412432194,0.566650390625,0.00023687546230467167
