step,eval_math500,ess,ess_shaped,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.502,,,,,,,,,,,,
1,,0.42787909852412587,0.4278376850631766,0.5,0.002449779316903568,0.0,0.125,0.03705078058261519,852.665771484375,0.007080078125,0.13858671486377716,0.087158203125,0.00034723805269483893
2,,0.31454350041960033,0.3144064000012036,0.5,0.005437402062232804,0.0,0.125,0.07894554397701695,836.336669921875,0.004638671875,0.10055941343307495,0.127197265625,0.0010055961614199305
3,,0.3956247897684715,0.3958072445262737,0.5,0.0027599387569263657,0.0,0.25,0.11077841103749603,816.848388671875,0.00244140625,0.07170072942972183,0.135009765625,0.00038128986511824314
4,,0.4346434804557477,0.43461014136340764,0.0,0.002592680774690846,0.0,0.0,0.0457018273347183,840.30517578125,0.001953125,0.06006653234362602,0.158447265625,0.00033718170519734614
5,,0.4608447820565925,0.46084460858965726,0.5,0.0009260147047526768,0.0,0.125,0.05202983792330565,846.432861328125,0.001953125,0.05104502663016319,0.1904296875,0.00016128873853715753
6,,0.516978776472113,0.5169779403813787,0.0,0.0012458793940682603,0.0,0.0,0.03504632526960873,826.9306640625,0.000244140625,0.038417086005210876,0.190185546875,0.00011582269019528804
7,,0.3594396398407786,0.35943669017896374,0.0,0.002509483888593372,0.0,0.0,0.030166936276368385,816.637451171875,0.000244140625,0.03482355177402496,0.205322265625,0.0005267844957164888
8,,0.404285387113379,0.40428502506148223,0.0,0.0017491263143538417,0.0,0.0,0.024029563773733782,819.23388671875,0.0,0.02689487859606743,0.243408203125,0.0003967711108978327
9,,0.45931063744885003,0.4591542049127701,0.375,0.0009766175670283584,0.0,0.125,0.034100843371337015,878.866455078125,0.0,0.02121436782181263,0.2958984375,0.0002698289807065229
10,0.704,0.3841997099545457,0.38399247583706914,0.0,0.006945968697145444,0.0,0.0,0.022573055710068207,868.313232421875,0.000244140625,0.018003089353442192,0.258544921875,0.0004993153014737234
11,,0.5239650325901386,0.5239519662430774,0.0,0.0024225117395022147,0.0,0.0,0.022520253172657816,903.253662109375,0.000244140625,0.023966984823346138,0.275146484375,8.320116237367107e-05
12,,0.5816942788514692,0.5816937310270585,0.0,0.0010613469350717704,0.0,0.0,0.021296003422777404,852.380126953125,0.0,0.02251042053103447,0.281982421875,7.720635451339117e-05
13,,0.5605410811771546,0.5605407499946566,0.0,0.0010543895183281965,0.0,0.0,0.01967392420790176,877.2158203125,0.0,0.0225264523178339,0.278564453125,0.0001285690701540567
14,,0.5416733673398134,0.5416730188147637,0.0,0.000869433944614479,0.0,0.0,0.018713700541147404,914.70166015625,0.000244140625,0.02095549926161766,0.302734375,0.00013948409408934083
15,,0.40073431218689626,0.40073354294695457,0.0,0.0028663608559631364,0.0,0.0,0.01974208234354099,894.33251953125,0.000244140625,0.01727437414228916,0.2998046875,0.00046097181855814923
16,,0.5025575827305735,0.5026889533849861,0.5,0.0014403632435454426,0.0,0.125,0.035382685833304534,908.499755859375,0.0,0.014857565052807331,0.31591796875,0.00010930992153456641
17,,0.45845958895030126,0.4596411067028498,0.0,0.0043650586873504055,0.0,0.0,0.02204177484244763,915.6279296875,0.0,0.014688481576740742,0.25634765625,0.0002897919514355759
18,,0.40611107966135085,0.40629412951416843,0.0,0.0052442234100691125,0.0,0.0,0.023288075982263803,920.578125,0.000244140625,0.015968896448612213,0.269287109375,0.0005121547553347673
19,,0.5618786381452845,0.5619424041271639,0.0,0.0023298259972029263,0.0,0.0,0.022336157309081266,952.909423828125,0.000244140625,0.015341871418058872,0.27783203125,0.00022171087361775628
20,0.73,0.6030841022933153,0.6030838957750866,0.0,0.0009515311123026477,0.0,0.0,0.02465531948461064,993.912841796875,0.0,0.014259997755289078,0.32763671875,5.449390672943959e-05
21,,0.49065798468858157,0.4906578322360353,0.0,0.0023679775027938697,0.0,0.0,0.02137095196667463,1055.241943359375,0.0,0.013709093444049358,0.258544921875,0.0002735127881834387
22,,0.494288757099842,0.49437516401793585,0.0,0.0024523100411073992,0.0,0.0,0.03138266557438353,999.108154296875,0.0,0.012758458033204079,0.32470703125,0.0003498893718446065
23,,0.4794503111302857,0.47943497146933883,0.0,0.0018959066728938016,0.0,0.0,0.024349208601089516,976.126708984375,0.0,0.011974507942795753,0.283447265625,0.0003889847471452157
24,,0.529926392473089,0.5305940971524028,0.0,0.001668538100305031,0.0,0.0,0.020948034023719628,1008.603759765625,0.0,0.010662281885743141,0.305908203125,0.00019155293586657353
25,,0.4560939367528253,0.4560717017826158,0.0,0.003032429907542314,0.0,0.0,0.025746636358749676,1016.816162109375,0.0,0.009672321379184723,0.32958984375,0.00024963309668859515
26,,0.4270866692943108,0.427427844007183,0.0,0.0034172635134426086,0.0,0.0,0.029643870823604892,1058.52783203125,0.0,0.009769054129719734,0.339599609375,0.0003428645104023668
27,,0.4210091784334891,0.42096176511120753,0.0,0.0031666739113166524,0.0,0.0,0.02420746244511825,1017.305419921875,0.000244140625,0.010418305173516273,0.31201171875,0.00031195171209989303
28,,0.43741695886392506,0.44736459187763533,0.0,0.0027573867193780165,0.0,0.0,0.024083326238380446,1050.57958984375,0.0,0.010902194306254387,0.29443359375,0.00022538720928366726
29,,0.391038941002229,0.39279907494637506,0.25,0.0037415738284277858,0.0,0.125,0.03093525048787588,982.86181640625,0.0,0.009946498088538647,0.326171875,0.00034986488849568785
30,0.708,0.28443216748871347,0.29746474372329945,0.25,0.006376602461405555,0.0,0.375,0.03915912039628086,1007.60693359375,0.0,0.009609602391719818,0.29833984375,0.0009400398254257424
31,,0.2923700001365151,0.2936996390982644,0.5,0.005648167699025593,0.0,0.375,0.06500707542935336,1027.687744140625,0.0,0.009844058193266392,0.31884765625,0.0009132578621508477
32,,0.2451644060511396,0.24673169420571145,0.5,0.0069767311298533806,0.0,0.375,0.04133226561796985,1074.199462890625,0.0,0.009843641892075539,0.32177734375,0.001033823827472386
33,,0.2699048881937962,0.26973020203742915,0.625,0.005467558833295793,0.0,0.625,0.05920226372459224,1076.50341796875,0.000244140625,0.009824139066040516,0.330810546875,0.0010201742665034213
34,,0.2489030902346882,0.26790660360258556,0.5,0.007310107787185801,0.0,0.5,0.042143745639983556,1054.03369140625,0.0,0.010727914050221443,0.286865234375,0.001046902732005053
35,,0.3238120591269972,0.35108304030979065,0.625,0.0039033218205947614,0.0,0.125,0.15015929898688807,1073.27001953125,0.0,0.010089607909321785,0.3466796875,0.0005700523627136059
