step,eval,ess,frac_upper,skipped,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.16875,,,,,,,,,
1,,0.41274705660049327,0.0023580664120125086,0.0,0.01973094575200465,1110.17626953125,0.006591796875,0.0893147811293602,0.2099609375,1.45631335039198e-05
2,,0.3255370785647206,0.0025800629433614646,0.0,0.028988164257563294,1079.271240234375,0.006103515625,0.08528780192136765,0.256103515625,0.00014964155115010133
3,,0.3977447559934073,0.0025616528923705414,0.0,0.0227459906765877,1075.7294921875,0.0048828125,0.05755038931965828,0.284423828125,0.00011243452106726911
4,,0.3854041886420938,0.0026670008659272428,0.0,0.020270177065946193,1092.1142578125,0.003662109375,0.043420083820819855,0.280517578125,9.942428328854428e-05
5,,0.4150494347320573,0.002457251138101665,0.0,0.022013494053763183,1057.445556640625,0.001708984375,0.028852473944425583,0.341552734375,4.706806252667346e-05
6,,0.4378131404000406,0.0024442575038592317,0.0,0.02020856773940859,1039.193115234375,0.001708984375,0.027824461460113525,0.330078125,4.602731093703325e-05
7,,0.4386479111550875,0.0024008581794671613,0.0,0.0199359710582242,1051.8603515625,0.00244140625,0.02463582530617714,0.3466796875,4.317413512295864e-05
8,,0.5291440845661695,0.002239126703766755,0.0,0.013733814906023909,959.6591796875,0.000244140625,0.01947038248181343,0.3662109375,5.322561386758512e-05
9,,0.514807966600442,0.0021072394880523875,0.0,0.01838248283198122,1033.01025390625,0.001220703125,0.018502838909626007,0.41357421875,2.7767052572080787e-05
10,0.2,0.5406998615643722,0.0019644677926368543,0.0,0.023775782543422722,1011.483154296875,0.001220703125,0.017085421830415726,0.376953125,3.2410253328397765e-05
11,,0.5089503127095407,0.001947205947743371,0.0,0.015367190203501463,1043.397216796875,0.001220703125,0.015992101281881332,0.41015625,1.9769066579142542e-05
12,,0.5362090491765772,0.0021227589474634616,0.0,0.019555152828843445,950.6572265625,0.000244140625,0.014386912807822227,0.3974609375,2.0097282670761273e-05
13,,0.5571829072482124,0.0020581142237858724,0.0,0.0194947234010445,958.796875,0.001220703125,0.014535871334373951,0.417236328125,1.2530091333617932e-05
14,,0.5305163973160577,0.0020528894669960534,0.0,0.023726539162308834,959.8349609375,0.00146484375,0.01418430358171463,0.430908203125,1.3921580706223304e-05
