step,eval,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.15833333333333333,,,,,,
1,,0.42985115380219296,1107.709228515625,0.007080078125,0.604651689529419,0.22705078125,4.568319463834928e-05
2,,0.19849363591740424,1083.507568359375,0.005615234375,0.5789721608161926,0.267578125,0.00017592761803575654
3,,0.20801433470403757,1117.5224609375,0.0029296875,0.42948275804519653,0.2919921875,0.00011130585445150477
4,,0.2785943172602257,1086.558837890625,0.00341796875,0.3075578808784485,0.283447265625,0.00018140046458078554
5,,0.15257871351297098,1088.522705078125,0.002685546875,0.22935007512569427,0.35546875,8.424764518428773e-05
6,,0.29765258551163254,1004.42919921875,0.000732421875,0.17682498693466187,0.33642578125,4.10189328952389e-05
7,,0.13236054417315046,1003.009521484375,0.0009765625,0.17247295379638672,0.37255859375,3.0722445116953484e-05
8,,0.17922318940940885,969.3310546875,0.0,0.14034855365753174,0.38427734375,3.374091718314611e-05
9,,0.176866124995398,1044.075439453125,0.0009765625,0.13241912424564362,0.425537109375,4.109068424398287e-05
10,0.19375,0.12563296862021184,1033.4853515625,0.000732421875,0.1209549531340599,0.3818359375,4.124738798046855e-05
11,,0.14575709732479947,1045.797607421875,0.000244140625,0.11670391261577606,0.411376953125,2.6212779319065602e-05
12,,0.11243005915271251,1005.899658203125,0.00146484375,0.12665797770023346,0.412841796875,5.131616420099602e-05
13,,0.24793225002709673,1003.32666015625,0.0009765625,0.12392492592334747,0.4248046875,3.110683543082379e-05
14,,0.15500357505067414,996.95849609375,0.0,0.12156165391206741,0.43017578125,3.104124926353159e-05
15,,0.120834234634463,1024.843505859375,0.000732421875,0.11833131313323975,0.441162109375,2.1812493293932927e-05
16,,0.13299586933077828,1013.05810546875,0.000732421875,0.11396170407533646,0.4423828125,-4.924662982198748e-07
17,,0.18956188705142465,1024.093994140625,0.0,0.11561160534620285,0.436767578125,4.772817560763087e-05
18,,0.11777226690124427,1035.35009765625,0.00048828125,0.12111317366361618,0.4033203125,1.776934147060199e-05
19,,0.13834582590341835,1054.004150390625,0.001708984375,0.1148756816983223,0.41259765625,4.405376082047891e-05
20,0.22708333333333333,0.1631832571322403,1042.315185546875,0.00048828125,0.10610999166965485,0.494140625,5.1511394939722055e-05
21,,0.6252938805990873,1078.86962890625,0.0009765625,0.10910403728485107,0.42822265625,6.916444015631937e-05
22,,0.13150540202214112,1029.47705078125,0.000732421875,0.10944535583257675,0.474853515625,7.109959252302487e-05
23,,0.19874346821668148,1074.010986328125,0.002197265625,0.1160174086689949,0.419677734375,9.216177293925257e-05
24,,0.14611081720407817,1064.090087890625,0.0,0.10447753220796585,0.439697265625,0.00010243360256231664
25,,0.12791400442413509,1011.562744140625,0.00048828125,0.09889110177755356,0.505126953125,5.0171051137108224e-05
26,,0.15220816985754215,1073.295166015625,0.0009765625,0.09050199389457703,0.496337890625,4.265759434155648e-05
27,,0.1304323897483957,1082.69287109375,0.001708984375,0.0911598652601242,0.459716796875,2.3198488337230734e-05
28,,0.18761712475892486,1096.83251953125,0.00146484375,0.09045381844043732,0.46337890625,5.876810673305736e-05
29,,0.10222453526537216,1057.438720703125,0.000732421875,0.08972640335559845,0.46484375,6.200555682010316e-05
30,0.25416666666666665,0.12906670849752627,1083.62158203125,0.0009765625,0.08890208601951599,0.4677734375,5.479274809421971e-05
31,,0.17294235392713286,1099.333251953125,0.001220703125,0.09081930667161942,0.489013671875,6.644648817971048e-05
32,,0.11556405247233029,1130.02734375,0.00146484375,0.08481442183256149,0.503662109375,6.321168117256409e-05
33,,0.13195304085896614,1187.875,0.001220703125,0.08057054877281189,0.509033203125,0.00015907903158850857
34,,0.3019098866380681,1179.05712890625,0.001953125,0.08254269510507584,0.471435546875,0.00013673366588643792
35,,0.12886093544140054,1159.88525390625,0.001708984375,0.07747987657785416,0.52392578125,9.869869672947119e-05
36,,0.17703280444394204,1202.92626953125,0.00146484375,0.07005511969327927,0.537841796875,9.490343913953085e-05
37,,0.12177549051733588,1157.40478515625,0.002197265625,0.07198299467563629,0.5302734375,0.00027769581054523467
38,,0.21367540045786365,1241.80126953125,0.00244140625,0.0656830444931984,0.510498046875,7.673277064862796e-05
39,,0.13471196056273016,1190.18798828125,0.001708984375,0.07126965373754501,0.451904296875,6.878189073427817e-05
40,0.2791666666666667,0.1728057003783367,1257.203125,0.001708984375,0.06781081855297089,0.5146484375,0.0002782810038082511
41,,0.16821179084359747,1133.73388671875,0.002197265625,0.07101793587207794,0.5302734375,0.00010599273995263539
42,,0.16559305903834853,1172.080322265625,0.001708984375,0.06965259462594986,0.553955078125,0.00041773338251035834
43,,0.15112233887699933,1120.486083984375,0.000732421875,0.07267100363969803,0.545654296875,0.0002161743215920195
44,,0.19950897382650412,1219.417724609375,0.003662109375,0.06897389143705368,0.4765625,0.00020438541451053954
45,,0.1653515619174858,1234.725341796875,0.001708984375,0.06782199442386627,0.51220703125,8.783735276508789e-05
46,,0.1393977330623779,1272.6962890625,0.00244140625,0.06757480651140213,0.519287109375,9.833569855328953e-05
47,,0.1378818563765861,1249.395263671875,0.001708984375,0.0672457367181778,0.505859375,0.00013300745369738517
48,,0.12198546536198124,1208.928466796875,0.000732421875,0.07096957415342331,0.468994140625,0.00015738296585148247
49,,0.29363359347807255,1244.69091796875,0.002197265625,0.06450126320123672,0.503662109375,6.701811006212222e-05
50,0.27291666666666664,0.15206408223501078,1261.548095703125,0.0009765625,0.06459464132785797,0.521240234375,7.879074772280215e-05
51,,0.11199405633838147,1328.96337890625,0.001708984375,0.05816098675131798,0.554443359375,0.0001287140584995387
52,,0.13768345711867225,1339.3349609375,0.002685546875,0.061298251152038574,0.48828125,0.000277256462936748
53,,0.5132185802092868,1413.05712890625,0.00341796875,0.05309798941016197,0.533935546875,0.00012202046800954582
54,,0.17719685020100226,1419.2607421875,0.003662109375,0.05132418870925903,0.53662109375,0.00014766897684842715
55,,1.4080302799249251,1298.25,0.00390625,0.05400558188557625,0.570068359375,0.00011038585441765554
