step,eval,ess,frac_upper,skipped,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.1875,,,,,,,,,
1,,0.35625251799609237,0.0023128218555921605,0.0,0.01985570826773864,1099.599609375,0.005126953125,0.08612678945064545,0.2314453125,-4.712035636603413e-06
2,,0.34483041406130954,0.0024996949976435127,0.0,0.019637493762719137,1065.032470703125,0.005859375,0.07681072503328323,0.26025390625,5.3683296567304705e-05
3,,0.42070303406780307,0.0024770931613043463,0.0,0.02622109587195022,1109.849609375,0.006103515625,0.06180521845817566,0.281494140625,0.00011411247539325629
4,,0.30952696354902376,0.00271595515595968,0.0,0.016643567242756015,1069.767333984375,0.00244140625,0.04244738817214966,0.2763671875,0.00011143377411908516
5,,0.400426145132342,0.002376431104571624,0.0,0.021615854588293487,1054.295166015625,0.00244140625,0.033991508185863495,0.34130859375,9.149174221217354e-05
6,,0.4961502430615198,0.0021979973568519813,0.0,0.01544961184694031,1021.948486328125,0.000732421875,0.024794865399599075,0.336181640625,5.5231666663423264e-05
7,,0.3688248074640643,0.0022335582884791014,0.0,0.01603319256347011,1038.296630859375,0.00244140625,0.023272983729839325,0.3623046875,1.4922253225968518e-05
8,,0.5010629333409176,0.0021842608161261696,0.0,0.014957116667575212,963.73388671875,0.000732421875,0.019549474120140076,0.3955078125,1.4144658612917176e-05
9,,0.47798989670856507,0.0020523597901132336,0.0,0.02608269216065366,1017.63916015625,0.0009765625,0.017496095970273018,0.42333984375,2.7104968602229304e-05
10,0.19583333333333333,0.5179485882590538,0.0019993331049174266,0.0,0.013939338001381758,1015.55908203125,0.001953125,0.016619499772787094,0.37646484375,2.8150731649547976e-06
11,,0.5196133728583417,0.0018836346405587297,0.0,0.014471604349868574,1005.034423828125,0.0009765625,0.016036706045269966,0.404052734375,1.8347465140146193e-05
12,,0.5413054200977562,0.0019828800483797392,0.0,0.02112782856463532,944.6181640625,0.001220703125,0.014507411047816277,0.404541015625,-2.695238667331049e-06
13,,0.5393764035663576,0.001999241734283774,0.0,0.013869680209142723,946.683837890625,0.000732421875,0.014393456280231476,0.421875,1.768452029337434e-05
14,,0.5323106105839086,0.0019635149414780695,0.0,0.015351819695522243,928.9013671875,0.000244140625,0.01327332854270935,0.431396484375,8.846795777432207e-07
15,,0.5077281988057945,0.0020400789045566213,0.0,0.013390437890461376,932.468505859375,0.0009765625,0.012697739526629448,0.43359375,-8.795446556290424e-06
16,,0.6061045114320904,0.0018427339143686483,0.0,0.013373697324667696,946.49462890625,0.000244140625,0.012109254486858845,0.4384765625,2.1261709880778426e-05
17,,0.5415160027241388,0.0020020781684627247,0.0,0.022966341401987677,930.603759765625,0.000732421875,0.012080454267561436,0.42919921875,-1.4130161973232202e-06
18,,0.49621381948026644,0.001991230673179083,0.0,0.014493413334899303,939.804443359375,0.00048828125,0.012440667487680912,0.40625,4.9450855252194026e-05
19,,0.5960502427139422,0.001862807962432364,0.0,0.01557538578600451,944.5185546875,0.00048828125,0.011670957319438457,0.40673828125,3.410924376826921e-05
20,0.21666666666666667,0.6263202513044055,0.0017215494718174225,0.0,0.01511767048235342,978.044189453125,0.00048828125,0.010874330066144466,0.475341796875,1.0575675229821764e-05
21,,0.599838763084656,0.0018052192271466507,0.0,0.012418351918147922,1036.267822265625,0.000732421875,0.011260532774031162,0.406005859375,3.5850579651529484e-05
22,,0.6311766657343794,0.0018170643224661174,0.0,0.0170422541745938,969.456787109375,0.0009765625,0.010828137397766113,0.458740234375,2.0068212316370904e-05
