step,eval,ess,frac_upper,skipped,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.15625,,,,,,,,,
1,,0.3616751982917827,0.002352840689397103,0.0,0.034487556238403536,1111.235595703125,0.005126953125,0.08513996005058289,0.216064453125,2.070143963431354e-05
2,,0.37575602652324724,0.002623519077878725,0.0,0.054491285964975336,1096.273681640625,0.005126953125,0.0763329267501831,0.25634765625,7.517079832134219e-05
3,,0.36638526790953213,0.0025535850304244647,0.0,0.04132439699038308,1101.821533203125,0.00537109375,0.05805063992738724,0.284912109375,0.00011705341900735168
4,,0.35867314756398094,0.002644296112892817,0.0,0.022427274695784108,1112.0546875,0.00390625,0.04492853209376335,0.2666015625,5.948040781409289e-05
5,,0.37164889580280336,0.0025418676616646204,0.0,0.02334941452612553,1065.052001953125,0.002197265625,0.03232761099934578,0.33642578125,9.047228653666177e-05
6,,0.4174722876064668,0.0022411757572706357,0.0,0.016306396091515084,1032.463134765625,0.001708984375,0.025448352098464966,0.3310546875,6.282673122726123e-05
7,,0.49078584680813464,0.002160066894699637,0.0,0.014406599818173795,1040.32470703125,0.001708984375,0.023056644946336746,0.357177734375,4.0932196221316665e-06
8,,0.44499133322936596,0.002063142924608962,0.0,0.016821644249534126,970.42578125,0.00146484375,0.01847580447793007,0.383544921875,2.5509010017543685e-05
9,,0.5462468850925916,0.0018840490684021065,0.0,0.021620595526481986,1067.1064453125,0.00244140625,0.017871784046292305,0.419189453125,1.3760967154870703e-05
10,0.19791666666666666,0.517787090634596,0.001982711471524236,0.0,0.029365328457404312,1031.268310546875,0.002197265625,0.01632867380976677,0.385986328125,3.449002419770863e-05
11,,0.48812310023902394,0.002016122942882587,0.0,0.020061574429815106,1031.172607421875,0.000244140625,0.01493210531771183,0.412109375,6.8929815051453755e-06
12,,0.5299963400256194,0.002053432887733245,0.0,0.01456826303176942,978.9248046875,0.00244140625,0.014320607297122478,0.395751953125,8.078164594335943e-06
13,,0.4905927963612745,0.0020112997095939195,0.0,0.011541628605127594,977.76171875,0.0009765625,0.014744319953024387,0.422607421875,1.2857038101662017e-05
14,,0.5669392417118798,0.0021096906600795683,0.0,0.018983510445489352,983.0478515625,0.00048828125,0.014389809221029282,0.42236328125,-2.620197678560033e-06
15,,0.607563682670273,0.001962012207098998,0.0,0.01145645692411553,969.335205078125,0.000244140625,0.013585604727268219,0.428466796875,1.651973488054163e-05
16,,0.6366274569199242,0.0018619451501146367,0.0,0.019474853274234864,995.6123046875,0.00146484375,0.013186139985918999,0.444580078125,3.6336594406499105e-05
17,,0.5068880020364194,0.0018043002349405262,0.0,0.013992217483658262,991.059326171875,0.001220703125,0.013385547325015068,0.424072265625,2.6492230540142715e-05
18,,0.4776002942296164,0.001912521092937612,0.0,0.013559202134578332,999.767822265625,0.000732421875,0.014334802515804768,0.4072265625,-2.562909786584734e-06
19,,0.5700681497669757,0.0018181308548819385,0.0,0.018865978276894728,1007.419189453125,0.00146484375,0.013085990212857723,0.4091796875,2.1953075308049786e-05
20,0.22083333333333333,0.6109466956056717,0.0017929802708082148,0.0,0.013029272380918448,1012.40576171875,0.000244140625,0.012243429198861122,0.476806640625,3.2701234181568374e-05
21,,0.5647163234793193,0.001966182449269609,0.0,0.013635413586215433,1062.33984375,0.00244140625,0.012464426457881927,0.408203125,1.1746967092792404e-05
22,,0.5928312459273068,0.002115726275717918,0.0,0.016004724840404407,989.298095703125,0.000732421875,0.012251308187842369,0.453125,1.2177075876248127e-05
23,,0.5982784843857816,0.00216162420579585,0.0,0.02619479833893224,992.7236328125,0.000732421875,0.012406810186803341,0.416748046875,2.142368774222803e-05
24,,0.5566514255353224,0.0021270349605802576,0.0,0.02377986722685383,1015.4521484375,0.0,0.01276811771094799,0.42529296875,3.12933606944806e-05
25,,0.5438409771327348,0.00209999174634129,0.0,0.0140283589805054,996.404541015625,0.000732421875,0.012096280232071877,0.4892578125,3.602412084427649e-05
26,,0.5750680362223647,0.0019593483413289274,0.0,0.014190077317253276,1052.258056640625,0.0009765625,0.012076988816261292,0.492431640625,5.764879307848216e-06
27,,0.5276502667609942,0.0017975928009661489,0.0,0.015403984167044185,1047.93212890625,0.000732421875,0.012532243505120277,0.448486328125,4.958235306951053e-05
28,,0.5412062589027373,0.0018757240927812695,0.0,0.016646047216207015,1097.4130859375,0.000732421875,0.012627270072698593,0.45166015625,4.8539720906030466e-05
29,,0.5694475283443134,0.002072433232921138,0.0,0.026572100955929552,1035.887451171875,0.000732421875,0.01212342083454132,0.451904296875,2.579937676972695e-05
30,0.23333333333333334,0.5821435656154991,0.0019229974499119528,0.0,0.02503297194587958,1108.05078125,0.00146484375,0.01261991262435913,0.45458984375,4.112779111488231e-05
31,,0.5176605929226632,0.002123150439128885,0.0,0.015886740428260097,1116.639404296875,0.00146484375,0.012507697567343712,0.47314453125,2.373441761038819e-05
32,,0.5337053044137021,0.0019448114876829455,0.0,0.06608524969828779,1130.949462890625,0.0029296875,0.011915271170437336,0.492919921875,-7.363778868175865e-06
33,,0.581552932714092,0.0018877774501477047,0.0,0.018027263246221496,1205.68212890625,0.0029296875,0.012150067836046219,0.478759765625,2.8008313199881086e-05
34,,0.49544677012301697,0.0022444436194182264,0.0,0.019018924861559726,1177.868408203125,0.0029296875,0.013913051225244999,0.452392578125,2.22627719677367e-05
35,,0.6076008687090166,0.0019851787486825003,0.0,0.016249267273858656,1126.638427734375,0.002197265625,0.012291384860873222,0.5166015625,2.8521600681467396e-05
