step,eval,ess,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.1625,,,,,,,,,,,
1,,0.4269520619852563,0.0,0.002363391389768483,0.0,0.0,0.02557672858446378,1060.140625,0.007568359375,0.08415945619344711,0.230712890625,4.7549484491520906e-05
2,,0.3615761860695784,0.0,0.0026334049015198265,0.0,0.0,0.021979165576463226,1075.014892578125,0.0048828125,0.08215190470218658,0.268310546875,8.441963263915139e-05
3,,0.3734734168391619,0.0,0.0027149002660105375,0.0,0.0,0.03212110530706082,1087.988525390625,0.00439453125,0.06436225771903992,0.275390625,0.00011976400698306595
4,,0.3684051908335007,0.0,0.002783041333045475,0.0,0.0,0.017362904572591195,1107.125732421875,0.00439453125,0.04841603711247444,0.27978515625,9.323885464684138e-05
5,,0.3940416454827965,0.0,0.002404980197416642,0.0,0.0,0.01960163996906264,1078.084716796875,0.002685546875,0.03025202266871929,0.344970703125,6.139720332843564e-05
6,,0.42878881891680365,0.0,0.0022621542886196466,0.0,0.0,0.02129157094666212,1010.17626953125,0.001708984375,0.025102492421865463,0.32177734375,6.90560164362333e-05
7,,0.46853996824416533,0.0,0.0023418758905049183,0.0,0.0,0.02338519149076696,1028.656982421875,0.002197265625,0.02125760354101658,0.3720703125,1.980060981247157e-05
8,,0.5319492794567293,0.0,0.0022962148328916736,0.0,0.0,0.014242093853447765,961.3515625,0.0009765625,0.01921718940138817,0.377197265625,1.2800170286119005e-05
9,,0.5527206748966838,0.0,0.002120133569709396,0.0,0.0,0.01766821743767217,1024.652099609375,0.0009765625,0.017556827515363693,0.423828125,1.602010514134802e-05
10,0.19791666666666666,0.5359532256376165,0.0,0.002161774873394981,0.0,0.0,0.027433939135691324,989.171142578125,0.00146484375,0.01631145179271698,0.379150390625,2.5193379228700194e-05
11,,0.4952443645020927,0.0,0.002110166994165156,0.0,0.0,0.01527972627347057,1001.58447265625,0.000732421875,0.016216684132814407,0.4111328125,1.7547372725721132e-06
12,,0.47495985449032285,0.0,0.0021860170175537134,0.0,0.0,0.01492141496703584,943.525146484375,0.00146484375,0.015320191159844398,0.400146484375,1.5959154485400974e-05
13,,0.5732208360184424,0.0,0.0022544222268209785,0.0,0.0,0.014537965250254276,955.8310546875,0.001220703125,0.015627682209014893,0.411865234375,5.765895097968133e-07
14,,0.5451526692434011,0.0,0.002038386168608874,0.0,0.0,0.016394384954915735,959.48486328125,0.000732421875,0.0151497358456254,0.42236328125,-7.734194068643857e-07
15,,0.5727856016251534,0.0,0.0018733513669440378,0.0,0.0,0.014163105697200397,962.072509765625,0.00048828125,0.014853120781481266,0.428466796875,1.428538217425057e-05
16,,0.46865195492796236,0.0,0.00176953814226224,0.0,0.0,0.012015516092458491,967.952392578125,0.000244140625,0.013446638360619545,0.437255859375,4.4712623599500266e-05
17,,0.5736093251255718,0.0,0.0019334191198810068,0.0,0.0,0.02187211781127494,971.993408203125,0.001708984375,0.013387536630034447,0.424560546875,7.957809407817726e-06
18,,0.5499824352038742,0.0,0.002006087753384022,0.0,0.0,0.017623270405675132,956.431884765625,0.0009765625,0.013844868168234825,0.386474609375,1.4156655082923444e-05
19,,0.5488028231980381,0.0,0.0018371619168968587,0.0,0.0,0.011826854721538889,976.182373046875,0.000732421875,0.012653377838432789,0.405517578125,2.4071012734694362e-05
20,0.19375,0.6094076650649751,0.0,0.0018900835965607308,0.0,0.0,0.012774615134672946,1003.6181640625,0.000244140625,0.011987311765551567,0.476318359375,2.8873933011652746e-06
21,,0.6231959625121388,0.0,0.0019081181341486547,0.0,0.0,0.018710901870689804,1039.7294921875,0.0,0.012341300956904888,0.4130859375,4.320847275344085e-05
22,,0.590223927864014,0.0,0.0018036912523054292,0.0,0.0,0.01736637122977483,983.981201171875,0.000244140625,0.011712349019944668,0.453125,1.9462078733904302e-05
23,,0.5678598731339912,0.0,0.0021259073618245528,0.0,0.0,0.015767062536342722,984.5654296875,0.000244140625,0.011852960102260113,0.41455078125,2.105959462177509e-05
24,,0.5131168172523679,0.0,0.002004815101982294,0.0,0.0,0.018374658641449985,1014.699462890625,0.00048828125,0.012024648487567902,0.4287109375,3.0402263938622553e-05
25,,0.592887956302202,0.0,0.0018199467381238245,0.0,0.0,0.022981970238182176,972.4912109375,0.000244140625,0.01154036819934845,0.486572265625,2.6870829237616614e-07
26,,0.5623341214763113,0.0,0.0017255146471511773,0.0,0.0,0.01274497280229615,1010.24462890625,0.00146484375,0.011421025730669498,0.4892578125,5.196830741583822e-05
27,,0.568163574773165,0.0,0.001694741760368421,0.0,0.0,0.017661897642843635,1027.57470703125,0.001220703125,0.011344329454004765,0.447509765625,6.963053780049379e-05
28,,0.558787030973348,0.0,0.0018421401935943531,0.0,0.0,0.029174216737405806,1067.218505859375,0.000732421875,0.011384168639779091,0.450439453125,3.5250635695405213e-05
29,,0.5579395003416606,0.0,0.0018678317483744897,0.0,0.0,0.01320767297258036,1012.8349609375,0.0009765625,0.010735681280493736,0.453369140625,1.056363645493737e-05
30,0.2520833333333333,0.556383786500073,0.0,0.0020056698798967608,0.0,0.0,0.017276433672601017,1069.939697265625,0.002197265625,0.010636923834681511,0.45458984375,4.091781237654462e-05
31,,0.538433878655096,0.0,0.0017530020659561783,0.0,0.0,0.017549939485059837,1071.2265625,0.001708984375,0.010653465054929256,0.469482421875,8.481115015928568e-06
32,,0.6053761971756733,0.0,0.0018021953706690822,0.0,0.0,0.01851821250814335,1081.449951171875,0.002685546875,0.00984182022511959,0.494873046875,1.9927227349726533e-05
33,,0.6055403670690769,0.0,0.0018395000223821805,0.0,0.0,0.017856805434736275,1129.741943359375,0.001953125,0.009958269074559212,0.48828125,8.066092659457053e-06
34,,0.5634878138249163,0.0,0.0019620778559316706,0.0,0.0,0.014141442462652448,1118.7314453125,0.00244140625,0.010312226600944996,0.46533203125,2.3971820560575455e-05
35,,0.5156937398273257,0.0,0.0019580633660846994,0.0,0.0,0.023883942225004173,1081.007568359375,0.0029296875,0.009977512061595917,0.5078125,3.2835467459967226e-05
36,,0.5429035590472433,0.0,0.0018476674505961857,0.0,0.0,0.015780817181389115,1121.3583984375,0.0029296875,0.009420320391654968,0.53173828125,3.118087906560652e-05
37,,0.5635143866963566,0.0,0.0018263986345033202,0.0,0.0,0.014830449712906696,1090.7451171875,0.001708984375,0.009464750997722149,0.50732421875,2.2405391644200438e-05
38,,0.4980895173731993,0.0,0.0022729710231738135,0.0,0.0,0.02017412606870028,1174.59228515625,0.0029296875,0.009376991540193558,0.5068359375,8.864274347105312e-05
39,,0.5180320974988006,0.0,0.0024172814125376267,0.0,0.0,0.02084987665117085,1121.001708984375,0.004638671875,0.010045977309346199,0.4404296875,0.00010736153876056421
40,0.23958333333333334,0.5216488557841271,0.0,0.0021316499776399362,0.0,0.0,0.015626900967709672,1202.74609375,0.004150390625,0.009594731032848358,0.502685546875,4.2499049584841164e-05
41,,0.49520009244654173,0.0,0.0024181027759173895,0.0,0.0,0.026711498743450066,1106.927978515625,0.00341796875,0.00989761296659708,0.51123046875,5.4375047977236096e-05
