step,eval_math500,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.544,,,,,,
1,,0.9315839611816672,835.72314453125,0.00927734375,0.9924638867378235,0.094970703125,0.0005605742340403847
2,,2.929423109695029,908.996826171875,0.00634765625,0.7929520606994629,0.121337890625,0.0008574009881804222
3,,0.5751344145205532,954.41845703125,0.005126953125,0.6599906086921692,0.13525390625,0.00021478735916807698
4,,0.9918343604417703,925.76123046875,0.00244140625,0.6021584868431091,0.141357421875,0.00021565205469187276
5,,0.481191098900023,1004.93212890625,0.0029296875,0.533785879611969,0.185302734375,9.432569637297662e-05
6,,0.3063388845430409,953.867431640625,0.001708984375,0.4454388916492462,0.186279296875,7.075992525642507e-05
7,,0.4986120619073936,936.81396484375,0.002685546875,0.4173201322555542,0.204833984375,0.00010466294926949615
8,,0.2976339192844148,893.069580078125,0.0009765625,0.35376307368278503,0.23974609375,5.9294060904235836e-05
9,,0.26033624441990455,942.00634765625,0.00146484375,0.3353999853134155,0.263916015625,0.00011255375545444758
10,0.698,0.24780022257387857,928.83154296875,0.00146484375,0.2856231927871704,0.224609375,5.4711111576880946e-05
11,,0.2533371473620498,936.483642578125,0.0009765625,0.2715521454811096,0.261474609375,3.751403787523403e-05
12,,0.24207764441975127,902.1015625,0.001220703125,0.24894629418849945,0.26025390625,4.247672705797179e-05
13,,0.22984476838212034,911.4423828125,0.000732421875,0.24447374045848846,0.2763671875,4.8404698157907455e-05
14,,0.24310070430694058,905.888427734375,0.000732421875,0.23090870678424835,0.29443359375,8.893302081709464e-05
15,,0.25732430463909384,901.66943359375,0.001220703125,0.20739345252513885,0.296875,5.637374551487421e-05
16,,0.24288185385015065,920.90380859375,0.001708984375,0.18952736258506775,0.298828125,9.480156260988082e-05
17,,0.2240622823607799,939.31787109375,0.001220703125,0.1868467926979065,0.2529296875,9.56062179214475e-05
18,,0.43405218395657497,913.2587890625,0.00048828125,0.19024749100208282,0.249755859375,0.00011102679055382167
19,,0.29357011392292703,935.458740234375,0.0009765625,0.1723567247390747,0.264404296875,0.0001052310900887458
20,0.712,0.3314073711403799,972.850341796875,0.000732421875,0.15402047336101532,0.3212890625,8.385469205461534e-05
21,,0.35098181501045916,1001.35986328125,0.001220703125,0.14966163039207458,0.2646484375,0.00012318809619391087
22,,0.36521951744316294,953.631591796875,0.001220703125,0.14847731590270996,0.3232421875,6.69176277539485e-05
23,,0.2823960704177949,931.8896484375,0.000244140625,0.1384572982788086,0.268310546875,0.00012579216819072294
24,,0.22389636455453463,985.44970703125,0.00048828125,0.12872932851314545,0.29443359375,0.00010632993928739608
25,,0.23959334446867692,946.128662109375,0.001708984375,0.12238006293773651,0.314697265625,0.00010690726071006887
26,,0.19387706639111907,989.235595703125,0.00048828125,0.11811576783657074,0.331298828125,9.564903032893331e-05
27,,0.20238843996732797,952.578369140625,0.001708984375,0.11969134211540222,0.297119140625,7.041768587493873e-05
28,,0.24155304888831444,1003.794189453125,0.001708984375,0.12268871068954468,0.294189453125,0.0001351714212593909
29,,0.22062774029193835,984.685302734375,0.002685546875,0.11622053384780884,0.307861328125,8.322343853532426e-05
30,0.72,0.21774004635951288,963.12841796875,0.000732421875,0.10808896273374557,0.279541015625,9.339850820688408e-05
