step,eval,ess,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.18333333333333332,,,,,,,,,,,
1,,0.4189856256050121,0.0,0.0023324752983795503,0.0,0.0,0.03160416149270137,1097.125,0.0068359375,0.08443227410316467,0.230224609375,7.531144269537746e-06
2,,0.36087406048338555,0.0,0.002537618251831012,0.0,0.0,0.023624381518386944,1105.555419921875,0.00634765625,0.07569926977157593,0.255615234375,9.269923965523045e-05
3,,0.41055338688894455,0.0,0.0026238884072391773,0.0,0.0,0.054192680458098934,1075.06982421875,0.004150390625,0.0640106350183487,0.28515625,0.00010558585707317048
4,,0.349662049214268,0.0,0.0028137841041578396,0.0,0.0,0.022331840033605083,1074.619384765625,0.002685546875,0.04809129983186722,0.276123046875,0.0001153825453575526
5,,0.4371971277005339,0.0,0.002387928005355494,0.0,0.0,0.0159489369728783,1062.312255859375,0.002685546875,0.037720099091529846,0.3388671875,2.1942096639741373e-05
6,,0.38507208684459426,0.0,0.0021486641103154987,0.0,0.0,0.0283000166100853,1010.557373046875,0.00146484375,0.02473273128271103,0.323974609375,6.929612014674692e-07
7,,0.4336475407181083,0.0,0.002191133185100754,0.0,0.0,0.01702420867265505,1046.107177734375,0.00341796875,0.025616368278861046,0.35546875,7.620377305306291e-06
8,,0.4977928599737277,0.0,0.0021840535826107947,0.0,0.0,0.04411723751838566,948.907958984375,0.0009765625,0.018872050568461418,0.380859375,5.353117481140164e-05
9,,0.4782562621632268,0.0,0.0019800226065701454,0.0,0.0,0.01990342629725128,1043.442138671875,0.001708984375,0.01733887568116188,0.408203125,3.0129631400497047e-05
10,0.17916666666666667,0.4940074203915277,0.0,0.0019181628404148431,0.0,0.0,0.021601476376789913,994.035400390625,0.001708984375,0.015749651938676834,0.381103515625,4.329429765298364e-05
11,,0.5956269264707472,0.0,0.0018915545731770368,0.0,0.0,0.01800120320780066,1000.768798828125,0.00146484375,0.015868697315454483,0.40087890625,2.0378693753918418e-05
12,,0.5230793637819533,0.0,0.001949397300052597,0.0,0.0,0.022438763840083323,949.48681640625,0.0009765625,0.014011402614414692,0.3857421875,2.5803901362841947e-05
13,,0.6019840578759057,0.0,0.0019103108755135047,0.0,0.0,0.013047623023521,972.3359375,0.0009765625,0.014680727384984493,0.40869140625,2.158902815046678e-05
14,,0.48166266935697316,0.0,0.0018250216256080565,0.0,0.0,0.013664680006569938,963.3876953125,0.000244140625,0.014094802550971508,0.4267578125,1.5603462865312582e-05
15,,0.5991307929690306,0.0,0.0018995695029355828,0.0,0.0,0.018065986406939467,934.679443359375,0.00048828125,0.013205867260694504,0.44091796875,5.697010932455745e-06
16,,0.6050924164191142,0.0,0.0018517378719470404,0.0,0.0,0.019951499249256925,957.2373046875,0.0009765625,0.012591779232025146,0.443359375,3.7371783428034412e-06
17,,0.6038298293293682,0.0,0.001830352009344363,0.0,0.0,0.018227650895078898,940.588623046875,0.000732421875,0.013391627930104733,0.429443359375,-4.0095804495117936e-07
18,,0.5279728516247008,0.0,0.0019881925458709844,0.0,0.0,0.012864938193846324,956.96533203125,0.00048828125,0.013533621095120907,0.3974609375,2.4720688205418875e-05
19,,0.5849825985458657,0.0,0.0019203701829060987,0.0,0.0,0.013821104920008376,957.455078125,0.001220703125,0.012609601952135563,0.404052734375,1.3745175066700218e-05
20,0.20625,0.5977803428868468,0.0,0.0018382176209908025,0.0,0.0,0.01421574453141981,993.39892578125,0.000244140625,0.011816098354756832,0.468017578125,3.325002257934529e-05
21,,0.529217680391071,0.0,0.001870747634721524,0.0,0.0,0.022568984989185192,1023.433837890625,0.001220703125,0.012836932204663754,0.4033203125,3.581990027561075e-05
22,,0.6489883073355895,0.0,0.0019433290475509221,0.0,0.0,0.012564639603365423,977.245361328125,0.000244140625,0.01198817789554596,0.458251953125,-5.129804870189028e-06
23,,0.5772237678300518,0.0,0.0017340441137729179,0.0,0.0,0.015849168972786043,979.325927734375,0.0,0.012255333364009857,0.412353515625,4.151503239394246e-05
24,,0.6093315795250049,0.0,0.0017070408092105557,0.0,0.0,0.017020146402550545,1014.6982421875,0.0,0.012222333811223507,0.427978515625,3.225759418773085e-05
25,,0.6272632026258547,0.0,0.001725883605173878,0.0,0.0,0.016558065108082963,1003.07470703125,0.0,0.011430557817220688,0.490966796875,5.173818017650452e-05
26,,0.5747271744754042,0.0,0.0018284756878923015,0.0,0.0,0.011503476855696294,1058.433349609375,0.00048828125,0.0111937765032053,0.4873046875,1.57266552040526e-05
27,,0.5090648322587783,0.0,0.0018975502712734404,0.0,0.0,0.013391172369168747,1035.620849609375,0.001220703125,0.011770416982471943,0.454833984375,1.375133476787404e-06
28,,0.5882440112321994,0.0,0.001995208291107553,0.0,0.0,0.023513591328759055,1069.695556640625,0.0009765625,0.011964728124439716,0.455078125,1.9418289436007936e-05
29,,0.5372341547742611,0.0,0.002037672513145527,0.0,0.0,0.01565656849807589,1016.090576171875,0.001708984375,0.011529818177223206,0.451416015625,3.642983289443199e-05
