step,ess,ess_shaped,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
1,0.5677373888580038,0.5677373054692741,0.0,0.003914215317846619,0.0,0.0,0.5658086016774178,414.1351623535156,0.5746093988418579,0.6262035369873047,3.482818126678467,-6.22426816612176e-05
2,0.5122637258959706,0.5229673867620457,0.0,0.004769950287619409,0.0,0.0,0.5618105456233025,406.19219970703125,0.530468761920929,0.6094294190406799,4.93697452545166,0.00017858847783003284
3,0.4942050156920928,0.4971676343736773,0.0,0.005261682619974889,0.0,0.0,0.5657482594251633,408.123046875,0.5210937261581421,0.6165986061096191,5.424460411071777,0.00030815439402598344
4,0.5046026621121665,0.5046004341762662,0.0,0.005058432538728369,0.0,0.0,0.5762604922056198,397.26483154296875,0.4761718809604645,0.6091185212135315,5.089127540588379,0.00023475303773778933
5,0.43468987453013075,0.4581191668597487,0.0,0.005273970982533918,0.0,0.0,0.5936480760574341,386.2386779785156,0.46210938692092896,0.5967509150505066,5.7408447265625,0.00026262686464928464
6,0.5006046702413967,0.5006428733204077,0.0,0.006008271273361805,0.0,0.0,0.652789294719696,370.6390686035156,0.3843750059604645,0.5985796451568604,7.766242027282715,0.000346739818485986
7,0.45320422440631614,0.4553795743060296,0.0,0.006403883611103368,0.0,0.0,0.647318884730339,351.0679626464844,0.3238281309604645,0.5894628167152405,8.250221252441406,0.0004382594332188461
8,0.5421579790467559,0.5421999868759654,0.0,0.005870390672738519,0.0,0.0,0.6422085165977478,349.5503845214844,0.2867187559604645,0.5587756037712097,10.729846000671387,0.00030308409370416456
9,0.5312650908727491,0.5312102448956392,0.0,0.0052580190395828084,0.0,0.0,0.8211128264665604,334.6800842285156,0.23593750596046448,0.5628056526184082,10.059832572937012,0.0002008718441712798
10,0.5475824960462239,0.5475779257565423,0.0,0.0051880537530126355,0.0,0.0,0.6862072348594666,326.93280029296875,0.18789061903953552,0.5506752133369446,12.573915481567383,2.5031251133400545e-05
11,0.573147751222934,0.5730640406035561,0.0,0.005331203554238886,0.0,0.0,0.712592288851738,324.86834716796875,0.193359375,0.5560086965560913,12.56666088104248,0.0002498377845592259
12,0.5910759572144819,0.5910663857447482,0.0,0.0055350856307419625,0.0,0.0,0.6971100270748138,321.2578125,0.17304687201976776,0.5348926782608032,12.876973152160645,0.00010738023001044539
13,0.599138790776198,0.5990940325896883,0.0,0.005215705794241211,0.0,0.0,0.6808149516582489,327.86407470703125,0.19062499701976776,0.5261073112487793,14.968870162963867,0.00018773375701286454
14,0.5806692434497559,0.5806459007544401,0.0,0.0050056170582745115,0.0,0.0,0.667195126414299,341.7339782714844,0.20703125,0.5379087328910828,13.73425579071045,0.00014387667809234728
15,0.5738049565309986,0.5738049793728515,0.0,0.005289152208468987,0.0,0.0,0.6785439103841782,336.47540283203125,0.18906250596046448,0.5236086845397949,13.35516357421875,0.00024291713220847555
16,0.5835212128742623,0.5834256305975575,0.0,0.005418965352441042,0.0,0.0,0.6729045212268829,339.1390686035156,0.1796875,0.519662082195282,15.318254470825195,0.00020714363745133468
17,0.5402586154495599,0.5648133581908047,0.0,0.005579171652672615,0.0,0.0,0.6646172851324081,345.833984375,0.18828125298023224,0.4912184476852417,15.867968559265137,0.0002998497536168543
18,0.6021167385429347,0.6028511500403885,0.0,0.005170135856462895,0.0,0.0,0.6882077157497406,340.88751220703125,0.16757813096046448,0.49598079919815063,15.50641918182373,5.741681163967671e-05
19,0.5412402737354901,0.5417854737226928,0.0,0.005291255233164151,0.0,0.0,0.6861093193292618,346.0113220214844,0.21406249701976776,0.49623197317123413,15.638267517089844,0.00011761052512770931
20,0.5450449687516976,0.5829197429683993,0.0,0.005275665239185914,0.0,0.0,0.7567026913166046,339.453125,0.15742187201976776,0.47441181540489197,16.742990493774414,9.605657445277416e-05
21,0.5487497229061277,0.548828615676873,0.0,0.005278265078678878,0.0,0.0,0.6591591686010361,353.02813720703125,0.173828125,0.48640620708465576,18.076862335205078,7.387741890019228e-05
22,0.575090319672299,0.5756779931854161,0.0,0.0055332467407302865,0.0,0.0,0.6722681075334549,342.0953063964844,0.14374999701976776,0.47160840034484863,19.54616928100586,0.0001306135153482657
23,0.5822213418293978,0.5839536725191748,0.0,0.005475980361714771,0.0,0.0,0.6940072923898697,338.6011657714844,0.13671875,0.4661414325237274,19.710092544555664,8.247970225561119e-05
24,0.5157879495625107,0.5157060877490088,0.0,0.005667550428555549,0.0,0.0,0.6698448657989502,349.5550842285156,0.13984374701976776,0.4738408029079437,20.212284088134766,0.00012719496747592984
25,0.5773122429097928,0.5816073069852248,0.0,0.005895647088631693,0.0,0.0,0.7539654672145844,341.3609313964844,0.123046875,0.4622265100479126,21.159685134887695,0.00018364635404921614
26,0.4438444138538085,0.46623174206501433,0.0,0.006057042742722239,0.0,0.0,0.6844328045845032,349.5843811035156,0.13789062201976776,0.47401368618011475,20.80960464477539,0.00012977342762532373
27,0.5287545425677342,0.5287692862632096,0.0,0.006183560167039305,0.0,0.0,0.6808174252510071,355.69805908203125,0.15234375,0.4637303054332733,20.874324798583984,9.068672421541635e-05
28,0.5229907645023172,0.5264561269897956,0.0,0.006340705349852302,0.0,0.0,0.6695390790700912,356.2847595214844,0.15351562201976776,0.4468190371990204,21.78177261352539,0.00022242939269112583
29,0.5170836881282818,0.5169720552053204,0.0,0.006088749787722411,0.0,0.0,0.7207861393690109,363.5914001464844,0.15234375,0.45181748270988464,21.84662437438965,0.00028799719343908237
30,0.5785263378682808,0.5784477482387202,0.0,0.005781924829212212,0.0,0.0,0.6964652389287949,361.5390625,0.14296874403953552,0.4499507248401642,22.062376022338867,0.00014897635599719905
31,0.5633024548577314,0.5656219384199387,0.0,0.005915654016777128,0.0,0.0,0.6734268218278885,373.361328125,0.14179687201976776,0.44249576330184937,24.099822998046875,0.00017122826985382922
32,0.4902160055260932,0.4902090268950287,0.0,0.006011199348948756,0.0,0.0,0.6589092314243317,367.861328125,0.158203125,0.44122961163520813,24.747913360595703,0.00012302232649830103
33,0.5188634295709014,0.5243096317535172,0.0,0.006107346173417414,0.0,0.0,0.6694254875183105,368.0621032714844,0.14335937798023224,0.4352128803730011,24.60397720336914,0.0001296307216085424
34,0.5311598408753418,0.5319021217686107,0.0,0.00615168748866155,0.0,0.0,0.6842837333679199,362.13360595703125,0.14023438096046448,0.4386436641216278,23.870559692382812,0.00015267799390628056
35,0.5383811372537614,0.5383812115477205,0.0,0.006373359906456683,0.0,0.0,0.6841006577014923,365.5882873535156,0.13124999403953552,0.4483890235424042,25.47101402282715,0.00011501359146959267
36,0.5777209503460943,0.5775255864111768,0.0,0.006252260425596993,0.0,0.0,0.6859396398067474,359.2699279785156,0.11249999701976776,0.44592341780662537,26.532459259033203,0.00012397437251809862
37,0.5260806795236075,0.53116764419522,0.0,0.006071766269374006,0.0,0.0,0.6862247288227081,362.458984375,0.12265624850988388,0.43892917037010193,27.096954345703125,0.00012576916578854735
