step,ess,ess_shaped,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
1,0.537643631515462,0.5380721029795931,0.0,0.00402729144251938,0.0,0.0,0.6131040900945663,411.8042907714844,0.567578136920929,0.6278420090675354,3.5467193126678467,3.720476835855635e-05
2,0.5464581675091833,0.5487297883130177,0.0,0.004189143161762083,0.0,0.0,0.6007720232009888,406.5581970214844,0.535937488079071,0.6095878481864929,4.8568854331970215,-3.612422177035057e-05
3,0.5252598295553127,0.5252267838006444,0.0,0.0038570839661553735,0.0,0.0,0.5469692498445511,413.11053466796875,0.5355468988418579,0.6170938014984131,5.047787666320801,8.326229362864979e-05
4,0.5782145309983595,0.5785339571426762,0.0,0.0042840206940369194,0.0,0.0,0.5580878630280495,411.16015625,0.5375000238418579,0.6123207211494446,4.186023235321045,3.0744934457205275e-05
5,0.5473587294034955,0.5475832781291317,0.0,0.0040623922860620896,0.0,0.0,0.5639643371105194,404.91717529296875,0.52734375,0.6013692617416382,4.273007392883301,3.321918955734304e-05
6,0.5630979858259981,0.5630810556681256,0.0,0.003859887933488326,0.0,0.0,0.5568249002099037,401.6898498535156,0.5230468511581421,0.6034421324729919,5.481590270996094,5.177473001083399e-05
7,0.5933981540555759,0.593326543555579,0.0,0.003976658339655769,0.0,0.0,0.5680147334933281,391.5562438964844,0.4671874940395355,0.6027515530586243,5.579387664794922,5.352066498787167e-05
8,0.5542226636442593,0.5608966690657646,0.0,0.0040772178889532445,0.0,0.0,0.5725674480199814,403.64141845703125,0.47929686307907104,0.5731127858161926,7.170159816741943,2.7070609984747307e-06
9,0.533120850809176,0.5330123874030438,0.0,0.004287811012758589,0.0,0.0,0.5791072696447372,397.23126220703125,0.46367186307907104,0.5818886756896973,6.206999778747559,0.00013514275955817112
10,0.503549689164281,0.504518999175824,0.0,0.004502166789316407,0.0,0.0,0.5947167277336121,393.4605407714844,0.4457031190395355,0.5668977499008179,8.400581359863281,4.0547384622113825e-06
11,0.5358391865872166,0.5371212161479664,0.0,0.004217477522400249,0.0,0.0,0.5789268016815186,390.7816467285156,0.43046873807907104,0.5764078497886658,8.442741394042969,6.811550130692012e-05
12,0.5220863346923599,0.5230785096207903,0.0,0.004293086583900905,0.0,0.0,0.5961382389068604,384.0425720214844,0.388671875,0.5562171936035156,9.069944381713867,3.6189377549789015e-05
13,0.5617335734500699,0.5615401719933883,0.0,0.00436388586043346,0.0,0.0,0.6179701387882233,385.2984313964844,0.3902343809604645,0.5471037030220032,10.334338188171387,2.0153241185205673e-05
14,0.5611517134798337,0.5611996007473397,0.0,0.004402953806442712,0.0,0.0,0.6354508697986603,394.83984375,0.40898436307907104,0.5567566752433777,9.419950485229492,5.083450921539168e-05
15,0.5761420055022126,0.5761345867774378,0.0,0.004527354740970032,0.0,0.0,0.6071674525737762,382.8843688964844,0.3804687559604645,0.5387372970581055,8.802059173583984,6.135918378635807e-05
16,0.49704289134070045,0.49892147250370844,0.0,0.004871243762503522,0.0,0.0,0.6032734215259552,384.8558654785156,0.34492188692092896,0.5354537963867188,11.36967658996582,1.3456671954736876e-05
17,0.5426426316153223,0.543820429270502,0.0,0.004737678471018171,0.0,0.0,0.6061764657497406,384.23907470703125,0.33125001192092896,0.5089314579963684,11.809091567993164,3.976455140275448e-05
18,0.5769313276781208,0.5769386609042896,0.0,0.004769420864117928,0.0,0.0,0.6496317833662033,369.31640625,0.30156248807907104,0.5112607479095459,11.99945068359375,9.10948030821146e-05
19,0.5865528115021087,0.5865482068985759,0.0,0.004816675920599041,0.0,0.0,0.6501956880092621,372.14337158203125,0.33671873807907104,0.5112422704696655,11.577898025512695,0.0001369639060726513
20,0.5369809358719688,0.5391345594302269,0.0,0.004999013378495899,0.0,0.0,0.6627615690231323,365.36639404296875,0.2757812440395355,0.49265411496162415,12.414278030395508,4.159552702631686e-05
21,0.5546722181246985,0.5568273302669071,0.0,0.004880913152488154,0.0,0.0,0.6275181025266647,378.1566467285156,0.30351561307907104,0.5026720762252808,13.174814224243164,-4.1479275536104865e-05
22,0.549679833068035,0.5496195005918525,0.0,0.004804785705736135,0.0,0.0,0.6554037779569626,368.37030029296875,0.27031248807907104,0.48903951048851013,14.742477416992188,0.00013282856319563052
23,0.5474498190033865,0.5477665838589383,0.0,0.0049444085967435955,0.0,0.0,0.6392490565776825,368.1304626464844,0.25273436307907104,0.4854603111743927,15.258633613586426,7.86577462896787e-05
24,0.5702786095314074,0.570842248608472,0.0,0.004763402698929537,0.0,0.0,0.6365984678268433,373.68475341796875,0.2777343690395355,0.4900520145893097,14.8875732421875,0.0001644772344162604
25,0.5514641455026021,0.5569800841986784,0.0,0.005350379644387317,0.0,0.0,0.7021277993917465,362.9722595214844,0.23789063096046448,0.47386205196380615,16.123498916625977,8.099552924534237e-05
26,0.5313470617976644,0.5312393086009982,0.0,0.005502739809251731,0.0,0.0,0.6625979095697403,363.72772216796875,0.24062499403953552,0.4831908643245697,15.193994522094727,6.520346669058874e-05
27,0.46476687096509584,0.5329153726608705,0.0,0.005505863500699484,0.0,0.0,0.666443482041359,371.400390625,0.2621093690395355,0.47037237882614136,15.640088081359863,6.019649316435505e-05
28,0.582537213273502,0.5840950987064204,0.0,0.005309506585786141,0.0,0.0,0.67001973092556,358.4898376464844,0.22812500596046448,0.45265457034111023,16.6116943359375,0.00012335072007729764
29,0.5179677885958414,0.5203734138311951,0.0,0.005689234490612479,0.0,0.0,0.6578589230775833,367.43359375,0.2109375,0.44993117451667786,17.461788177490234,1.763578563007684e-05
30,0.5152782367326542,0.5187003840555859,0.0,0.0057669250104271045,0.0,0.0,0.6911124587059021,346.8812561035156,0.16718749701976776,0.4469856023788452,17.70772361755371,0.0001538843327253403
31,0.4946673926702081,0.49505306422588913,0.0,0.0056248718012427016,0.0,0.0,0.6786623746156693,361.30975341796875,0.173828125,0.43920496106147766,19.08795928955078,9.870108740628325e-05
