step,eval,ess,ess_shaped,clipped,frac_upper,skipped,trip,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.12708333333333333,,,,,,,,,,,,
1,,0.20461784775291358,0.20460554847707474,0.875,0.007952597265225663,0.0,1.0,0.024357388153136657,1212.80419921875,0.012451171875,0.12047275900840759,0.162841796875,3.74530468960188e-05
2,,0.18245308555054224,0.1824496330226345,0.875,0.007938000607983177,0.0,1.0,0.026145251480074017,1186.650390625,0.0146484375,0.12331624329090118,0.182373046875,6.045018480917245e-05
3,,0.23651696997681618,0.23685662614685232,0.875,0.006420064132961121,0.0,1.0,0.02244641639805041,1182.691650390625,0.011474609375,0.0860179141163826,0.216796875,6.660453402149714e-05
4,,0.1704822467194211,0.17048145626185823,0.875,0.006392962009569144,0.0,1.0,0.021525114095236046,1254.509033203125,0.01416015625,0.07732046395540237,0.211669921875,3.188064278006687e-05
5,,0.2978453143546632,0.29779244804593186,0.875,0.00547140251477923,0.0,1.0,0.02224561786263323,1203.18212890625,0.008056640625,0.061121340841054916,0.259033203125,3.8258498403938765e-05
6,,0.269040441306616,0.2689597390460957,0.875,0.005195874021262258,0.0,1.0,0.02012761701981365,1209.360595703125,0.01220703125,0.052126482129096985,0.25390625,7.280096988873478e-05
7,,0.24788945936594275,0.24787539753094806,0.875,0.004684325008430511,0.0,1.0,0.020267951611645255,1234.7177734375,0.01123046875,0.0449952632188797,0.286865234375,1.5254177311874171e-05
8,,0.29405311989596966,0.2940528023651603,0.875,0.004573620880271698,0.0,1.0,0.019393454387773804,1271.482177734375,0.01318359375,0.04157707095146179,0.31591796875,6.597733468431044e-05
9,,0.24232550544304077,0.24232493850792855,0.875,0.004363293053281068,0.0,1.0,0.02010115125205317,1667.02783203125,0.03662109375,0.03965587913990021,0.34814453125,4.5789974145036024e-05
10,0.2125,0.26412501497754803,0.26411084279692976,0.875,0.004100517940656456,0.0,1.0,0.021491179260704974,1927.455322265625,0.048583984375,0.04039987921714783,0.3388671875,4.446744860953089e-05
11,,0.13930050949621708,0.13929996233151076,0.875,0.0038484013822518374,0.0,1.0,0.02487637393328013,2401.646484375,0.08251953125,0.04522405192255974,0.391845703125,8.479921525803835e-05
12,,0.21422879702584868,0.21415671109162732,0.875,0.004070645423023059,0.0,1.0,0.023601360440090514,2482.000244140625,0.07958984375,0.045523177832365036,0.387939453125,6.012439643204432e-05
13,,0.18476878677603437,0.18476824130317554,0.875,0.003996773383848056,0.0,1.0,0.025756120101004767,2771.67041015625,0.08837890625,0.05229078233242035,0.41845703125,8.332157351532117e-05
14,,0.1534853973557679,0.15348485821145108,0.875,0.004115763487845798,0.0,1.0,0.023970512338112003,2990.56689453125,0.106201171875,0.051527779549360275,0.4306640625,5.381230379654885e-05
15,,0.0970436011908668,0.0970432756800776,0.875,0.003997714267603738,0.0,1.0,0.02587521818625407,3287.174072265625,0.12646484375,0.0548739992082119,0.43212890625,3.1378685494652385e-05
16,,0.17739679985507123,0.17720835700873086,0.875,0.004070731718455596,0.0,1.0,0.027661444199671762,3297.2685546875,0.113037109375,0.054694660007953644,0.454833984375,3.1409462560380844e-05
