step,eval,ess,frac_upper,skipped,grad_norm,length,length_clip,entropy,reward,ppo_kl
0,0.1625,,,,,,,,,
1,,0.3178785813401977,0.0023441582575174083,0.0,0.02319126701400262,1078.861083984375,0.005126953125,0.07786555588245392,0.22314453125,5.552229982325488e-05
2,,0.2803778075656679,0.002570677146315402,0.0,0.02339588176020315,1088.174560546875,0.0068359375,0.08191144466400146,0.255615234375,0.0001191855777074049
3,,0.3705106492726379,0.002516013141080394,0.0,0.01930266940965365,1113.127197265625,0.00439453125,0.05623386427760124,0.286865234375,6.786945276755362e-05
4,,0.37888788596155953,0.0026589551893616897,0.0,0.02349166808240026,1140.05029296875,0.00439453125,0.05042560398578644,0.275634765625,0.00010259484817965173
5,,0.39197982221959204,0.0023188149641857943,0.0,0.025887376917429455,1119.704833984375,0.004150390625,0.03131930157542229,0.335205078125,4.364705370137519e-05
6,,0.46541211937484395,0.00220489794399754,0.0,0.019987041632706364,1029.386474609375,0.00244140625,0.025644943118095398,0.333740234375,7.529569363487414e-05
7,,0.38896054624280235,0.0021215978663426125,0.0,0.017045466890700404,1059.508544921875,0.001708984375,0.025524869561195374,0.3662109375,2.11572987767836e-05
8,,0.5016373991486202,0.002152601568518325,0.0,0.015273259740058782,977.072509765625,0.002197265625,0.02159915678203106,0.382568359375,3.118359938791097e-05
9,,0.5543625587275671,0.0020445962013015927,0.0,0.01624886041179239,1043.028564453125,0.0029296875,0.017847053706645966,0.427490234375,8.125709160388005e-06
10,0.1875,0.5040177902976836,0.0018365114652072114,0.0,0.014988693040978808,1065.9501953125,0.002197265625,0.01778019405901432,0.379638671875,7.639460680704722e-06
11,,0.47524730294619527,0.00178165530485456,0.0,0.022476967806391537,1087.31787109375,0.004150390625,0.017311714589595795,0.407958984375,1.6256629124929606e-05
12,,0.5193764657633073,0.002007575460908033,0.0,0.01591226230320647,1017.773193359375,0.001708984375,0.015335218980908394,0.404052734375,2.7225300358482387e-05
13,,0.5188875621316706,0.0021562023502286333,0.0,0.013861361965492116,1033.173095703125,0.001708984375,0.015572493895888329,0.423095703125,1.4992180098335101e-05
