checkpoint_id,selection_bin,draw,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,sample_sequence_ess,raw_gradient_squared_error,ppo_gradient_squared_error,formula_prefers_ppo,fitted_ess_prefers_ppo,effective_count_prefers_ppo,fixed_ess_prefers_ppo
2.0,1.0,1.0,1.0,128.0,4.0801509632285453e-05,0.07836928089504387,0.008780335923952698,0.0021898966648721267,1.0,1.0,1.0,1.0
2.0,1.0,1.0,2.0,256.0,4.0801509632285453e-05,0.025627815595388157,0.2726122293588662,0.2793997973339857,1.0,1.0,1.0,1.0
2.0,1.0,1.0,4.0,512.0,4.0801509632285453e-05,0.027426658073163242,0.06825689934902186,0.0707538432434647,1.0,1.0,1.0,1.0
2.0,1.0,1.0,8.0,1024.0,4.0801509632285453e-05,0.03230963655056419,0.025695988827619615,0.025319298312951002,1.0,0.0,1.0,1.0
2.0,1.0,2.0,1.0,128.0,4.0801509632285453e-05,0.07482646059348463,0.0036114816009364817,0.0014400050546339023,1.0,1.0,1.0,1.0
2.0,1.0,2.0,2.0,256.0,4.0801509632285453e-05,0.010249337594706451,0.1588409858299887,0.1650278630644831,1.0,1.0,1.0,1.0
2.0,1.0,2.0,4.0,512.0,4.0801509632285453e-05,0.012040666370820578,0.0547949204087271,0.052492201155010826,1.0,1.0,1.0,1.0
2.0,1.0,2.0,8.0,1024.0,4.0801509632285453e-05,0.01282423757151576,0.013811578110635965,0.01383529414620185,1.0,0.0,1.0,1.0
2.0,1.0,3.0,1.0,128.0,4.0801509632285453e-05,0.1263467708631994,0.010962035698452353,0.008018648598840206,1.0,1.0,1.0,1.0
2.0,1.0,3.0,2.0,256.0,4.0801509632285453e-05,0.10334798826559947,0.02237444376803365,0.002361376645224095,1.0,1.0,1.0,1.0
2.0,1.0,3.0,4.0,512.0,4.0801509632285453e-05,0.11518423186271594,0.0074939045225764465,0.0021112913977584216,1.0,1.0,1.0,1.0
2.0,1.0,3.0,8.0,1024.0,4.0801509632285453e-05,0.037282771908353385,0.004058560318567769,0.002740527656313448,1.0,0.0,1.0,1.0
2.0,1.0,4.0,1.0,128.0,4.0801509632285453e-05,0.20143098795258813,0.009393313702227742,0.004436097650733759,1.0,1.0,1.0,1.0
2.0,1.0,4.0,2.0,256.0,4.0801509632285453e-05,0.019448971248868605,0.014721547738468083,0.0016598855956261507,1.0,1.0,1.0,1.0
2.0,1.0,4.0,4.0,512.0,4.0801509632285453e-05,0.020524618333747434,0.049726112603262554,0.046272109834231086,1.0,1.0,1.0,1.0
2.0,1.0,4.0,8.0,1024.0,4.0801509632285453e-05,0.004673347364279672,0.4019701012332142,0.41137841331929126,1.0,0.0,1.0,1.0
2.0,1.0,5.0,1.0,128.0,4.0801509632285453e-05,0.11239961778180206,0.008569227839386155,0.0058165055337589585,1.0,1.0,1.0,1.0
2.0,1.0,5.0,2.0,256.0,4.0801509632285453e-05,0.16046843442012965,0.004973229194120283,0.0034727113751167257,1.0,1.0,1.0,1.0
2.0,1.0,5.0,4.0,512.0,4.0801509632285453e-05,0.029589314410787194,0.015071210856229622,0.013800265907251847,1.0,1.0,1.0,1.0
2.0,1.0,5.0,8.0,1024.0,4.0801509632285453e-05,0.007058814563185065,0.009203661496426022,0.008245547062395277,1.0,0.0,1.0,1.0
2.0,1.0,6.0,1.0,128.0,4.0801509632285453e-05,0.149900343671841,0.04020377184045391,0.003428092317896178,1.0,1.0,1.0,1.0
2.0,1.0,6.0,2.0,256.0,4.0801509632285453e-05,0.1327805472236926,0.020107591977935872,0.0026356178534865876,1.0,1.0,1.0,1.0
2.0,1.0,6.0,4.0,512.0,4.0801509632285453e-05,0.09423455000914473,0.007824193600914913,0.003940605724852264,1.0,1.0,1.0,1.0
2.0,1.0,6.0,8.0,1024.0,4.0801509632285453e-05,0.00664370554090171,0.00439723205366886,0.002380945714611473,1.0,0.0,1.0,1.0
2.0,1.0,7.0,1.0,128.0,4.0801509632285453e-05,0.07772959283435606,0.075398604906875,0.08125751069598908,1.0,1.0,1.0,1.0
2.0,1.0,7.0,2.0,256.0,4.0801509632285453e-05,0.0770638062103382,0.020186495421710804,0.021911707903897345,1.0,1.0,1.0,1.0
2.0,1.0,7.0,4.0,512.0,4.0801509632285453e-05,0.0606134596678917,0.008417533925953308,0.008410439487494453,1.0,1.0,1.0,1.0
2.0,1.0,7.0,8.0,1024.0,4.0801509632285453e-05,0.041878768478145874,0.006291212197076929,0.003946354260804192,1.0,0.0,1.0,1.0
2.0,1.0,8.0,1.0,128.0,4.0801509632285453e-05,0.01672887547039313,0.017770869551856992,0.007672965195119389,1.0,1.0,1.0,1.0
2.0,1.0,8.0,2.0,256.0,4.0801509632285453e-05,0.010863938066577419,0.01277318827321153,0.0022950566836689263,1.0,1.0,1.0,1.0
2.0,1.0,8.0,4.0,512.0,4.0801509632285453e-05,0.007925247603437154,0.005270983856110236,0.002445247445633233,1.0,1.0,1.0,1.0
2.0,1.0,8.0,8.0,1024.0,4.0801509632285453e-05,0.009620194644575739,0.1659351582411785,0.15680369958750873,1.0,0.0,1.0,1.0
2.0,1.0,9.0,1.0,128.0,4.0801509632285453e-05,0.14043802517826373,0.003223806108596577,0.0014648075784774559,1.0,1.0,1.0,1.0
2.0,1.0,9.0,2.0,256.0,4.0801509632285453e-05,0.04811416399302548,0.026361708772297893,0.0247516006362533,1.0,1.0,1.0,1.0
2.0,1.0,9.0,4.0,512.0,4.0801509632285453e-05,0.03810852686907205,0.02116753576677444,0.020556188693142942,1.0,1.0,1.0,1.0
2.0,1.0,9.0,8.0,1024.0,4.0801509632285453e-05,0.039957072910795,0.006119204752020905,0.005735591730757413,1.0,0.0,1.0,1.0
2.0,1.0,10.0,1.0,128.0,4.0801509632285453e-05,0.06595524401987539,0.08771388272574107,0.08112334132003426,1.0,1.0,1.0,1.0
2.0,1.0,10.0,2.0,256.0,4.0801509632285453e-05,0.04468964939752028,0.04417395788054039,0.04046906602262905,1.0,1.0,1.0,1.0
2.0,1.0,10.0,4.0,512.0,4.0801509632285453e-05,0.048454806453870014,0.009573253262887715,0.011134823418394398,1.0,1.0,1.0,1.0
2.0,1.0,10.0,8.0,1024.0,4.0801509632285453e-05,0.06056755321496414,0.008192222503894519,0.009030181583145933,1.0,0.0,1.0,1.0
2.0,1.0,11.0,1.0,128.0,4.0801509632285453e-05,0.021184307645597363,0.0026261142269217354,0.0025462308890561516,1.0,1.0,1.0,1.0
2.0,1.0,11.0,2.0,256.0,4.0801509632285453e-05,0.024248729334323302,0.015499257914681094,0.015080079022144787,1.0,1.0,1.0,1.0
2.0,1.0,11.0,4.0,512.0,4.0801509632285453e-05,0.02753325905268026,0.006115513286660228,0.006461115334925319,1.0,1.0,1.0,1.0
2.0,1.0,11.0,8.0,1024.0,4.0801509632285453e-05,0.004562754118017618,0.009144650424633145,0.009139033302967342,1.0,0.0,1.0,1.0
2.0,1.0,12.0,1.0,128.0,4.0801509632285453e-05,0.030683891366464554,0.6422071836474788,0.6475376195041791,1.0,1.0,1.0,1.0
2.0,1.0,12.0,2.0,256.0,4.0801509632285453e-05,0.03324894952297821,0.1603869502342039,0.1623296384156566,1.0,1.0,1.0,1.0
2.0,1.0,12.0,4.0,512.0,4.0801509632285453e-05,0.02448909214376088,0.04881895502707098,0.0480275049081821,1.0,1.0,1.0,1.0
2.0,1.0,12.0,8.0,1024.0,4.0801509632285453e-05,0.026032673483600537,0.02872741500308882,0.029254430986815964,1.0,0.0,1.0,1.0
2.0,1.0,13.0,1.0,128.0,4.0801509632285453e-05,0.015479997423024063,0.006400670608751709,0.005879482717728364,1.0,1.0,1.0,1.0
2.0,1.0,13.0,2.0,256.0,4.0801509632285453e-05,0.02085977871220763,0.0031496155046199592,0.0027906102225537686,1.0,1.0,1.0,1.0
2.0,1.0,13.0,4.0,512.0,4.0801509632285453e-05,0.016720696824053947,0.023211371495303456,0.023286650422426274,1.0,1.0,1.0,1.0
2.0,1.0,13.0,8.0,1024.0,4.0801509632285453e-05,0.02407065515549138,0.009586185938190755,0.011016064301687747,1.0,0.0,1.0,1.0
2.0,1.0,14.0,1.0,128.0,4.0801509632285453e-05,0.013087276325193973,0.009161674791403333,0.009008464149395212,1.0,1.0,1.0,1.0
2.0,1.0,14.0,2.0,256.0,4.0801509632285453e-05,0.017878537898828095,0.004834011232399604,0.004553198175460994,1.0,1.0,1.0,1.0
2.0,1.0,14.0,4.0,512.0,4.0801509632285453e-05,0.015429722074461657,0.06360091698568862,0.06382025437665337,1.0,1.0,1.0,1.0
2.0,1.0,14.0,8.0,1024.0,4.0801509632285453e-05,0.013360883132970597,0.03439398028778267,0.033793184149732355,1.0,0.0,1.0,1.0
2.0,1.0,15.0,1.0,128.0,4.0801509632285453e-05,0.09400485721228564,0.014393994788695621,0.0024169218063362728,1.0,1.0,1.0,1.0
2.0,1.0,15.0,2.0,256.0,4.0801509632285453e-05,0.0974375374196154,0.010697458105675418,0.00702574393979833,1.0,1.0,1.0,1.0
2.0,1.0,15.0,4.0,512.0,4.0801509632285453e-05,0.09343175831730781,0.004073970388797534,0.00366308708788342,1.0,1.0,1.0,1.0
2.0,1.0,15.0,8.0,1024.0,4.0801509632285453e-05,0.09116222315188004,0.0018745313576767546,0.0024627418260384985,1.0,0.0,1.0,1.0
2.0,1.0,16.0,1.0,128.0,4.0801509632285453e-05,0.01932609073978111,0.07148152180173631,0.07283772779156061,1.0,1.0,1.0,1.0
2.0,1.0,16.0,2.0,256.0,4.0801509632285453e-05,0.02360615541622367,0.0956367987177463,0.08121868328721521,1.0,1.0,1.0,1.0
2.0,1.0,16.0,4.0,512.0,4.0801509632285453e-05,0.03782467426012665,0.025413154053321674,0.019657523369829528,1.0,1.0,1.0,1.0
2.0,1.0,16.0,8.0,1024.0,4.0801509632285453e-05,0.023415643974645566,0.011423642254860476,0.010244776877962715,1.0,0.0,1.0,1.0
2.0,1.0,17.0,1.0,128.0,4.0801509632285453e-05,0.05162415701555981,0.008207889396003283,0.009895106225969322,1.0,1.0,1.0,1.0
2.0,1.0,17.0,2.0,256.0,4.0801509632285453e-05,0.05588209036571646,0.007751479306264407,0.011081839152490468,1.0,1.0,1.0,1.0
2.0,1.0,17.0,4.0,512.0,4.0801509632285453e-05,0.05010354870690881,0.00828420254330946,0.01005196350357173,1.0,1.0,1.0,1.0
2.0,1.0,17.0,8.0,1024.0,4.0801509632285453e-05,0.04862870781852704,0.00222102680031975,0.003414489670324028,1.0,0.0,1.0,1.0
2.0,1.0,18.0,1.0,128.0,4.0801509632285453e-05,0.041257181681232456,0.012802483555167832,0.006835334094535919,1.0,1.0,1.0,1.0
2.0,1.0,18.0,2.0,256.0,4.0801509632285453e-05,0.03584540494638071,0.008269619015509058,0.0038080391160774506,1.0,1.0,1.0,1.0
