comparison,replications,mean_difference,se_difference
ppo_minus_raw,100.0,0.040786296148839274,0.010680816011663746
oracle_minus_raw,100.0,0.049717085399222365,0.01043818989684588
oracle_minus_ppo,100.0,0.008930789250383101,0.0029364179994504367
