replication,rollout_batch,minibatch,normalized_ess,population_sequence_ess,effective_sequences,mean_ratio,max_ratio,raw_gradient_mse,ppo_gradient_mse,raw_minus_ppo_mse,raw_relative_gain_pct,ppo_relative_gain_pct,ppo_minus_raw_gain_pct,oracle_relative_gain_pct,trajectory_method
0.0,1.0,12.0,0.2814676960001516,nan,144.11146035207761,1.0318694726264142,18.00722813209924,0.003591067714268695,0.004336446511887111,-0.0007453787976184159,3.76325341370365,0.24344143975107607,-3.519811973952574,nan,ESS fixed 0.1
0.0,1.0,14.0,0.2056957385236524,nan,105.31621812411002,0.9441261809878092,31.261097056200878,0.001701121913588765,0.0016494573044752961,5.166460911346896e-05,3.5682476521885165,0.388893033924773,-3.1793546182637433,nan,ESS fixed 0.1
0.0,1.0,15.0,0.24862344216510712,nan,127.29520238853485,1.0533924994511872,18.08959961814407,0.007953486004633088,0.004891238378846538,0.00306224762578655,3.1368549274821538,0.081504302657113,-3.0553506248250404,nan,ESS fixed 0.1
0.0,1.0,16.0,0.4157476747714972,nan,212.86280948300657,1.0061119932889704,12.366508174361968,0.008740556431729557,0.0019633188620222924,0.006777237569707264,2.921982549636454,-0.10479469587186915,-3.026777245508323,nan,ESS fixed 0.1
0.0,1.0,17.0,0.03520081587616347,nan,18.022817728595697,1.0425552958155828,122.19980789925975,0.0038273130955760984,0.004623376407587854,-0.0007960633120117559,1.36950667612361,0.09589190312454315,-1.273614772999067,nan,ESS fixed 0.1
0.0,1.0,18.0,0.05499747530449406,nan,28.158707355900958,1.275864315797941,97.5581542961367,0.14043428527877197,0.15207582306305178,-0.011641537784279815,-18.924694087025973,-23.726480376820863,-4.801786289794893,nan,ESS fixed 0.1
0.0,1.0,19.0,0.35642181015778124,nan,182.487966800784,0.9511398441142696,15.71585253978408,0.007799317792672919,0.0067197509705789115,0.0010795668220940071,10.269440221726224,6.55892160581245,-3.710518615913775,nan,ESS fixed 0.1
0.0,1.0,20.0,0.16184288014025014,nan,82.86355463180807,1.0769789949720734,47.24428010824077,0.004805850322441706,0.006992034220985094,-0.0021861838985433885,5.787986454542641,3.7487552704378926,-2.039231184104748,nan,ESS fixed 0.1
0.0,1.0,25.0,0.38299291557355003,nan,196.09237277365762,0.9849019441087705,14.445437466975356,0.004077414142650067,0.002881534566382295,0.0011958795762677717,1.4846924517852564,0.03387737294380628,-1.4508150788414502,nan,ESS fixed 0.1
0.0,1.0,28.0,0.15900176404735192,nan,81.40890319224418,1.0519907660340504,33.595973955609466,0.003914533255544014,0.0022412625334875752,0.001673270722056439,3.4693558988357283,0.18279539843382037,-3.2865605004019076,nan,ESS fixed 0.1
0.0,1.0,30.0,0.19856377795279048,nan,101.66465431182873,0.8985770825461017,18.67526573089777,0.002414789198094681,0.0016847477557166359,0.0007300414423780451,2.7076998065527844,0.0651278973709199,-2.6425719091818647,nan,ESS fixed 0.1
0.0,1.0,31.0,0.04506395680568537,nan,23.07274588451091,1.2712642503590306,121.87097918259086,0.009186146932521887,0.0023962524280165837,0.006789894504505303,3.043152573026326,0.4557321857374563,-2.58742038728887,nan,ESS fixed 0.1
