batch_size,path_scale,population_rho,population_value,signal_sq,raw_mse,ppo_mse,raw_relative_risk,ppo_relative_risk,raw_certificate,ppo_certificate,raw_certified,ppo_certified,ppo_only_certified
160,0.0,1.0,0.26409195184164375,0.00904281695326705,0.013523662835072323,0.013523662835072323,1.495514385059669,1.495514385059669,-0.00038087189995344815,-0.00038087189995344815,0.0,0.0,0.0
160,0.0125,0.9991113423992675,0.27493997055625136,0.009476833828209602,0.013784760455315126,0.013784760455315126,1.454574460753143,1.454574460753143,-0.00036617376330396953,-0.00036617376330396953,0.0,0.0,0.0
160,0.025,0.9964458593499054,0.28597265538016053,0.009895138155650449,0.014043957148372473,0.014043957148372473,1.4192785312808303,1.4192785312808303,-0.00035264961438137213,-0.00035264961438137213,0.0,0.0,0.0
160,0.037500000000000006,0.9920219470317241,0.29717412123969494,0.010293303458718516,0.014298600210919322,0.014276318411710284,1.3891167464618255,1.3869520576135468,-0.0003404502239370685,-0.0003385562710043002,0.0,0.0,0.0
160,0.05,0.9858816255429677,0.308527610500356,0.010667033250135856,0.014546080294922287,0.014079018056104148,1.3636481628794987,1.319862582778097,-0.0003297189988068467,-0.0002900187085073048,0.0,0.0,0.0
160,0.0625,0.9780899059271021,0.32001561518908384,0.011012258861536787,0.014783877292858067,0.013818809795392548,1.3424927145959717,1.2548569706854948,-0.0003205875666623088,-0.00023855682937773976,0.0,0.0,0.0
160,0.07500000000000001,0.9687333045860657,0.3316200088243894,0.011325232576600258,0.015009604177147317,0.012321698790062945,1.3253241446148805,1.0879863796812037,-0.0003131715860465,-8.469962814432835e-05,0.0,0.0,0.0
160,0.08750000000000001,0.9579175805678947,0.34332218545606213,0.01160261247170926,0.01522104728810085,0.011726459007623272,1.3118638000893719,1.0106740215805696,-0.0003075669593932852,-1.0526955552690975e-05,0.0,0.0,0.0
160,0.1,0.945764824434929,0.35510320336220125,0.011841535767046728,0.015416201750580841,0.01141068800369769,1.3018752004686662,0.9636155502271906,-0.0003038466086003996,3.662205988466826e-05,0.0,1.0,1.0
160,0.1125,0.9324100679561346,0.36694393078455523,0.012039678067817843,0.015593300952928818,0.011347690888618724,1.295159294550395,0.9425244449808997,-0.00030205794523443293,5.881891023192511e-05,0.0,1.0,1.0
160,0.125,0.9179976078306635,0.378825191103528,0.012195296585101156,0.015750839322073627,0.011393510515701429,1.2915503294373532,0.9342544837835876,-0.00030222113264266007,6.815181589897687e-05,0.0,1.0,1.0
160,0.1375,0.9026772425337433,0.3907279049571117,0.01230725621557245,0.015887587953280068,0.01145018077985168,1.2909122614330075,0.9303601533348833,-0.00030432819770514753,7.285141203626537e-05,0.0,1.0,1.0
160,0.15000000000000002,0.8866006101110279,0.4026332269848695,0.012375038172766027,0.016002602978847487,0.011528480935590005,1.2931356457602456,0.9315915453869827,-0.00030834300851692413,7.195736515996183e-05,0.0,1.0,1.0
160,0.1625,0.8699177893129011,0.4145226751172129,0.012398731645526224,0.01609522686636846,0.01161513412848355,1.298134948519192,0.9368001873542108,-0.0003142020937715901,6.660578894862737e-05,0.0,1.0,1.0
160,0.17500000000000002,0.852774291188516,0.426378250617731,0.012379009664448545,0.016165083106727512,0.011645806665133393,1.3058462304260288,0.9407704639393853,-0.0003218162425937123,6.232225494178793e-05,0.0,1.0,1.0
160,0.1875,0.835308528014389,0.4381825474072605,0.012317090947105019,0.016212064972369666,0.011650672636179341,1.3162251575466457,0.9458948290803754,-0.000331072792147495,5.6645556428682614e-05,0.0,1.0,1.0
160,0.2,0.817649805840848,0.44991884953762884,0.012214689942493433,0.016236319190124197,0.01160775862508781,1.329245299435723,0.9503113611345809,-0.00034183848604861495,5.158916197947791e-05,0.0,1.0,1.0
160,0.21250000000000002,0.7999168498088296,0.46157121602621365,0.012073957591951175,0.016238225477618287,0.011534868988256095,1.3448966798130155,0.9553511266219412,-0.0003539627702817045,4.582253131408181e-05,0.0,1.0,1.0
160,0.225,0.7822168403773045,0.47312455259673075,0.011897415467281732,0.016218372940026416,0.011468745920922844,1.3631845491676284,0.9639695236719485,-0.00036728138518329814,3.643691144050551e-05,0.0,1.0,1.0
160,0.23750000000000002,0.7646449151365986,0.4845646701860775,0.01168788594699981,0.016177534320035786,0.011344373597618933,1.384128352500602,0.9706095395746863,-0.000381620111708058,2.9198549697374574e-05,0.0,1.0,1.0
160,0.25,0.7472840752847211,0.49587833036294354,0.011448420966449942,0.016116639046394522,0.011170620250398786,1.4077608688241794,0.9757345823615972,-0.0003967985367952894,2.3613060864348245e-05,0.0,1.0,1.0
160,0.2625,0.7302054275685712,0.5070532780549707,0.011182231650621521,0.016036745944603782,0.01097281975255274,1.4341275020637263,0.9812727991503252,-0.0004126337149884922,1.7800011335846337e-05,0.0,1.0,1.0
160,0.275,0.7134686904274344,0.5180782621935649,0.010892620836175933,0.0159390163670505,0.010731447195445314,1.46328570568754,0.98520341034957,-0.00042894362012433837,1.3699759462102568e-05,0.0,1.0,1.0
160,0.28750000000000003,0.6971228958261949,0.5289430450571967,0.01058292013843124,0.015824688378674793,0.01049499361777282,1.4953045257526216,0.9916916579253849,-0.00044555030042070206,7.473754255965657e-06,0.0,1.0,1.0
