initialization_scale,batch_size,epochs,updates,learning_rate,eta_max,initial_value,raw_final,ppo_final,final_raw_minus_ppo,max_early_raw_advantage,max_early_update,persistent_crossover_update,minimum_raw_rho,minimum_ppo_rho,transition_visible
-0.1,64,4,239,0.1689227278777497,0.1723701304874997,0.05611366170982111,0.1465379419893036,0.07161597273970084,0.07492196924960275,0.003035757077684345,70,-1,0.3221092352420636,0.9832750861798852,0.0
-0.05,64,4,239,0.1689227278777497,0.1723701304874997,0.07531021897237591,0.23659357303825215,0.09796414594855163,0.13862942708970052,0.00670417236654712,70,-1,0.2953509606135163,0.9798590895426756,0.0
0.0,64,4,239,0.1689227278777497,0.1723701304874997,0.10000000000000002,0.3206151096685581,0.13285447737203612,0.18776063229652198,0.013250239910046188,70,-1,0.3443067581297156,0.9749330103123861,0.0
0.05,64,4,239,0.1689227278777497,0.1723701304874997,0.13106220571157448,0.4009536367931543,0.17857250164938562,0.2223811351437687,0.02463227315792707,70,-1,0.37723750686446716,0.966293432892087,0.0
0.0,32,8,956,0.1689227278777497,0.1723701304874997,0.10000000000000002,0.6171328748604471,0.15771060349689142,0.4594222713635557,0.2521022050729979,310,-1,0.1533670018183342,0.9386927819319945,0.0
-0.1,32,4,478,0.1689227278777497,0.1723701304874997,0.05611366170982111,0.30826576590665933,0.0751942392778411,0.23307152662881825,0.023313113690317216,150,-1,0.16595234830815606,0.9771105672865814,0.0
-0.1,64,8,478,0.1689227278777497,0.1723701304874997,0.05611366170982111,0.3134915108289853,0.0741674780358026,0.2393240327931827,0.027363581716862678,150,-1,0.15651633796581302,0.979659562054449,0.0
0.05,32,8,956,0.1689227278777497,0.1723701304874997,0.13106220571157448,0.7141871126396628,0.2217056076488119,0.49248150499085097,0.275299915606825,310,-1,0.1971994511172099,0.8985608414529779,0.0
0.05,64,8,478,0.1689227278777497,0.1723701304874997,0.13106220571157448,0.5644877531490075,0.19505552182753924,0.3694322313214682,0.1211255231948101,150,-1,0.25562938401970736,0.9447133666980648,0.0
-0.05,32,4,478,0.1689227278777497,0.1723701304874997,0.07531021897237591,0.4084566787026113,0.10372247277643687,0.30473420592617445,0.05577459856226963,150,-1,0.17069216753538116,0.9706347051981465,0.0
0.05,32,4,478,0.1689227278777497,0.1723701304874997,0.13106220571157448,0.5606735409827128,0.19623128295747047,0.3644422580252423,0.11147206591163208,150,-1,0.25288528814531214,0.941635786508876,0.0
-0.05,32,8,956,0.1689227278777497,0.1723701304874997,0.07531021897237591,0.5500014940749439,0.11072074531118437,0.43928074876375955,0.18199443419849343,310,-1,0.11988793833074203,0.9614387492949136,0.0
-0.05,64,8,478,0.1689227278777497,0.1723701304874997,0.07531021897237591,0.42255798003750084,0.10262080045803106,0.31993717957946977,0.055599243982228916,150,-1,0.16678407416710161,0.9738083078634029,0.0
0.0,32,4,478,0.1689227278777497,0.1723701304874997,0.10000000000000002,0.48809045239975185,0.14298758675802958,0.34510286564172227,0.07949071526829629,150,-1,0.18956855195493116,0.960696323925327,0.0
0.0,64,8,478,0.1689227278777497,0.1723701304874997,0.10000000000000002,0.4939738987469197,0.14193078078253737,0.35204311796438237,0.08598983007571401,150,-1,0.19213128433372825,0.9638754718836152,0.0
-0.1,32,8,956,0.1689227278777497,0.1723701304874997,0.05611366170982111,0.4870287226137324,0.07859288715039832,0.4084358354633341,0.11575302337849051,310,-1,0.09274876281345913,0.9713026807562374,0.0
