iteration,raw_mean,raw_se,ppo_mean,ppo_se,raw_minus_ppo
0.0,0.2640919518416433,4.463264492478967e-17,0.2640919518416433,4.463264492478967e-17,0.0
1.0,0.31213503035032575,0.0014846079884773833,0.30343716837051926,0.0004992162950784855,0.008697861979806487
2.0,0.36292495548168924,0.0021267547261678973,0.3455325717761346,0.0007908698295973146,0.017392383705554626
3.0,0.40676330405548233,0.002915720957744625,0.38860394604798754,0.0009702484566222554,0.018159358007494797
4.0,0.4484396849162085,0.002589020870929667,0.4305885991375169,0.0011140060375657696,0.0178510857786916
5.0,0.4770093874344932,0.004871680986678119,0.468057895092225,0.0011205547532392023,0.008951492342268219
6.0,0.5098802575048813,0.0037294326582377525,0.4993933512038244,0.0012533724555215963,0.01048690630105692
7.0,0.5363134453780386,0.0038916251782449437,0.529200558092817,0.0012198796058190985,0.007112887285221636
8.0,0.5602664881972885,0.0031295035184759983,0.5545562150297991,0.0012336904804032883,0.005710273167489399
9.0,0.5785826420466171,0.003208787341215471,0.5769471213151255,0.0011745984330140654,0.0016355207314916465
10.0,0.5875547462815699,0.006201499395089219,0.5964041464771586,0.0014744061431748532,-0.008849400195588664
11.0,0.6074192298417134,0.006075389815774658,0.614090741074051,0.0012904360817205427,-0.006671511232337668
12.0,0.6190439323933163,0.006234751066986901,0.6307667239791482,0.0012718774122664426,-0.011722791585831893
13.0,0.6286041869100646,0.008227943108167067,0.6442671446234588,0.001448678970567602,-0.01566295771339421
14.0,0.6416320541780004,0.006703248669071194,0.6561999062312078,0.001552544223212243,-0.01456785205320743
15.0,0.6475851770582643,0.007305996116623184,0.6674766783791842,0.001509707187867177,-0.01989150132091988
16.0,0.6641842130144453,0.006844700897038274,0.6784025971521536,0.0017917294372004002,-0.014218384137708262
17.0,0.6716512183338996,0.008082567922189615,0.68917350313073,0.0017358585167981766,-0.01752228479683038
18.0,0.6761460151212682,0.00852673589220706,0.6975177469632119,0.0019368804289651327,-0.021371731841943742
19.0,0.6759423883214118,0.010266670805437632,0.706117137064006,0.002091806355491638,-0.030174748742594182
20.0,0.6846642597150654,0.01024315461401171,0.7152065992131602,0.0021483190902638716,-0.030542339498094817
21.0,0.6866592254259994,0.010448279337364912,0.7236542669853319,0.002090096551831775,-0.03699504155933242
22.0,0.6922365123449559,0.011139681866951516,0.7319215459453087,0.002128608297582829,-0.039685033600352804
23.0,0.702832362532503,0.009898350215640658,0.7362469682072477,0.0022122748110578686,-0.033414605674744635
24.0,0.7099642760599931,0.009606395138102972,0.7410250519295037,0.0021799446225925986,-0.031060775869510615
25.0,0.7162045007072009,0.009652822497542377,0.747606373649697,0.00209232843941578,-0.03140187294249608
