rollout_size,policy_iterations,minibatches,minibatch_size,total_updates,mean_feature_norm_sq,global_L_bound,eta_max,eta_fraction,learning_rate,replications,seed_start,raw_mean,raw_se,ppo_mean,ppo_se,oracle_mean,oracle_se,oracle_ppo_fraction,oracle_gain_vs_raw,oracle_gain_vs_raw_se,oracle_gain_vs_ppo,oracle_gain_vs_ppo_se
320,1,20,16,20,16.120974199288256,8.060487099644128,0.12406198132171817,0.5,0.062030990660859084,12,20320826,0.4519277540905973,0.00032746617638519285,0.4517109515257791,0.00028977441925477415,0.4517109515257791,0.00028977441925477415,0.6583333333333333,-0.0002168025648183284,8.396047025096272e-05,0.0,0.0
320,1,20,16,20,16.120974199288256,8.060487099644128,0.12406198132171817,0.75,0.09304648599128862,12,20320826,0.45771082829922977,0.00043753469316466456,0.4568059793296774,0.0002947261492096163,0.4568059793296774,0.0002947261492096163,0.8291666666666666,-0.000904848969552452,0.00023075477607331947,0.0,0.0
320,1,20,16,20,16.120974199288256,8.060487099644128,0.12406198132171817,0.9,0.11165578318954636,12,20320826,0.4609334279227008,0.0005075263116808282,0.45966868910125985,0.0003077504569320381,0.45966868910125985,0.0003077504569320381,0.85,-0.0012647388214409722,0.0002696933263226609,0.0,0.0
320,1,20,16,20,16.120974199288256,8.060487099644128,0.12406198132171817,1.0,0.12406198132171817,12,20320826,0.4629967917381432,0.0005576951152228819,0.46126984032558077,0.00034179701540586844,0.46126984032558077,0.00034179701540586844,0.8624999999999999,-0.0017269514125624792,0.00030474000435416814,0.0,0.0
320,1,32,10,32,16.120974199288256,8.060487099644128,0.12406198132171817,0.5,0.062030990660859084,12,20320826,0.45881095892488916,0.0004664399679919887,0.45782959809097634,0.0003116576354312333,0.45782959809097634,0.0003116576354312333,0.8333333333333334,-0.0009813608339128653,0.00026148658785325155,0.0,0.0
320,1,32,10,32,16.120974199288256,8.060487099644128,0.12406198132171817,0.75,0.09304648599128862,12,20320826,0.46698896733856454,0.0006794015644916342,0.4650155987502698,0.0003916201099940561,0.4650155987502698,0.0003916201099940561,0.90625,-0.001973368588294694,0.0004167882597475006,0.0,0.0
320,1,32,10,32,16.120974199288256,8.060487099644128,0.12406198132171817,0.9,0.11165578318954636,12,20320826,0.4715100714549112,0.000824581745352753,0.46869623008264166,0.00044519520524623066,0.46869623008264166,0.00044519520524623066,0.9270833333333334,-0.002813841372269472,0.0006235174952430562,0.0,0.0
320,1,32,10,32,16.120974199288256,8.060487099644128,0.12406198132171817,1.0,0.12406198132171817,12,20320826,0.474401901900771,0.000924506198351396,0.47145655609676423,0.0005083379158313491,0.47145655609676423,0.0005083379158313491,0.9375,-0.0029453458040067846,0.0006979037287554795,0.0,0.0
320,1,40,8,40,16.120974199288256,8.060487099644128,0.12406198132171817,0.5,0.062030990660859084,12,20320826,0.46299880913711483,0.0005575751400777418,0.46134585701649167,0.000355358486797821,0.46134585701649167,0.000355358486797821,0.8770833333333333,-0.0016529521206231773,0.00031187208459119195,0.0,0.0
320,1,40,8,40,16.120974199288256,8.060487099644128,0.12406198132171817,0.75,0.09304648599128862,12,20320826,0.4725788311760357,0.0008392978262183515,0.46991585555278875,0.0004328139588322686,0.46991585555278875,0.0004328139588322686,0.9374999999999999,-0.0026629756232469707,0.0006783558239413516,0.0,0.0
320,1,40,8,40,16.120974199288256,8.060487099644128,0.12406198132171817,0.9,0.11165578318954636,12,20320826,0.47787674174150707,0.0010185762867629623,0.47424216676753733,0.0005449534433255006,0.47424216676753733,0.0005449534433255006,0.9499999999999998,-0.0036345749739697722,0.0007915009349927999,0.0,0.0
320,1,40,8,40,16.120974199288256,8.060487099644128,0.12406198132171817,1.0,0.12406198132171817,12,20320826,0.48126833470824826,0.00113662439992183,0.4771067542115534,0.0005653282976959386,0.4771067542115534,0.0005653282976959386,0.9604166666666666,-0.004161580496694975,0.0009386402176488368,0.0,0.0
320,2,16,20,32,16.120974199288256,8.060487099644128,0.12406198132171817,0.5,0.062030990660859084,12,20320826,0.45983940570548326,0.00035489275946775083,0.45969334209038654,0.0003367755977120659,0.45969334209038654,0.0003367755977120659,0.4557291666666667,-0.0001460636150968179,4.306793089250975e-05,0.0,0.0
320,2,16,20,32,16.120974199288256,8.060487099644128,0.12406198132171817,0.75,0.09304648599128862,12,20320826,0.46877982233554416,0.000479870523156687,0.4681556767542072,0.0003739287123564264,0.4681556767542072,0.0003739287123564264,0.7265625,-0.0006241455813369065,0.00016226334279986868,0.0,0.0
320,2,16,20,32,16.120974199288256,8.060487099644128,0.12406198132171817,0.9,0.11165578318954636,12,20320826,0.47371582286013597,0.0006366062533838483,0.47291174232293054,0.000435596375872768,0.47291174232293054,0.000435596375872768,0.7838541666666666,-0.000804080537205464,0.0002799592898583795,0.0,0.0
320,2,16,20,32,16.120974199288256,8.060487099644128,0.12406198132171817,1.0,0.12406198132171817,12,20320826,0.4770006717801778,0.0006714967320166493,0.4757556345593572,0.0004713353908806009,0.4757556345593572,0.0004713353908806009,0.8151041666666666,-0.001245037220820533,0.0003798768627252507,0.0,0.0
320,2,20,16,40,16.120974199288256,8.060487099644128,0.12406198132171817,0.5,0.062030990660859084,12,20320826,0.46435650562918535,0.0004149587696423539,0.4640515916603986,0.0003766650320543288,0.4640515916603986,0.0003766650320543288,0.6145833333333334,-0.00030491396878667976,8.345784174520186e-05,0.0,0.0
320,2,20,16,40,16.120974199288256,8.060487099644128,0.12406198132171817,0.75,0.09304648599128862,12,20320826,0.4750827695769925,0.0006056041939535633,0.4738068938487605,0.00040005367970405995,0.4738068938487605,0.00040005367970405995,0.8124999999999999,-0.0012758757282320076,0.0003558516387569135,0.0,0.0
320,2,20,16,40,16.120974199288256,8.060487099644128,0.12406198132171817,0.9,0.11165578318954636,12,20320826,0.48112550989370667,0.0006692105168196735,0.4793191701518937,0.0004717991154683397,0.4793191701518937,0.0004717991154683397,0.8583333333333333,-0.0018063397418129578,0.0003767957474609902,0.0,0.0
