path_scale,population_rho,population_value,signal_sq,current_min_shifted_logit,rollout_min_shifted_logit,gradient_check_max_abs,raw_alignment,raw_mean_norm_sq,raw_single_variance,raw_variance,raw_second_moment,raw_bias_sq,raw_mse,raw_mse_identity_error,raw_certificate,raw_certificate_identity_error,ppo_alignment,ppo_mean_norm_sq,ppo_single_variance,ppo_variance,ppo_second_moment,ppo_bias_sq,ppo_mse,ppo_mse_identity_error,ppo_certificate,ppo_certificate_identity_error,mse_reduction,mse_tie,certificate_requirement,certificate_gap_ppo_minus_raw,certificate_tie,mse_oracle,certificate_oracle,safe_oracle,ppo_lower_mse_raw_higher_certificate
0.0,1.0,0.26577382348961814,0.009267532679160645,-3.166753727259008,-3.166753727259008,0.0,0.009267532679160645,0.009267532679160645,2.176260387840108,0.006800813712000338,0.016068346391160983,1.2701130650722055e-34,0.006800813712000338,1.734723475976807e-18,0.00022845131845667722,-8.131516293641283e-20,0.009267532679160645,0.009267532679160645,2.176260387840108,0.006800813712000338,0.016068346391160983,1.2701130650722055e-34,0.006800813712000338,1.734723475976807e-18,0.00022845131845667722,-8.131516293641283e-20,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
0.0025,0.999964127110297,0.267952140288194,0.009357431249580214,-3.198421264531598,-3.166753727259008,0.0,0.009357431249580214,0.009357431249580214,2.1845937268095748,0.006826855396279921,0.016184286645860135,1.3636197371180189e-34,0.006826855396279921,8.673617379884035e-19,0.00023401466130640097,-2.710505431213761e-20,0.009357431249580214,0.009357431249580214,2.1845937268095748,0.006826855396279921,0.016184286645860135,1.3636197371180189e-34,0.006826855396279921,8.673617379884035e-19,0.00023401466130640097,-2.710505431213761e-20,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
0.005,0.99985643754626,0.2701384293723014,0.009446813800070404,-3.230088801804188,-3.166753727259008,0.0,0.009446813800070406,0.009446813800070406,2.192927692515895,0.006852899039112172,0.01629971283918258,1.4121509820757013e-34,0.006852899039112172,-8.673617379884035e-19,0.00023953337516547453,-1.0842021724855044e-19,0.009446813800070406,0.009446813800070406,2.192927692515895,0.006852899039112172,0.01629971283918258,1.4121509820757013e-34,0.006852899039112172,-8.673617379884035e-19,0.00023953337516547453,-1.0842021724855044e-19,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
0.0075,0.9996768528280425,0.27233257079935963,0.009535643211338998,-3.261756339076778,-3.166753727259008,0.0,0.009535643211339,0.009535643211339,2.2012588376446804,0.006878933867639626,0.016414577078978625,1.1839045002878245e-34,0.006878933867639626,-2.6020852139652106e-18,0.000245005164612021,-3.2526065174565133e-19,0.009535643211339,0.009535643211339,2.2012588376446804,0.006878933867639626,0.016414577078978625,1.1839045002878245e-34,0.006878933867639626,-2.6020852139652106e-18,0.000245005164612021,-3.2526065174565133e-19,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
0.01,0.9994253319438323,0.27453444292508133,0.009623882325601442,-3.293423876349369,-3.166753727259008,0.0,0.009623882325601442,0.009623882325601442,2.2095837076469422,0.006904949086396694,0.016528831411998138,1.6545291467684285e-34,0.006904949086396694,1.734723475976807e-18,0.0002504277328025928,-1.0842021724855044e-19,0.009623882325601442,0.009623882325601442,2.2095837076469422,0.006904949086396694,0.016528831411998138,1.6545291467684285e-34,0.006904949086396694,1.734723475976807e-18,0.0002504277328025928,-1.0842021724855044e-19,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
0.0125,0.9991018717042539,0.27674392243547796,0.009711493979081224,-3.3250914136219576,-3.166753727259008,0.0,0.009711493979081224,0.009711493979081224,2.217898843116334,0.006930933884738544,0.016642427863819767,2.000216178039493e-34,0.006930933884738544,-8.673617379884035e-19,0.0002557987836499182,-1.0842021724855044e-19,0.009711493979081224,0.009711493979081224,2.217898843116334,0.006930933884738544,0.016642427863819767,2.000216178039493e-34,0.006930933884738544,-8.673617379884035e-19,0.0002557987836499182,-1.0842021724855044e-19,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
0.015,0.9987065070439461,0.2789608843798048,0.00979844103479777,-3.356758950894548,-3.166753727259008,0.0,0.00979844103479777,0.00979844103479777,2.226200782184535,0.006956877444326671,0.01675531847912444,1.7911043300853712e-34,0.006956877444326671,-1.734723475976807e-18,0.00026111602402066787,-1.0842021724855044e-19,0.00979844103479777,0.00979844103479777,2.226200782184535,0.006956877444326671,0.01675531847912444,1.7911043300853712e-34,0.006956877444326671,-1.734723475976807e-18,0.00026111602402066787,-1.0842021724855044e-19,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
0.0175,0.9982393112690896,0.28118520220442594,0.009884686415592567,-3.3884264881671387,-3.166753727259008,0.0,0.009884686415592567,0.00988468641559257,2.2344860629314307,0.006982768946660721,0.01686745536225329,1.604209315762896e-34,0.006982768946660721,1.734723475976807e-18,0.0002663771659498738,1.6263032587282567e-19,0.009884686415592567,0.00988468641559257,2.2344860629314307,0.006982768946660721,0.01686745536225329,1.604209315762896e-34,0.006982768946660721,1.734723475976807e-18,0.0002663771659498738,1.6263032587282567e-19,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
0.02,0.9977003962498057,0.2834167477875761,0.009970193137343451,-3.4200940254397287,-3.166753727259008,0.0,0.009970193137343451,0.009970193137343451,2.2427512258066935,0.007008597580645917,0.01697879071798937,1.675313233042731e-34,0.007008597580645917,1.734723475976807e-18,0.00027157992886857807,-1.6263032587282567e-19,0.009970193137343451,0.009970193137343451,2.2427512258066935,0.007008597580645917,0.01697879071798937,1.675313233042731e-34,0.007008597580645917,1.734723475976807e-18,0.00027157992886857807,-1.6263032587282567e-19,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
0.0225,0.9970899125564956,0.2856553914749973,0.010054924342316265,-3.451761562712319,-3.166753727259008,0.0,0.010054924342316265,0.010054924342316265,2.250992816059362,0.007034352550185506,0.01708927689250177,1.7627351786991572e-34,0.007034352550185506,-8.673617379884035e-19,0.00027672204184121785,-2.168404344971009e-19,0.010054924342316265,0.010054924342316265,2.250992816059362,0.007034352550185506,0.01708927689250177,1.7627351786991572e-34,0.007034352550185506,-8.673617379884035e-19,0.00027672204184121785,-2.168404344971009e-19,0.0,1.0,0.0,0.0,1.0,raw,raw,raw,0.0
