rollout_cycles,learning_rate,minibatches,minibatch_size,replications,raw_mean,raw_se,ppo_mean,ppo_se,oracle_mean,oracle_se,oracle_ppo_fraction,best_static,oracle_gain_vs_best_static,paired_oracle_gain_vs_best_static,paired_oracle_gain_vs_best_static_se
1,1.5,8,75,12,0.5288927873424635,0.0011769022848827659,0.5085189510106246,0.0012976987707708277,0.5287991080553648,0.0011462065636216163,0.010416666666666666,raw,-9.367928709869133e-05,-9.367928709872834e-05,9.367928709872833e-05
1,2.0,8,75,12,0.5486072696183169,0.001727168751068226,0.5197087605310049,0.00205198547250549,0.5486072696183169,0.001727168751068226,0.0,raw,0.0,0.0,0.0
1,2.5,8,75,12,0.5631876700881281,0.0029738625497497625,0.5268927200926838,0.0026329442103185893,0.5640807647608049,0.0025417884834358757,0.09375,raw,0.0008930946726768418,0.0008930946726768049,0.0015292518569182804
1,3.0,8,75,12,0.5697496198809734,0.004974802150505957,0.5326491684535145,0.004329332457489249,0.5631007984693132,0.0039305141192510044,0.19791666666666666,raw,-0.006648821411660233,-0.006648821411660187,0.004315331069764595
1,1.5,12,50,12,0.5582032190152258,0.0019204203393751442,0.5280882725043028,0.0015186621094270209,0.5482376707897888,0.0019447309791796622,0.27777777777777773,raw,-0.009965548225437049,-0.009965548225437068,0.0025891571487946367
1,2.0,12,50,12,0.5806611915225014,0.0024626045412050267,0.5432129136459688,0.0019967469171786566,0.5610551572160485,0.003711923752692964,0.40972222222222227,raw,-0.019606034306452913,-0.019606034306452875,0.002637081665482698
1,2.5,12,50,12,0.5954582739170611,0.003123304696970673,0.5521204125442374,0.0033853232348780107,0.569149141198166,0.00304576631758858,0.5208333333333334,raw,-0.026309132718895123,-0.026309132718895078,0.004070032972554847
1,3.0,12,50,12,0.6022386676254947,0.004292052973665698,0.5472024057303863,0.005378119282486744,0.5697794781535112,0.005476126477545666,0.6388888888888888,raw,-0.03245918947198356,-0.03245918947198351,0.006115552276317504
2,1.5,8,75,12,0.5886097444572068,0.003354252796485782,0.56591794200121,0.0018498987738451355,0.5885136376506237,0.0033891805395898254,0.015625,raw,-9.610680658311832e-05,-9.610680658308131e-05,0.00036611221446783974
2,2.0,8,75,12,0.6096028736751412,0.005625952559433771,0.5798030738701869,0.0035387523471588182,0.612886385074295,0.003361992854759054,0.08333333333333333,raw,0.003283511399153838,0.0032835113991539024,0.0047693435286280455
2,2.5,8,75,12,0.6142436802815167,0.00991382187131867,0.5920270460144804,0.004437795461965235,0.6207001698439676,0.007475773819882315,0.19791666666666666,raw,0.006456489562450929,0.006456489562450919,0.008622624928549254
2,3.0,8,75,12,0.5585746337865768,0.04348904450071942,0.5955334232284274,0.009164542792462226,0.6133460105777663,0.008565766541437451,0.2864583333333333,ppo,0.017812587349338882,0.017812587349338854,0.009766462427264061
2,1.5,12,50,12,0.6266333844265776,0.005184622661005765,0.5987321787164473,0.0020650855258969735,0.6235065346795933,0.0021745995866660666,0.4444444444444445,raw,-0.003126849746984295,-0.0031268497469842302,0.004748737571259587
2,2.0,12,50,12,0.613707163504936,0.018829953495165242,0.6178576970245558,0.0025849037132030673,0.6325454814383901,0.0025514222300631524,0.545138888888889,ppo,0.014687784413834226,0.014687784413834207,0.0035010443056938604
2,2.5,12,50,12,0.42078574691234993,0.05393803076902388,0.6213587503986157,0.005156702192092396,0.6246075676142739,0.007577619554748306,0.6666666666666666,ppo,0.003248817215658284,0.003248817215658247,0.0090289179296824
2,3.0,12,50,12,0.3490582502436901,0.05458592494715399,0.5300777779405438,0.04438515306269947,0.5571538085919364,0.03332896531789237,0.7569444444444443,ppo,0.027076030651392635,0.0270760306513927,0.057283454183830226
3,1.5,8,75,12,0.6378481897062073,0.0028583850828968636,0.6145465075340418,0.001222275077306202,0.6399566272261917,0.001971065319585227,0.048611111111111105,raw,0.002108437519984463,0.0021084375199843797,0.001377609253169396
3,2.0,8,75,12,0.6607479907178985,0.004137633377511445,0.6281414717704695,0.0025797016660969382,0.6591406154202379,0.003403638899132139,0.12499999999999999,raw,-0.0016073752976605293,-0.0016073752976605942,0.0032115278252115307
3,2.5,8,75,12,0.5571877269149791,0.0501117763933675,0.6437217081443132,0.005775768815622711,0.6627324207056026,0.0072633747607317575,0.3020833333333333,ppo,0.01901071256128939,0.01901071256128937,0.00856826769056528
3,3.0,8,75,12,0.4929820939604171,0.051355707845895555,0.6410864280249328,0.007047162825610092,0.6225648553326878,0.024081590884514666,0.37499999999999994,ppo,-0.01852157269224497,-0.018521572692244966,0.02749642269392493
3,1.5,12,50,12,0.6792187407730544,0.004760669564014323,0.6478934224378291,0.0030249528152641045,0.6660434749288249,0.00269485832496461,0.5925925925925926,raw,-0.013175265844229567,-0.013175265844229539,0.004214841936731021
3,2.0,12,50,12,0.5900365006950639,0.0516282573321866,0.6588690087341833,0.005331424460256421,0.6602466590209205,0.009192908611453521,0.6527777777777778,ppo,0.0013776502867371976,0.0013776502867372347,0.00977816326200809
3,2.5,12,50,12,0.3573362682509431,0.05562122321895333,0.6336518196979712,0.016814347057105102,0.5585225662187407,0.053541160243353515,0.7476851851851852,ppo,-0.0751292534792305,-0.07512925347923051,0.06012184625344372
3,3.0,12,50,12,0.33570914057705054,0.05879358133110552,0.4571336977847005,0.05745967913331986,0.4814890245369888,0.05460586361135018,0.8078703703703703,ppo,0.024355326752288298,0.024355326752288315,0.03499455293315042
