bin,rho_left,rho_right,rho_median,states,raw_risk,raw_risk_se,ppo_risk,ppo_risk_se,ppo_lower_risk_fraction
0.0,2.4352792588476447e-08,0.4455666274153894,0.18984406407375892,5.0,409819.28703663463,409818.9351985156,409819.11970848206,409818.7849659518,1.0
1.0,0.4455666274153894,0.6676447707168691,0.5633386878237879,5.0,0.04836171375109324,0.010617712398119995,0.052819481790509014,0.00969839538216098,0.0
2.0,0.6676447707168691,0.7745184709197579,0.7279583389420682,5.0,0.02997753225187828,0.0053309857224645265,0.03624603688553146,0.004268337745459585,0.0
3.0,0.7745184709197579,0.8455385896210645,0.813647324183825,5.0,0.023584049344283826,0.002124968105565479,0.036608282321127186,0.0034376359695721614,0.0
4.0,0.8455385896210645,0.9208307930274839,0.8790034196300883,5.0,0.02252186539514229,0.0009283000264195925,0.029212814100478372,0.0017546525995463542,0.0
5.0,0.9208307930274839,1.0,1.0,5.0,0.01978187389880742,0.0007638370841813924,0.019545925940260632,0.000707758391890025,0.2
