batch_size,ppo_epsilon,min_rho,max_rho,min_risk_ratio,min_ratio_rho,min_ratio_scale,max_risk_ratio,max_ratio_rho,max_ratio_scale,raw_better_fraction,ppo_better_fraction,has_both_regimes,crossing_count,first_cross_scale_left,first_cross_scale_right,first_cross_rho_left,first_cross_rho_right,risk_ratio_at_rho_approx_1,risk_ratio_at_min_rho
4,0.05,0.274429075637887,1.0,0.043572375212272,0.4260127471816213,0.625,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.0694108937086878
4,0.1,0.274429075637887,1.0,0.04710394565045987,0.44910560577621966,0.5750000000000001,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.07133420551077704
8,0.05,0.274429075637887,1.0,0.04770463934381185,0.37019309894150987,0.8,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.06964648889111472
8,0.1,0.274429075637887,1.0,0.05122040618443108,0.3592278618858165,0.8500000000000001,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.0715642481404481
16,0.05,0.274429075637887,1.0,0.05155836554776609,0.3283515240461651,1.05,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.07011767925596854
16,0.1,0.274429075637887,1.0,0.05451309559561115,0.334548990630198,1.0,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.07202433339979017
4,0.2,0.274429075637887,1.0,0.0555802726810642,0.40661200097885625,0.675,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.08056501441157403
40,0.05,0.274429075637887,1.0,0.057542893984161674,0.3083115778686141,1.2750000000000001,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.07153125035053003
8,0.2,0.274429075637887,1.0,0.05877849523130309,0.36450030063310246,0.8250000000000001,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.08079879740948756
40,0.1,0.274429075637887,1.0,0.0610716935230848,0.3181045848261808,1.1500000000000001,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.07340458917781642
80,0.05,0.274429075637887,1.0,0.06254145933031686,0.30221140117355516,1.375,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.07388720217479917
16,0.2,0.274429075637887,1.0,0.06301081048022657,0.34557330323265756,0.925,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.08126636340531465
4,0.3,0.274429075637887,1.0,0.06386766012267561,0.3830127631979974,0.75,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.09650127355961594
8,0.3,0.274429075637887,1.0,0.06722855623136437,0.3592278618858165,0.8500000000000001,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.09674922682860997
80,0.1,0.274429075637887,1.0,0.0677061800503585,0.31005358872775274,1.25,1.0,1.0,0.0,0.0,0.9900990099009901,0.0,0,nan,nan,nan,nan,1.0,0.07570501547452683
40,0.2,0.274429075637887,1.0,0.06956530258662717,0.3181045848261808,1.1500000000000001,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.0826690613927959
16,0.3,0.274429075637887,1.0,0.07107737336027303,0.3379730786543516,0.9750000000000001,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.09724513336659805
80,0.2,0.274429075637887,1.0,0.07402439317200536,0.2922150363289364,1.6,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.0850068913719313
40,0.3,0.274429075637887,1.0,0.0765439867800839,0.2996032016426825,1.425,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.09873285298056231
80,0.3,0.274429075637887,1.0,0.08013741219364956,0.2996032016426825,1.425,1.0,1.0,0.0,0.0,0.9801980198019802,0.0,0,nan,nan,nan,nan,1.0,0.1012123856705027
