state_id,state_order,replication,rollout_cycle,minibatch,trajectory,population_rho,mean_sample_rho,signal_sq,current_value,oracle_change,exact_raw_risk,exact_ppo_risk,oracle_ppo,raw_mse,raw_mse_se,raw_relative_mse,raw_mean_change,raw_harm_rate,ppo_mse,ppo_mse_se,ppo_relative_mse,ppo_mean_change,ppo_harm_rate
1287.0,1.0,13.0,5.0,8.0,raw,2.4352792588476447e-08,0.09675989334257687,0.006362228960252248,0.1730298131637605,0.0010827635672088776,6557104.089058082,6557101.628786193,1.0,0.006204008081479859,4.967330935561799e-05,0.9751312189861655,2.1987399849229815e-05,0.45,0.006192270231094742,4.9266423112371954e-05,0.9732862916095419,2.2046469571507243e-05,0.05
519.0,2.0,5.0,5.0,8.0,raw,0.07296069679647238,0.2849415350081649,0.01921529281597276,0.5339712842860236,0.003241248764203286,2.273375430178066,2.222041674256304,1.0,0.6701038202289146,0.22474327362884455,34.873463893919386,0.002293728059164957,0.15,0.6313328186705056,0.22503410556230038,32.85574800846691,0.0017894359827076544,0.1
621.0,3.0,6.0,6.0,6.0,raw,0.18984406407375892,0.48953270242565133,0.00817712246205085,0.6756280057343668,0.0013645457544717576,1.0860348962884903,0.9491953425014986,1.0,0.41693372813222374,0.15918415130098504,50.987829773513674,1.1423496190343662e-05,0.45,0.3467691140968164,0.1578351089904101,42.407230135800795,0.00027749360897942886,0.15
142.0,4.0,1.0,6.0,7.0,raw,0.2846820721508962,0.6888656173114773,0.008076435821986814,0.749947618147946,0.001343024359192313,0.6481328486836315,0.5771727001909794,1.0,0.23099633979959283,0.06622971076794625,28.601272255608347,-0.0021539755238790424,0.4,0.13075691506697468,0.04118642314150025,16.18992807582396,0.0005354074510249662,0.1
3302.0,5.0,34.0,5.0,7.0,raw,0.3802093595977435,0.5596891918570643,0.04133311860212429,0.6600362661120809,0.006836873000866106,0.4959848974302776,0.4776516260192101,1.0,0.4350061643508017,0.11480765423720857,10.524397361307376,0.0065898816184423005,0.05,0.4160947963986715,0.11470697641068102,10.066861888744262,0.005346487626161472,0.2
971.0,6.0,10.0,2.0,4.0,raw,0.4586380809789186,0.5098069639066469,0.04581526906944126,0.41533574702835857,0.007706562904855885,0.09091317716079092,0.08871134972873576,1.0,0.08842414441450899,0.011563572789912503,1.9300147354910508,0.007052023938888321,0.15,0.0859919033640357,0.013027936935961828,1.876926734484513,0.00846303247867202,0.05
1557.0,7.0,16.0,3.0,6.0,raw,0.5175616558446103,0.5956910035922031,0.04982853095365407,0.5705437139447753,0.008280239436757486,0.24041286617993013,0.22912661590202488,1.0,0.23698474443528877,0.05939095584705297,4.756005041684055,0.007531590873362626,0.0,0.22622532967511297,0.05958111652420338,4.540076244381497,0.006025638576726245,0.05
122.0,8.0,1.0,4.0,3.0,raw,0.5633386878237879,0.634950147318156,0.020462969391338223,0.6547549323526174,0.0034015124905768523,0.22495295977427032,0.19690439549868685,1.0,0.256078576707458,0.054061074698950974,12.514243256203743,0.002533126079180831,0.15,0.23889476428588835,0.056450832643259986,11.67449160076495,0.002353388555854924,0.15
3467.0,9.0,36.0,2.0,4.0,raw,0.6062489055163663,0.6314500535564433,0.043920287761629234,0.5333068245705453,0.007282011581501213,0.14421790594316997,0.13751188301599085,1.0,0.15468649115380176,0.019898281762736256,3.5219826425851184,0.00976649669857731,0.0,0.14465114869147389,0.020295872758487293,3.2934927356702732,0.011249780687200889,0.0
677.0,10.0,7.0,1.0,6.0,raw,0.6465729129758434,0.6665223948855508,0.036093495845198456,0.47142874740407364,0.005933091747259978,0.0732905109593305,0.06931679055710638,1.0,0.07225916457164991,0.0038824389335916244,2.0019996090587218,0.005047291700757392,0.05,0.06584189121376102,0.0038391089232614373,1.8242037705671565,0.006040824602073882,0.0
469.0,11.0,4.0,5.0,6.0,ppo,0.678180699587382,0.7519969814770822,0.04915005691453462,0.565413921269545,0.008225214414747328,0.15919630191736908,0.15301901227989576,1.0,0.16687287944595702,0.033861792622571746,3.395171642143297,0.007956519730748452,0.0,0.1643989590240696,0.03567683458523089,3.344837612496307,0.008305392794530903,0.0
1681.0,12.0,17.0,1.0,2.0,ppo,0.7040527273384074,0.7381397445408309,0.02289478705780065,0.4393850388572339,0.003804969539512093,0.07420221066492959,0.07445945573466964,0.0,0.06536628206458359,0.003231104174912431,2.8550727246144953,0.002676033028658467,0.1,0.06271610651741963,0.003246784172932074,2.739318184488253,0.00397070170065591,0.0
