rollout_size,minibatches,minibatch_size,policy_iterations,learning_rate,replications,seed_start,raw_mean,raw_se,ppo_mean,ppo_se,oracle_mean,oracle_se,oracle_ppo_fraction,oracle_gain_vs_best_static_mean,paired_oracle_gain_vs_best_static,paired_oracle_gain_vs_best_static_se
128,4,32,2,1.5,12,20300826,0.49632958533828947,0.003638016594551434,0.49305109213303894,0.005831623887656709,0.4889642284767863,0.006735592718852191,0.625,-0.007365356861503192,-0.014905986669229659,0.00636301522094172
128,4,32,2,2.0,12,20300826,0.4631648583435497,0.008537787711580055,0.48869792571489534,0.006489114753294477,0.49575690672218536,0.008649807168931486,0.6875,0.007058981007290022,0.0066831154139350745,0.008840612375316755
128,4,32,2,2.5,12,20300826,0.3768418411802729,0.03574336495180622,0.4389476381277752,0.02113439652702471,0.4494079156911126,0.01751627483008305,0.6979166666666666,0.010460277563337395,-0.004352781846531442,0.014084423404729707
256,8,32,2,1.5,12,20300826,0.5023638392767104,0.02907733576388813,0.5424978013316254,0.004168961047143154,0.5506826623745218,0.0038487984183056953,0.7708333333333334,0.008184861042896396,-0.002206771539026431,0.0043344504466094926
256,8,32,2,2.0,12,20300826,0.4186678248549383,0.03040256967266182,0.5439051370851308,0.006687867693431232,0.5469628766108972,0.006128315875542264,0.828125,0.0030577395257663786,-0.0004265976184683329,0.004780728491351948
256,8,32,2,2.5,12,20300826,0.3733174344834275,0.049138944806454476,0.47289791444620105,0.02700091406034644,0.4907306562982929,0.015165552992556,0.8333333333333334,0.017832741852091827,0.0013529128457175053,0.02126607584954694
320,8,40,2,1.5,12,20300826,0.5640633061414624,0.005533809712385644,0.5576790337936242,0.0023510398202919694,0.5687553115462991,0.0027964578416388008,0.4479166666666667,0.004692005404836719,-0.0009735782887430692,0.0042570622731423775
320,8,40,2,2.0,12,20300826,0.5307177967081776,0.02332502529420541,0.5454802722122883,0.008040649019958265,0.5804403432973606,0.004543569306543164,0.6302083333333334,0.034960071085072264,0.015903425119702524,0.006951403996548949
320,8,40,2,2.5,12,20300826,0.46948736223444715,0.026477545278220743,0.5555128199385684,0.008193783249910486,0.5403489720668303,0.016595328447125086,0.6822916666666666,-0.015163847871738079,-0.0161510672526643,0.01464329066552933
384,12,32,2,1.5,12,20300826,0.5814098476040904,0.01953563787286736,0.5873585931832256,0.004241126461346104,0.5873457985677059,0.0049570909380372225,0.861111111111111,-1.2794615519728936e-05,-0.01607814033400638,0.003914438067560885
384,12,32,2,2.0,12,20300826,0.4734220195674284,0.04102671085632839,0.5814235540768893,0.008724354319496362,0.5924589918967342,0.007726218871182227,0.8749999999999999,0.011035437819844951,-0.0010590676544983875,0.010881887861540982
384,12,32,2,2.5,12,20300826,0.3756661642039955,0.0465831639411559,0.4382266752269361,0.04504023223669143,0.43300300785911094,0.043369183555815274,0.8993055555555555,-0.005223667367825147,-0.06461213013111212,0.029806803211556848
512,8,64,2,1.5,12,20300826,0.5859549298564478,0.002730462491569844,0.564889786496194,0.0018614410002296858,0.5849070359274496,0.0028287924349288764,0.06770833333333333,-0.0010478939289981781,-0.0010478939289982059,0.0011152995278411514
512,8,64,2,2.0,12,20300826,0.60910539602088,0.003580311719873078,0.5782072197827736,0.0029723130647770616,0.6072847116567485,0.003756829141939242,0.140625,-0.0018206843641315196,-0.0022011172811057986,0.0024164889427550585
512,8,64,2,2.5,12,20300826,0.5590445535459859,0.018774427148111724,0.5867617277278394,0.002827711784489542,0.5906873527288118,0.012207873788076123,0.2552083333333333,0.003925625000972377,-0.006334100892333545,0.011936215358084444
512,16,32,2,1.5,12,20300826,0.5974415000137688,0.025916002084799303,0.614290481365935,0.0033579670461824206,0.6183207311602953,0.003712944662073745,0.8932291666666666,0.0040302497943602855,-0.01866321837285719,0.006165574657497826
512,16,32,2,2.0,12,20300826,0.4015061752213946,0.058282961975104235,0.6295024026849703,0.0059558986959918694,0.6210914541187852,0.005290730089131795,0.9166666666666666,-0.008410948566185072,-0.011403637884645157,0.0060725675309688905
512,16,32,2,2.5,12,20300826,0.29321112104679575,0.04676677357306178,0.4165216221094405,0.06544771826421517,0.42557903552258813,0.06141121133241161,0.9192708333333334,0.009057413413147641,-0.022162343547316155,0.05555963882261476
600,12,50,2,1.5,12,20300826,0.6344806311945231,0.002547056934214267,0.6001007087445834,0.0024259321637630847,0.6224156127973105,0.0016779520413404063,0.4479166666666667,-0.012065018397212635,-0.012065018397212754,0.0028294552498897237
600,12,50,2,2.0,12,20300826,0.6319010701433793,0.012809548694791319,0.6143035822391102,0.008896204925940895,0.6359528419092478,0.008006038294398094,0.5208333333333334,0.004051771765868573,-0.005238723987706371,0.012287181986243144
600,12,50,2,2.5,12,20300826,0.5856275151413899,0.03605598331616346,0.5904821078095831,0.031438614254324884,0.5771248120731217,0.0405584097868388,0.6805555555555555,-0.013357295736461383,-0.0677422921530789,0.041171848309900116
