rollout_perturbation,rho,effective_count,g2,theory_mse,ppo_theory_mse,ppo_squared_bias,empirical_mse,empirical_mse_se,ppo_empirical_mse,ppo_empirical_mse_se,gate_empirical_mse,gate_empirical_mse_se,one_step_improvement,one_step_improvement_se,ppo_improvement,ppo_improvement_se,gate_improvement,gate_improvement_se,gate_minus_raw,gate_minus_raw_se,gate_minus_ppo,gate_minus_ppo_se,mean_sample_ess,gate_unclipped_fraction,negative_update_rate,gradient_alignment,exact_gradient_improvement,repetitions,batch_size
0.0,1.0,2048.0,2.6450665625222376,0.001285441678533646,0.001285441678533646,0.0,0.0012640101442643547,4.6197354682213394e-05,0.0012640101442643547,4.6197354682213394e-05,0.0012640101442643547,4.6197354682213394e-05,0.05082795821459966,0.0001486350652831539,0.05082795821459966,0.0001486350652831539,0.05082795821459966,0.0001486350652831539,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9536267439275534,0.05341558428592569,100,2048
0.5,0.8193950033695885,1678.1209669009172,2.6933594633514355,0.001598890559046798,0.002295845493735739,0.0011058526331917161,0.0015804472716307969,4.6571556774323517e-05,0.002332395237790173,4.718121949808202e-05,0.0015804472716307969,4.6571556774323517e-05,0.05019417511353405,0.00016251724490879115,0.036414849828483434,0.0001572377493345272,0.05019417511353405,0.00016251724490879115,0.0,0.0,0.013779325285050617,0.0001425667575291187,0.8196198968302817,1.0,0.0,0.9432624639565279,0.05341558428592569,100,2048
1.0,0.42504208554146206,870.4861911889143,2.7975249233399646,0.003207655186509206,0.004382580288630293,0.0020280102621497336,0.003029001498858753,0.0001276237437985631,0.004322730876161232,0.00010217710460920393,0.003029001498858753,0.0001276237437985631,0.04709939145178476,0.00036300205032606446,0.028873046350775877,0.00028118430872423294,0.04709939145178476,0.00036300205032606446,0.0,0.0,0.01822634510100888,0.0002599317143910517,0.4453108025514346,1.0,0.0,0.8982014257179937,0.05341558428592569,100,2048
1.5,0.1271240084856579,260.3499693786274,2.9014734657954353,0.011138417685324033,0.010918383951110854,0.002380659605779837,0.00877068459290727,0.00048092977171086725,0.008825041176377826,0.0004629099119570104,0.008914075425019003,0.0005268676822342583,0.03688273060677423,0.0008574441074580381,0.020824427952480774,0.0006429684476944601,0.03575679685166041,0.0010739612501714396,-0.00112593375511382,0.00047939023766923407,0.014932368899179635,0.0006793970656102624,0.18549420066336353,0.94,0.0,0.7706504189018767,0.05341558428592569,100,2048
2.0,0.02220190469010179,45.469500805328465,3.0039166686584213,0.06605833561347624,0.05571182058762008,0.002584600386583343,0.03485330891675297,0.005822016202740208,0.027358695557969468,0.005761569566473492,0.027421619514331738,0.005761021555071142,0.007873776676617985,0.004818073227312861,0.009352974477322194,0.0022050738215265682,0.013050212325822801,0.0024487047055903877,0.005176435649204816,0.004521613346764446,0.003697237848500608,0.0007112993370089919,0.07713799131559099,0.25,0.21,0.6136044476335896,0.05341558428592569,100,2048
2.5,0.0025310530098126473,5.183596564096302,3.123263140230693,0.6025221116256291,0.5129083187860931,0.0026968614220946262,9.441210542772891,9.179964802884943,9.296676595208694,9.1629462925162,9.296572081062628,9.162947362861251,-0.029276528442104793,0.008947807920264016,-0.013601741173758841,0.0058624616455805545,-0.012955983049851374,0.005906180748687989,0.016320545392253413,0.007227192954864158,0.0006457581239074655,0.00037010856781818853,0.041600794015149434,0.03,0.42,0.4961462137829711,0.05341558428592569,100,2048
