batch_size,high_raw_relative_risk,raw_loss_rho,ppo_loss_rho,ppo_only_rho_min,ppo_only_rho_max,ppo_only_width,ppo_only_points
220,1.087646825497941,1.0,1.0,0.5896486976561317,0.989162799725463,0.39951410206933125,25
240,0.9970095900397793,0.6891092060716669,0.9821872642730878,0.5774576529921505,0.6891092060716669,0.11165155307951646,17
260,0.920316544652104,0.643478879997963,0.5600934188760158,0.5657602999271327,0.643478879997963,0.07771858007083032,13
280,0.8545796486055252,0.608879257180744,0.5438012811246706,0.5491155799483926,0.608879257180744,0.05976367723235143,11
300,0.7976076720318234,0.5774576529921505,0.5335130323822569,0.5386010451024024,0.5774576529921505,0.038856607889748096,8
320,0.7477571925298345,0.5545457221844025,0.5285353544076004,0.5335130323822569,0.5545457221844025,0.021032689802145565,5
