batch_size,updates,learning_rate,eta_max,initialization_scale,replications,raw_final,ppo_final,oracle_final,oracle_gain_vs_best_static,oracle_ppo_given_distinct,oracle_distinct_fraction,minimum_population_rho,score
64.0,60.0,0.1,0.1723701304874997,0.35,5.0,0.5007763672297848,0.49323607248220275,0.49989312737839003,-0.0008832398513947681,0.28726197228749695,0.7533333333333333,0.9512321555142933,0.530902306625102
64.0,60.0,0.14,0.1723701304874997,0.35,5.0,0.5193220145042786,0.5065534205343795,0.5184857245286923,-0.0008362899755862685,0.2489932786353312,0.8533333333333333,0.927839666405198,0.5031942537277032
64.0,60.0,0.1689227278777497,0.1723701304874997,0.35,5.0,0.5317830538714982,0.5145558199162403,0.5311489977559136,-0.0006340561155845359,0.1636379388805265,0.8966666666666667,0.912257798767669,0.4062179634290028
128.0,30.0,0.1689227278777497,0.1723701304874997,0.35,5.0,0.49310294712383307,0.4873689610322173,0.49303256198029766,-7.038514353541192e-05,0.07657894736842105,0.7266666666666667,0.9539270347573477,0.28949657336575707
128.0,30.0,0.14,0.1723701304874997,0.35,5.0,0.4856021114533595,0.4814015784854993,0.4855440564695178,-5.805498384170438e-05,0.06978260869565217,0.6666666666666667,0.9631940537454327,0.2655350813259745
128.0,30.0,0.1,0.1723701304874997,0.2,5.0,0.2953650508119816,0.29282718849126155,0.2953173497782886,-4.7701033693003936e-05,0.11052631578947367,0.38666666666666666,0.9773963847321084,0.2576860369815768
128.0,30.0,0.1,0.1723701304874997,0.35,5.0,0.4745850705418292,0.47235281528081974,0.47450760614416065,-7.74643976685363e-05,0.0803921568627451,0.5466666666666666,0.9766767232097694,0.24950846219393066
64.0,60.0,0.1,0.1723701304874997,0.2,5.0,0.3260689228470209,0.3094478214880675,0.32593009057186084,-0.00013883227516003904,0.04733317407230451,0.7,0.9228205073375501,0.23211653359245288
128.0,30.0,0.1689227278777497,0.1723701304874997,0.2,5.0,0.3165271095078902,0.3050895394512094,0.31647939586042684,-4.771364746336548e-05,0.034055727554179564,0.6666666666666666,0.9411536560684253,0.21297889325159947
128.0,30.0,0.14,0.1723701304874997,0.2,5.0,0.3076284783371139,0.30034410740968903,0.30761331741546777,-1.5160921646106829e-05,0.02085561497326203,0.6,0.9576272121625162,0.17976733029528238
64.0,60.0,0.14,0.1723701304874997,0.2,5.0,0.35014912629137107,0.31937036771321575,0.34944585024888575,-0.0007032760424853235,0.025516955116454486,0.8166666666666667,0.8723010668207758,0.172114495092816
64.0,60.0,0.1689227278777497,0.1723701304874997,0.2,5.0,0.3669557854118587,0.3252127595057059,0.3657711024425912,-0.001184682969267492,0.03997265667165542,0.8433333333333334,0.8379531388788692,0.15232402141406723
32.0,120.0,0.1,0.1723701304874997,0.35,5.0,0.5443683515887212,0.5213128415092426,0.5213128415092426,-0.02305551007947859,1.0,0.865,0.9639393573105149,-2.089301007947859
32.0,120.0,0.14,0.1723701304874997,0.35,5.0,0.5738450970188127,0.5336458342845877,0.5336458342845877,-0.04019926273422503,1.0,0.9133333333333333,0.9535780527028057,-3.791592940089169
32.0,120.0,0.1689227278777497,0.1723701304874997,0.35,5.0,0.5928467373343711,0.5396121856678013,0.5396121856678013,-0.05323455166656976,1.0,0.9416666666666667,0.9478402194287192,-5.08803849999031
32.0,120.0,0.1,0.1723701304874997,0.2,5.0,0.3844552484669679,0.3308450673759616,0.3308450673759616,-0.05361018109100629,1.0,0.835,0.9680791366277148,-5.152268109100629
32.0,120.0,0.14,0.1723701304874997,0.2,5.0,0.4260756270415271,0.3426483966470467,0.3426483966470467,-0.08342723039448041,1.0,0.8916666666666666,0.9567391922767179,-8.119806372781374
32.0,120.0,0.1689227278777497,0.1723701304874997,0.2,5.0,0.4532604684975853,0.3491392548104313,0.3491392548104313,-0.10412121368715399,1.0,0.9183333333333333,0.9497764449529873,-10.182538035382064
