initialization_scale,batch_size,epochs,updates,learning_rate,eta_max,initial_test_value,initial_gradient_signal_sq,raw_final_test,ppo_final_test,final_raw_minus_ppo,max_early_raw_advantage,max_early_update,persistent_crossover_update,raw_peak_drop,minimum_raw_rho,minimum_raw_effective_count,minimum_ppo_rho,transition_visible
1.25,4,2,1912,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.12255313358477395,0.8820744269360943,-0.7595212933513203,-0.0025157952756493795,20,40,0.74900611502971,0.0001567467028356577,0.0006269868113426308,0.9189599867257717,0.0
1.25,4,4,3823,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.13057218979439236,0.8884879503367735,-0.7579157605423812,-0.0025157952756493795,20,40,0.7409870588200916,0.0001567467028356577,0.0006269868113426308,0.9189599867257717,0.0
1.25,4,1,956,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.20376962358339135,0.8743519282317751,-0.6705823046483838,-0.0025157952756493795,20,40,0.6677896250310926,0.0005280684447752163,0.002112273779100865,0.9189599867257717,0.0
1.0,4,2,1912,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.49626219917412834,0.8624204806845558,-0.36615828151042745,-0.005958630135997067,80,100,0.3359183328889584,0.24687539423117094,0.9875015769246838,0.8071129955253411,0.0
1.0,4,1,956,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.514602639841725,0.8518612960511139,-0.3372586562093889,-0.005958630135997067,80,100,0.3175778922213617,0.24687539423117094,0.9875015769246838,0.8071129955253411,0.0
1.0,4,4,3823,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.5573234151983482,0.8723591620049629,-0.3150357468066147,-0.005958630135997067,80,100,0.27485711686473857,0.24687539423117094,0.9875015769246838,0.8071129955253411,0.0
0.6,4,4,3823,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.8808440149093208,0.8071492334652689,0.07369478144405195,0.056741467952751146,1220,-1,0.00042331092807179616,0.7518756610651943,3.0075026442607773,0.8719984366658644,0.0
0.6,8,4,1912,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.856197671111553,0.7861320736418558,0.0700655974696972,0.045648748359954916,620,-1,2.9485434972609248e-05,0.7940620517728948,6.352496414183158,0.9051421831353699,0.0
0.6,4,2,1912,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.855321396272292,0.7924538760070455,0.06286752026524645,0.0397648396060476,620,-1,0.0,0.7883005577018686,3.1532022308074743,0.8934199127715052,0.0
0.6,16,4,956,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.8246472533368756,0.7668392201425174,0.05780803319435823,0.030352237725675746,300,-1,0.0,0.84257794100941,13.48124705615056,0.9301418654050921,0.0
0.6,8,2,956,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.8239948133030367,0.769784939051995,0.054209874251041734,0.024220499419242425,300,-1,0.0,0.8374584950741526,6.699667960593221,0.9259072991091469,0.0
0.6,4,1,956,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.8230997493859397,0.7730390525017384,0.05006069688420123,0.020244524681978238,300,-1,0.0,0.8317062451286229,3.3268249805144916,0.9160868640946891,0.0
0.8,4,4,3823,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8831083209109181,0.8502350767538893,0.03287324415702875,0.019320362020144755,1200,-1,0.0,0.7278350658396773,2.911340263358709,0.9301354185555386,0.0
0.8,8,4,1912,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8636084250381284,0.8327861616892207,0.030822263348907697,0.015621992983525512,620,-1,0.0,0.9111189734158591,7.288951787326873,0.9595040583632352,0.0
0.6,32,4,478,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.7870697846281057,0.7457572674758604,0.041312517152245376,0.01298085749637723,140,-1,0.0,0.896208313194017,28.678666022208542,0.9533590443905394,0.0
0.6,16,2,478,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.7865260387164836,0.7463081340470521,0.04021790466943154,0.011730106333838086,140,-1,0.0,0.8918682172492605,14.269891475988167,0.9519434632948744,0.0
0.8,4,2,1912,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8617344370273123,0.8372330263447951,0.02450141068251721,0.010608527106479304,420,-1,0.00105309858929592,0.7278350658396773,2.911340263358709,0.9301354185555386,0.0
0.6,8,1,478,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.785949571534882,0.7478939210972865,0.03805565043759551,0.01002857197999829,140,-1,0.0,0.8862072022915212,7.089657618332169,0.947442210921783,0.0
0.8,16,4,956,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8419343746203849,0.8183842353845919,0.023550139235792966,0.007470018921563626,280,-1,0.0,0.9431744921019893,15.09079187363183,0.975481671365569,0.0
1.0,8,4,1912,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.8718889718600022,0.8597314977578474,0.012157474102154842,0.003559346545203068,620,-1,0.0009212244108687262,0.9449764221293373,7.559811377034698,0.9813685264887634,0.0
0.8,8,2,956,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8404365925832638,0.8191087017486403,0.021327890834623497,0.004457331625911554,220,-1,0.0,0.9261527866241935,7.409222292993548,0.972419108699221,0.0
0.6,32,2,239,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.7487492526591272,0.7239839619468953,0.02476529071223188,0.0030296383974481866,60,-1,0.0,0.940298357629145,30.08954744413264,0.9718694299522357,0.0
1.0,8,2,956,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.8571175262030792,0.8528665552318633,0.004250970971215962,0.0010504363082564083,300,-1,0.0015767152239335447,0.9457515576889579,7.566012461511663,0.9813685264887634,0.0
0.8,16,2,478,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8197601487978228,0.8065363169610308,0.013223831836791988,0.002445811735223624,120,-1,0.0,0.963057450011096,15.408919200177536,0.9834132792008665,0.0
0.8,32,4,478,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8207780847230013,0.805539054856464,0.015239029866537246,0.002409417622566412,140,-1,0.0,0.9690032613011502,31.008104361636807,0.9865511396725942,0.0
1.25,8,4,1912,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.8821697776214008,0.8822265211315817,-5.674351018092327e-05,-0.0002780450618911079,360,1912,0.002501984541760316,0.8830057601061004,7.0640460808488035,0.9873259923382318,0.0
0.6,16,1,239,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.7472768713603871,0.7235004824632292,0.02377638889715794,0.0018000470175568717,40,-1,0.0,0.9353289457505919,14.96526313200947,0.9715499738351379,0.0
1.0,16,4,956,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.8599810995915311,0.8518524252602876,0.008128674331243535,0.001229618504479224,300,-1,0.0,0.9742956178838273,15.588729886141238,0.990521103368569,0.0
1.25,16,4,956,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.8785571994567176,0.8783864314761617,0.00017076798055593034,-0.000290283222884935,180,-1,0.001295926593055663,0.9804543099980523,15.687268959968836,0.9941723244054355,0.0
1.25,8,1,478,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.8727612725489733,0.8744352134880966,-0.0016739409391233195,-0.0019731719412828808,40,60,0.0012329403292272723,0.9469094583430835,7.575275666744668,0.9873259923382318,0.0
1.25,16,1,239,0.16892272787774976,0.17237013048749975,0.871559248614484,0.0005840275578829295,0.8728552028692722,0.8735848679501302,-0.0007296650808580329,-0.0004719090551218441,20,40,0.0004379596746425518,0.9827014189133867,15.723222702614187,0.9941723244054355,0.0
0.6,32,1,120,0.16892272787774976,0.17237013048749975,0.6633081317143577,0.006226839365515984,0.7159832619460633,0.705414319468862,0.010568942477201304,0.0006940602096944248,20,-1,0.0,0.9639204179438168,30.845453374202137,0.984701036447485,0.0
0.8,8,1,478,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.817058944349206,0.8058111311073847,0.011247813241821336,0.0006074985048449832,80,-1,0.0,0.9261527866241935,7.409222292993548,0.9747842920750057,0.0
0.8,32,2,239,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8025297458534764,0.7960156034164974,0.006514142436979009,0.0005896651908596784,60,-1,0.0,0.9821726288772648,31.429524124072472,0.9915754612268153,0.0
1.0,32,4,478,0.16892272787774976,0.17237013048749975,0.8321805320630867,0.0012144331231763038,0.8499403139258266,0.845828204566426,0.00411210935940054,0.0005465085211499021,120,-1,0.0,0.9857684626085468,31.544590803473497,0.9949235884302937,0.0
0.8,16,1,239,0.16892272787774976,0.17237013048749975,0.7723269359479661,0.002596339020491426,0.8005372963785992,0.7952012803669019,0.005336016011697309,0.0004862956435911503,40,-1,0.0,0.9764035058690073,15.622456093904116,0.9893169865217206,0.0
