replication,method,threshold,update,rollout_cycle,minibatch,population_value,population_rho,sample_rho,chosen_ppo,raw_risk,ppo_risk
0.0,raw,nan,0.0,0.0,0.0,0.4381825474072605,1.0,1.0,0.0,nan,nan
0.0,raw,nan,1.0,1.0,1.0,0.44188905933284556,1.0,1.0,0.0,nan,nan
0.0,raw,nan,2.0,1.0,2.0,0.44094033786272196,0.9158819114313117,0.8846106871855797,0.0,nan,nan
0.0,raw,nan,3.0,1.0,3.0,0.42765540183706297,0.8139494043006134,0.8300766158719332,0.0,nan,nan
0.0,raw,nan,4.0,1.0,4.0,0.44994934235575695,0.6868183025017156,0.7643297726249992,0.0,nan,nan
0.0,raw,nan,5.0,1.0,5.0,0.4708079862381374,0.7129213542449302,0.7237327567134342,0.0,nan,nan
0.0,raw,nan,6.0,1.0,6.0,0.5143877363599966,0.7282814212536377,0.7337307741737631,0.0,nan,nan
0.0,raw,nan,7.0,1.0,7.0,0.49884364788026203,0.8603541465062332,0.8198618691824366,0.0,nan,nan
0.0,raw,nan,8.0,1.0,8.0,0.5446025705344479,0.7149750265508749,0.7451379803176225,0.0,nan,nan
0.0,raw,nan,9.0,2.0,1.0,0.5432131805581645,1.0,1.0,0.0,nan,nan
0.0,raw,nan,10.0,2.0,2.0,0.5225310672135726,0.6813744002059604,0.7268851906543128,0.0,nan,nan
0.0,raw,nan,11.0,2.0,3.0,0.5368620679453503,0.6261686932156607,0.6766223237585623,0.0,nan,nan
0.0,raw,nan,12.0,2.0,4.0,0.4596486491865478,0.5587636257733758,0.6032068761249947,0.0,nan,nan
0.0,raw,nan,13.0,2.0,5.0,0.48367272481701834,0.38651209140410103,0.5672020630468426,0.0,nan,nan
0.0,raw,nan,14.0,2.0,6.0,0.5089861052848464,0.42746820673753144,0.45029009597332076,0.0,nan,nan
0.0,raw,nan,15.0,2.0,7.0,0.5528696994205727,0.5669981892883268,0.8409945881200314,0.0,nan,nan
0.0,raw,nan,16.0,2.0,8.0,0.5379966282837354,0.6031941586023019,0.7161868908873553,0.0,nan,nan
0.0,ppo,nan,0.0,0.0,0.0,0.4381825474072605,1.0,1.0,0.0,nan,nan
0.0,ppo,nan,1.0,1.0,1.0,0.44188905933284556,1.0,1.0,1.0,nan,nan
0.0,ppo,nan,2.0,1.0,2.0,0.43923647185967907,0.9158819114313117,0.8846106871855797,1.0,nan,nan
0.0,ppo,nan,3.0,1.0,3.0,0.4235940490357697,0.8239964070019988,0.8178592304464819,1.0,nan,nan
0.0,ppo,nan,4.0,1.0,4.0,0.45000510609129396,0.72629656746936,0.8155801886513865,1.0,nan,nan
0.0,ppo,nan,5.0,1.0,5.0,0.47760588055273134,0.8399933840412203,0.855497801665285,1.0,nan,nan
0.0,ppo,nan,6.0,1.0,6.0,0.5052063328916073,0.8143281745614819,0.8268791250055857,1.0,nan,nan
0.0,ppo,nan,7.0,1.0,7.0,0.5078577318109092,0.9265015437654202,0.9201535807261608,1.0,nan,nan
0.0,ppo,nan,8.0,1.0,8.0,0.5231467178351832,0.9057634406225812,0.9162109672050914,1.0,nan,nan
0.0,ppo,nan,9.0,2.0,1.0,0.5142325151437035,1.0,1.0,1.0,nan,nan
0.0,ppo,nan,10.0,2.0,2.0,0.5362411747886735,0.8263865103913652,0.8616772929609036,1.0,nan,nan
