method,sample_ess_threshold,mean_selected_updates,selected_updates_se,mse_reduction_vs_raw_pct,mse_reduction_vs_raw_pct_se,one_step_gain_advantage_vs_raw_pp,one_step_gain_advantage_vs_raw_pp_se,selected_mse_win_rate_pct,selected_mse_win_rate_pct_se,selected_reward_win_rate_pct,selected_reward_win_rate_pct_se,replications,total_updates_per_replication,trajectory_method
ESS fitted,0.41698081898431194,74.28,2.4449114338134867,51.5564414642602,2.0852579172196384,-0.12996700240205303,0.006525691281428389,79.13932396992432,0.8962322770531295,20.408651301452064,1.4223481899604722,100.0,512.0,ESS fixed 0.1
ESS count transfer,0.25000025,48.03,1.5336267835138742,43.49674022763256,2.1862476674827875,-0.08488515747218145,0.005719965858414843,83.54081748799057,0.9361324224638015,16.113339802086685,1.3322011834954555,100.0,512.0,ESS fixed 0.1
ESS fixed 0.1,0.1,16.87,0.7701049384087965,24.366155634621386,2.4344122437424582,-0.018963452845605615,0.004913098016479775,83.71168899791225,1.4175608177919776,17.931656298762235,1.5866682986387393,100.0,512.0,ESS fixed 0.1
