candidate_id,rollout_size,minibatches,minibatch_size,policy_iterations,learning_rate,ppo_epsilon,initialization_scale,replications,initial_value,raw_final,ppo_final,final_raw_minus_ppo,final_gap_se,max_early_raw_advantage,max_early_iteration,persistent_crossover_iteration
8,320,40,8,60,0.17,0.05,0.2,20,0.2640919518416437,0.8660468359145262,0.8459617809986263,0.020085054915900208,0.003282355071833844,0.12183677299592632,7,-1
0,320,40,8,60,0.14,0.05,0.2,20,0.2640919518416437,0.8577936140624027,0.8336264963784069,0.024167117683995994,0.0024918681584642777,0.11525298697904535,7,-1
10,320,40,8,60,0.17,0.1,0.2,20,0.2640919518416437,0.8655925534748226,0.855967760698306,0.009624792776516632,0.0035084742546342453,0.07365916825829033,5,-1
2,320,40,8,60,0.14,0.1,0.2,20,0.2640919518416437,0.8596160814477415,0.843515534956877,0.01610054649086432,0.0008567638803943737,0.06442023807244956,5,-1
9,320,40,8,60,0.17,0.05,0.35,20,0.43818254740726037,0.8764080209109212,0.8557234819034469,0.02068453900747446,0.0011026204381685732,0.05819474183744511,6,-1
1,320,40,8,60,0.14,0.05,0.35,20,0.43818254740726037,0.86854164453803,0.8458881864280968,0.022653458109933012,0.0008268863712755771,0.056802682482640976,7,-1
11,320,40,8,60,0.17,0.1,0.35,20,0.43818254740726037,0.877357410169691,0.8641640216223369,0.013193388547354057,0.0008701588074653837,0.034654368955087334,7,-1
3,320,40,8,60,0.14,0.1,0.35,20,0.43818254740726037,0.8698101597652486,0.8547667821024951,0.015043377662753538,0.0005222888543301876,0.03270905595770657,9,-1
12,320,40,8,60,0.17,0.2,0.2,20,0.2640919518416437,0.8692167442944756,0.8629378153808354,0.006278928913640097,0.001389689594619733,0.03237633559734626,3,-1
4,320,40,8,60,0.14,0.2,0.2,20,0.2640919518416437,0.8529659739251849,0.8527630631615504,0.0002029107636347005,0.0038003739376236824,0.027985591401580745,3,-1
13,320,40,8,60,0.17,0.2,0.35,20,0.43818254740726037,0.8781104890407919,0.8698616163169064,0.008248872723885558,0.0006539376814108153,0.016748831877459347,15,-1
5,320,40,8,60,0.14,0.2,0.35,20,0.43818254740726037,0.8692094646432864,0.8621555062963043,0.007053958346981781,0.0005382739298057334,0.015121527143872937,12,-1
6,320,40,8,60,0.14,0.3,0.2,20,0.2640919518416437,0.8575908356261636,0.8553994462519968,0.0021913893741667746,0.001213991367796859,0.014943748211649177,3,-1
14,320,40,8,60,0.17,0.3,0.2,20,0.2640919518416437,0.8713290868705512,0.867900319950398,0.003428766920153187,0.0011379480170630551,0.014437306415445383,3,-1
15,320,40,8,60,0.17,0.3,0.35,20,0.43818254740726037,0.8784805413142065,0.8734653127847951,0.005015228529411464,0.0005326959530443033,0.007907537939907172,14,-1
7,320,40,8,60,0.14,0.3,0.35,20,0.43818254740726037,0.8687444515760478,0.8653371266381191,0.003407324937928902,0.000648326474719977,0.007592793978145607,10,-1
