replication,method,threshold,final_value,ppo_fraction
37.0,ppo,nan,0.5273853280635162,1.0
37.0,mse_oracle,nan,0.5650128684129461,0.625
38.0,raw,nan,0.6243759485721033,0.0
38.0,ppo,nan,0.590296749714183,1.0
38.0,mse_oracle,nan,0.6018640468697666,0.5625
39.0,raw,nan,0.523101729689879,0.0
39.0,ppo,nan,0.5706796291880551,1.0
39.0,mse_oracle,nan,0.5939384848058891,0.5
40.0,raw,nan,0.5285612598115407,0.0
40.0,ppo,nan,0.5769793404679396,1.0
40.0,mse_oracle,nan,0.5593702576104004,0.625
41.0,raw,nan,0.5212607985048008,0.0
41.0,ppo,nan,0.5543046100808611,1.0
41.0,mse_oracle,nan,0.5823935676208993,0.6875
42.0,raw,nan,0.5699055298408641,0.0
42.0,ppo,nan,0.5776208922699825,1.0
42.0,mse_oracle,nan,0.5614192641647398,0.625
43.0,raw,nan,0.541768606805137,0.0
43.0,ppo,nan,0.5667893276803424,1.0
43.0,mse_oracle,nan,0.5326923658542214,0.5625
44.0,raw,nan,0.5243044640331423,0.0
44.0,ppo,nan,0.5731907107708467,1.0
44.0,mse_oracle,nan,0.5798629147239956,0.6875
45.0,raw,nan,0.3472002429890264,0.0
45.0,ppo,nan,0.555340320280176,1.0
45.0,mse_oracle,nan,0.5532795952744527,0.5625
46.0,raw,nan,0.45585853779630625,0.0
46.0,ppo,nan,0.5575162927478639,1.0
46.0,mse_oracle,nan,0.5570534587002895,0.5625
47.0,raw,nan,0.5316594466499354,0.0
47.0,ppo,nan,0.5775057387657517,1.0
47.0,mse_oracle,nan,0.6007078419887125,0.625
48.0,raw,nan,0.5278768118033296,0.0
48.0,ppo,nan,0.5389449824899577,1.0
48.0,mse_oracle,nan,0.5038821583160291,0.6875
49.0,raw,nan,0.43323099517892727,0.0
49.0,ppo,nan,0.527835666924863,1.0
49.0,mse_oracle,nan,0.50423322595787,0.75
50.0,raw,nan,0.5778228394185952,0.0
50.0,ppo,nan,0.5609914719085722,1.0
50.0,mse_oracle,nan,0.5835520659591917,0.625
51.0,raw,nan,0.5273461545003182,0.0
51.0,ppo,nan,0.543831022404578,1.0
51.0,mse_oracle,nan,0.5696502922379729,0.625
52.0,raw,nan,0.5344940437072498,0.0
52.0,ppo,nan,0.5732251738204228,1.0
52.0,mse_oracle,nan,0.5671011629896044,0.625
53.0,raw,nan,0.5735528947322304,0.0
53.0,ppo,nan,0.542520993494523,1.0
53.0,mse_oracle,nan,0.6001459029715859,0.6875
54.0,raw,nan,0.48733907392275916,0.0
54.0,ppo,nan,0.5537303861453184,1.0
54.0,mse_oracle,nan,0.5470872291209368,0.5625
55.0,raw,nan,0.43932231608570155,0.0
55.0,ppo,nan,0.581091587732983,1.0
55.0,mse_oracle,nan,0.5876397389739759,0.5625
56.0,raw,nan,0.561421391412287,0.0
