candidate,rollout_size,minibatches,minibatch_size,learning_rate,ppo_epsilon,initialization_scale,replications,policy_iterations,initial_value,raw_final,ppo_final,final_raw_minus_ppo,final_gap_se,max_early_raw_advantage,iteration_of_max_raw_advantage,persistent_crossover_iteration,early_endpoint_rho,late_endpoint_rho
A_320_40_lr014_eps020,320,40,8,0.14,0.2,0.2,30,25,0.2640919518416436,0.7672887197522491,0.7617846737962599,0.005504045955988982,0.0032664686628150158,0.02725830806374563,4,-1,0.8644632782690352,0.9386093203738635
B_160_40_lr014_eps010,160,40,4,0.14,0.1,0.2,30,25,0.2640919518416436,0.726972502180442,0.7180457780069843,0.008926724173457664,0.006000264531138089,0.053700981284709515,6,-1,0.7538409085422711,0.8422870582283523
C_160_40_lr017_eps020,160,40,4,0.17,0.2,0.2,30,25,0.2640919518416436,0.7056355247632468,0.7438755329888803,-0.03824000822563338,0.02384975579705065,0.018934619585721013,4,11,0.6602676571545233,0.7773947862288071
D_320_40_lr017_eps020,320,40,8,0.17,0.2,0.2,30,25,0.2640919518416436,0.7889017815981287,0.7811258683168806,0.007775913281248222,0.0032370037582071685,0.032379557442869245,4,-1,0.8196422257469623,0.9260395593300653
