delta,rho,is_mean,tis_mean,ppo_mean,is_tilted_second_moment_M2,is_single_second_moment,tis_single_second_moment,ppo_single_second_moment,is_variance,is_second_moment,is_mse,is_certificate,is_expected_gain,tis_variance,tis_second_moment,tis_mse,tis_certificate,tis_expected_gain,ppo_variance,ppo_second_moment,ppo_mse,ppo_certificate,ppo_expected_gain,is_finite_moment_mse_bound,is_finite_moment_error_radius,tis_mse_reduction_vs_is,tis_second_moment_reduction_vs_is,tis_discounted_second_moment_reduction_vs_is,tis_crossover_margin,tis_certificate_gap_vs_is,tis_certificate_identity_error,tis_alignment_loss_vs_is,tis_smoothness_penalty_reduction_vs_is,ppo_mse_reduction_vs_is,ppo_second_moment_reduction_vs_is,ppo_discounted_second_moment_reduction_vs_is,ppo_crossover_margin,ppo_certificate_gap_vs_is,ppo_certificate_identity_error,ppo_alignment_loss_vs_is,ppo_smoothness_penalty_reduction_vs_is,oracle_expected_gain,oracle_rule,mc_error_event_coverage,mc_theorem_inequality_coverage,mc_positive_certificate_fraction,mc_error_event_theorem_violations
2.301807413001365,0.005000000000000006,2.0,1.2071486681715209,0.2980238020371365,23.402803770241277,4680.56075404825,2.307444657349339,292.9730130851672,146.1425235640078,150.1425235640078,146.1425235640078,-10.411401885120627,-10.411401885120627,0.026569898446283192,1.4837778055145598,0.6551831328284763,0.847016710096052,0.847016710096052,9.15263109058083,9.2414492771615,12.049354069012955,-0.5008969005432109,-0.5008969005432109,146.2675235640078,38.24493738575183,145.48734043117932,148.65874575849324,89.19524745509594,56.29209297608338,11.258418595216678,1.7763568394002505e-15,1.5857026636569582,29.73174915169865,134.09316949499484,140.9010742868463,84.54064457210778,49.55252492288706,9.910504984577416,3.552713678800501e-15,3.403952395925727,28.18021485736926,0.847016710096052,TIS 3,0.99699,0.99699,0.00321,0.0
2.2876637440655276,0.005335325382590761,2.0,1.208597883768478,0.2939298960564217,23.27003044887401,4361.501648016527,2.288180531643696,262.8999887921412,136.17192650051646,140.17192650051646,136.17192650051646,-9.61375412004132,-9.61375412004132,0.02585849021856413,1.4865673348682078,0.6521757997942954,0.8479529202253259,0.8479529202253259,8.212924812760795,8.299319596556535,11.123600012330847,-0.4288016508793855,-0.4288016508793855,136.29692650051646,36.91841363066897,135.51975070072217,138.68535916564826,83.21121549938896,52.308535201333214,10.461707040266646,1.7763568394002505e-15,1.5828042324630438,27.737071833129654,125.04832648818561,131.87260690395993,79.12356414237595,45.924762345809654,9.184952469161933,1.7763568394002505e-15,3.4121402078871563,26.37452138079199,0.8479529202253259,TIS 3,0.99694,0.99694,0.00331,0.0
2.273432085037022,0.005693139387623438,2.0,1.2100448100846943,0.28983503226015145,23.13638320708794,4063.905980834603,2.269548470708835,235.81962727864072,126.87206190108134,130.87206190108134,126.87206190108134,-8.86976495208651,-8.86976495208651,0.02516687588424784,1.4893753182971519,0.6491960779583744,0.8488858226039834,0.8488858226039834,7.3667382166473585,7.450742562572602,10.291402433531996,-0.36419137919768707,-0.36419137919768707,126.99706190108134,35.636647134807916,126.22286582312296,129.38268658278417,77.6296119496705,48.593253873452454,9.718650774690493,1.7763568394002505e-15,1.5799103798306113,25.876537316556835,116.58065946754934,123.42131933850874,74.05279160310523,42.527867864444104,8.505573572888823,1.7763568394002505e-15,3.420329935479697,24.68426386770175,0.8488858226039834,TIS 3,0.99672,0.99672,0.00349,0.0
2.2591107729900397,0.006074950216282897,2.0,1.2114914257489748,0.2857395829390152,23.001785775347038,3786.3332136771364,2.2515647182834018,211.4427489610249,118.19791292741051,122.19791292741051,118.19791292741051,-8.175833034192843,-8.175833034192843,0.024495413863128687,1.4922068885264124,0.6462411855305131,0.849816589517067,0.849816589517067,6.60503443286771,6.686681542125873,9.543723210369812,-0.3063428570188578,-0.3063428570188578,118.32291292741053,34.39809775662173,117.55167174188,120.7057060388841,72.42342362333046,45.128248118549536,9.02564962370991,1.7763568394002505e-15,1.5770171485020503,24.141141207776823,108.65418971704071,115.51123138528465,69.30673883117079,39.34745088586992,7.869490177173986,1.7763568394002505e-15,3.4285208341219695,23.10224627705693,0.849816589517067,TIS 3,0.9963,0.9963,0.00394,0.0
2.244698091949901,0.006482367217381873,2.0,1.2129398345037077,0.28164392963783713,22.866163029988925,3527.4402487837174,2.234246078665578,189.50735986563552,110.10750777449117,114.10750777449117,110.10750777449117,-7.528600621959296,-7.528600621959296,0.023844469891865498,1.4950675120177472,0.6433081740029165,0.8507464666415464,0.8507464666415464,5.919626142579178,5.998949445681021,8.872373727129672,-0.254600811944212,-0.254600811944212,110.23250777449115,33.20128126661547,109.46419960048826,112.61244026247343,67.56746415748405,41.896735443004204,8.379347088600841,0.0,1.5741203309925846,22.522488052494687,101.2351340473615,108.10855832881015,64.86513499728609,36.36999905007541,7.273999810015083,1.7763568394002505e-15,3.4367121407243255,21.62171166576203,0.8507464666415464,TIS 3,0.99633,0.99633,0.00397,0.0
2.2301922704931516,0.006917107670834341,2.0,1.214392271886332,0.2775484633996154,22.72944100999895,3285.9747298479347,2.217609961049373,169.77616014235548,102.56171030774796,106.56171030774796,102.56171030774796,-6.924936824619838,-6.924936824619838,0.023214417844753935,1.497963007862001,0.6403939203166729,0.8516767768801056,0.8516767768801056,5.303097718525625,5.380130868061112,8.26993701446265,-0.20837169872519667,-0.20837169872519667,102.68671030774796,32.04476717152864,101.92131638743129,105.06374729988596,63.038248379931574,38.883068007499716,7.776613601499943,0.0,1.571215456227336,21.012749459977194,94.2917732932853,101.18157943968684,60.708947663812104,33.5828256294732,6.7165651258946415,1.7763568394002505e-15,3.444903073200769,20.23631588793737,0.8516767768801056,TIS 3,0.99596,0.99596,0.00428,0.0
2.2155914792062346,0.00738100402606314,2.0,1.2158511123009084,0.2734535850191823,22.5915469346019,3060.768813406503,2.201674427817446,152.03427562561674,95.52402541895322,99.52402541895322,95.52402541895322,-6.361922033516258,-6.361922033516258,0.02260564064169031,1.5008995679250465,0.637495118721413,0.852608924406723,0.852608924406723,4.748734336326778,4.823511199486621,7.729696859409891,-0.1671180279435839,-0.1671180279435839,95.64902541895323,30.927176628162037,94.8865303002318,98.02312585102817,58.813875510616896,36.0726547896149,7.214530957922981,0.0,1.5682977753981833,19.604625170205637,87.79432855954332,94.7005142194666,56.820308531679956,30.97402002786336,6.194804005572674,1.7763568394002505e-15,3.4530928299616352,18.94010284389332,0.852608924406723,TIS 3,0.99582,0.99582,0.0045,0.0
2.2008938279924237,0.007876011625851838,2.0,1.2173188765059435,0.26935970530707387,22.4524092217439,2850.7333772905063,2.186458247151976,136.0871929005351,88.96041804032832,92.96041804032832,88.96041804032832,-5.836833443226267,-5.836833443226267,0.022018531251696352,1.5038837783493888,0.6346082723256149,0.8535443989368037,0.8535443989368037,4.2504574453028745,4.323012096145988,7.245573274917692,-0.13035320344602006,-0.13035320344602006,89.0854180403283,29.847180443105227,88.3258097680027,91.45653426197893,54.873920557187354,33.451889210815345,6.690377842163071,8.881784197001252e-16,1.565362246988113,18.29130685239579,81.71484476541063,88.63740594418233,53.1824435665094,28.532401198901233,5.706480239780246,-8.881784197001252e-16,3.4612805893858525,17.727481188836467,0.8535443989368037,TIS 3,0.9958,0.9958,0.00443,0.0
2.186097363215787,0.008404216948197438,2.0,1.2187982395468253,0.2652672453642515,22.311957507542004,2654.852634703527,2.1719809503370495,121.75888001055344,82.83914483448523,86.83914483448523,82.83914483448523,-5.3471315867588185,-5.3471315867588185,0.02145349380045653,1.506922642522897,0.631729684335596,0.8544847802356286,0.8544847802356286,3.802766040596572,3.87313275205971,6.812063770602704,-0.09763682387337566,-0.09763682387337566,82.96414483448523,28.803497154770152,82.20741515014963,85.33222219196233,51.1993333151774,31.00808183497223,6.201616366994447,0.0,1.5624035209063494,17.066444438392466,76.02708106388252,82.96601208242552,49.77960724945531,26.24747381442721,5.249494762885443,8.881784197001252e-16,3.469465509271497,16.593202416485106,0.8544847802356286,TIS 3,0.9957,0.9957,0.0047,0.0
2.1712000646699714,0.008967846400903447,2.0,1.2202920391635752,0.2611766368683701,22.17012266678998,2472.1791248070995,2.1582628942223314,108.89007647998018,77.13059765022186,81.13059765022186,77.13059765022186,-4.890447812017749,-4.890447812017749,0.020910944793010464,1.510023605639007,0.6288554489847062,0.8554317428797396,0.8554317428797396,3.400683226385447,3.46889646203132,6.424189914557839,-0.06857040746780954,-0.06857040746780954,77.25559765022184,27.79489119428638,76.50174220123715,79.62057404458285,47.77234442674971,28.72939777448744,5.745879554897488,0.0,1.5594159216728496,15.92411480891657,70.70640773566402,77.66170118819053,46.59702071291432,24.109387022749694,4.821877404549939,0.0,3.4776467262632598,15.532340237638108,0.8554317428797396,TIS 3,0.99593,0.99593,0.00449,0.0
