method,final_value,final_value_se,improvement,improvement_se,selected_threshold,ppo_epsilon,validation_repetitions,test_repetitions
Unclipped,0.7902949376728492,0.0018317554681895965,0.36875737256130503,0.0018317554681895965,nan,1.0,40,60
PPO clipped,0.7707044086663413,0.001152502795436713,0.3491668435547971,0.001152502795436713,nan,1.0,40,60
ESS gated,0.7891007982726083,0.0019314322557580676,0.36756323316106426,0.0019314322557580676,0.45,1.0,40,60
