batch_size,ppo_epsilon,path_scale,population_rho,population_value,signal_sq,raw_risk,ppo_risk,risk_ratio,raw_bias_sq,ppo_bias_sq,raw_variance,ppo_variance
4,0.05,0.0,1.0,0.26409195184164375,0.00904281695326705,0.5409465134028929,0.5409465134028929,1.0,1.5649706195042097e-34,1.5649706195042097e-34,2.1637860536115716,2.1637860536115716
4,0.05,0.025,0.9964458593499054,0.28597265538016053,0.009895138155650449,0.561758285934899,0.16525256920334186,0.2941702389459595,2.0059534892727487e-34,0.006874997335062564,2.247033143739596,0.6335102874731172
4,0.05,0.05,0.9858816255429677,0.308527610500356,0.010667033250135856,0.5818432117968915,0.09068185793561717,0.1558527384990309,1.679422537608416e-34,0.008819350205646358,2.327372847187566,0.32745003091988323
4,0.05,0.07500000000000001,0.9687333045860657,0.3316200088243894,0.011325232576600258,0.6003841670858927,0.06871333889439529,0.11444895228985104,1.6784162486478605e-34,0.00989684131515457,2.401536668343571,0.23526599031696288
4,0.05,0.1,0.945764824434929,0.35510320336220125,0.011841535767046728,0.6166480700232336,0.05821705432845455,0.09440888110824881,2.0658625280730767e-34,0.010646240743019527,2.4665922800929345,0.1902832543417401
4,0.05,0.125,0.9179976078306635,0.378825191103528,0.012195296585101156,0.630033572882945,0.0516170870328993,0.0819275182379675,2.628003043121919e-34,0.011114714764703125,2.52013429153178,0.1620094890727847
4,0.05,0.15000000000000002,0.8866006101110279,0.4026332269848695,0.012375038172766027,0.6401041191538994,0.0475685407270318,0.0743137550652052,1.911479542725771e-34,0.011415136605037988,2.5604164766155977,0.14461361648797527
4,0.05,0.17500000000000002,0.852774291188516,0.426378250617731,0.012379009664448545,0.6466033242691005,0.04413931318763878,0.0682633564210831,2.239117435540929e-34,0.01152396412487423,2.586413297076402,0.13046139625105818
4,0.05,0.2,0.817649805840848,0.44991884953762884,0.012214689942493433,0.6494527676049678,0.04146620564017123,0.06384791582779613,2.2929689880285025e-34,0.011434469758197195,2.5978110704198714,0.12012694352789613
4,0.05,0.225,0.7822168403773045,0.47312455259673075,0.011897415467281732,0.6487349176010566,0.03923945840469246,0.060486120509429704,2.169586059662277e-34,0.011196462759994976,2.5949396704042265,0.11217198257878994
4,0.05,0.25,0.7472840752847211,0.49587833036294354,0.011448420966449942,0.6446655618557808,0.03707218040391452,0.05750606608672545,2.295510558415015e-34,0.010830518116465213,2.5786622474231233,0.10496664914979725
