initialization_scale,batch_size,epochs,updates,learning_rate,eta_max,initial_test_value,raw_final_test,ppo_final_test,final_raw_minus_ppo,max_early_raw_advantage,max_early_update,persistent_crossover_update,minimum_raw_rho,minimum_raw_effective_count,minimum_ppo_rho,raw_peak_drop,transition_visible
0.2,2,2,3823,0.1689227278777497,0.1723701304874997,0.2585502573971929,0.8661823371374477,0.579503793286108,0.28667854385133973,0.29852686292542696,1100,-1,0.30244852803925526,0.6048970560785105,0.5980575432043133,0.0,0.0
0.2,4,2,1912,0.1689227278777497,0.1723701304874997,0.2585502573971929,0.833982624694598,0.4866778228131497,0.34730480188144836,0.2751978455910281,550,-1,0.3263124569907272,1.3052498279629088,0.7407214815514762,0.0,0.0
0.2,2,1,1912,0.1689227278777497,0.1723701304874997,0.2585502573971929,0.8262612073031084,0.5226037160587913,0.30365749124431707,0.2513779949657256,600,-1,0.3263281032129495,0.652656206425899,0.6724849620189222,0.004394193372143973,0.0
0.2,8,2,956,0.1689227278777497,0.1723701304874997,0.2585502573971929,0.7784587407629826,0.42963644550482705,0.34882229525815556,0.21046442928773273,300,-1,0.3696718702187363,2.9573749617498906,0.8324363243249278,0.0,0.0
0.2,4,1,956,0.1689227278777497,0.1723701304874997,0.2585502573971929,0.7736536602308015,0.4445828614498556,0.3290707987809459,0.1978364828604655,300,-1,0.37237782332360253,1.4895112932944101,0.8003059910443466,0.0006736627740642209,0.0
0.35,2,2,3823,0.1689227278777497,0.1723701304874997,0.42564292728129466,0.8768573804017862,0.7051412050296231,0.1717161753721631,0.1706432947307276,1100,-1,0.48371336919818864,0.9674267383963773,0.7028823816041767,0.0,0.0
0.35,4,2,1912,0.1689227278777497,0.1723701304874997,0.42564292728129466,0.8481135861123943,0.6367249728554141,0.21138861325698022,0.16676491763375068,600,-1,0.5186282596908518,2.074513038763407,0.8028973637783822,0.0,0.0
0.35,2,1,1912,0.1689227278777497,0.1723701304874997,0.42564292728129466,0.8421877878364742,0.6713677553376504,0.17082003249882383,0.1425791290170818,600,-1,0.5138860512096338,1.0277721024192676,0.7412615501796523,0.001333218929480462,0.0
0.35,8,2,956,0.1689227278777497,0.1723701304874997,0.42564292728129466,0.8039691473981029,0.5908763865219628,0.21309276087614004,0.12691913071386884,300,-1,0.5708639181086647,4.566911344869317,0.8682032101343017,0.0,0.0
0.35,4,1,956,0.1689227278777497,0.1723701304874997,0.42564292728129466,0.8007864295121002,0.6092051919982855,0.19158123751381473,0.11417515660740485,300,-1,0.5673842066735744,2.2695368266942975,0.8395598745720055,0.0,0.0
0.2,16,2,478,0.1689227278777497,0.1723701304874997,0.2585502573971929,0.6823273036484443,0.3900356700596969,0.2922916335887474,0.07834417578888836,100,-1,0.4585286290067235,7.336458064107576,0.8912632909050826,0.0,0.0
0.2,8,1,478,0.1689227278777497,0.1723701304874997,0.2585502573971929,0.6747947608054263,0.3943389155501503,0.280455845255276,0.06796034335770518,100,-1,0.4588096785529848,3.6704774284238786,0.8783629605117487,0.0,0.0
0.35,16,2,478,0.1689227278777497,0.1723701304874997,0.42564292728129466,0.7398642494017262,0.5600295363756876,0.1798347130260386,0.03980695526720046,100,-1,0.6544911404719288,10.47185824755086,0.9082087047812534,0.0,0.0
0.35,8,1,478,0.1689227278777497,0.1723701304874997,0.42564292728129466,0.7369095830735839,0.5678279959011258,0.16908158717245814,0.034550453083048605,100,-1,0.6507939410909817,5.206351528727853,0.895650880605406,0.0,0.0
0.2,16,1,239,0.1689227278777497,0.1723701304874997,0.2585502573971929,0.5530959097756671,0.3622130329287181,0.19088287684694905,0.025222165780733274,50,-1,0.5662832117677,9.0605313882832,0.9257506143070011,0.0,0.0
0.35,16,1,239,0.1689227278777497,0.1723701304874997,0.42564292728129466,0.6541805014112687,0.541165861367828,0.11301464004344075,0.01345917903474575,50,-1,0.7637618473188208,12.220189557101133,0.9278126148460022,0.0,0.0
