checkpoint_id,replication,rollout_batch,minibatch,selection_bin,formula_split,population_sequence_ess,blocks_per_estimator,sequences_per_estimator,calibration_blocks,raw_variance_trace,ppo_variance_trace,ppo_bias_squared,ppo_bias_squared_naive,empirical_raw_bias_squared,raw_formula_mse,ppo_formula_mse,raw_minus_ppo_formula_mse,ppo_formula_reduction_pct,formula_prefers_ppo
1.0,0.0,8.0,14.0,1.0,fit,0.011227026110229089,1.0,128.0,100.0,0.04574587870346499,0.03627372200571991,0.0016408179803239086,0.0020035552003811077,0.00027260929500314636,0.04574587870346499,0.03791453998604382,0.007831338717421171,17.11922240730287,1.0
1.0,0.0,8.0,14.0,1.0,fit,0.011227026110229089,2.0,256.0,100.0,0.04574587870346499,0.03627372200571991,0.0016408179803239086,0.0020035552003811077,0.00027260929500314636,0.022872939351732496,0.019777678983183864,0.0030952603685486316,13.532411908022581,1.0
1.0,0.0,8.0,14.0,1.0,fit,0.011227026110229089,4.0,512.0,100.0,0.04574587870346499,0.03627372200571991,0.0016408179803239086,0.0020035552003811077,0.00027260929500314636,0.011436469675866248,0.010709248481753886,0.0007272211941123617,6.358790909462004,1.0
1.0,0.0,8.0,14.0,1.0,fit,0.011227026110229089,8.0,1024.0,100.0,0.04574587870346499,0.03627372200571991,0.0016408179803239086,0.0020035552003811077,0.00027260929500314636,0.005718234837933124,0.006175033231038898,-0.0004567983931057741,-7.988451087659168,0.0
2.0,2.0,1.0,14.0,1.0,test,4.0801509632285453e-05,1.0,128.0,100.0,0.05418514431194229,0.04309628690852383,0.0013814655065045244,0.0018124283755897627,0.0011654957385503133,0.05418514431194229,0.044477752415028354,0.009707391896913935,17.915227541018925,1.0
2.0,2.0,1.0,14.0,1.0,test,4.0801509632285453e-05,2.0,256.0,100.0,0.05418514431194229,0.04309628690852383,0.0013814655065045244,0.0018124283755897627,0.0011654957385503133,0.027092572155971145,0.02292960896076644,0.004162963195204705,15.365699392581288,1.0
2.0,2.0,1.0,14.0,1.0,test,4.0801509632285453e-05,4.0,512.0,100.0,0.05418514431194229,0.04309628690852383,0.0013814655065045244,0.0018124283755897627,0.0011654957385503133,0.013546286077985572,0.012155537233635482,0.0013907488443500905,10.266643095706012,1.0
2.0,2.0,1.0,14.0,1.0,test,4.0801509632285453e-05,8.0,1024.0,100.0,0.05418514431194229,0.04309628690852383,0.0013814655065045244,0.0018124283755897627,0.0011654957385503133,0.006773143038992786,0.006768501370070003,4.641668922783157e-06,0.06853050195546152,1.0
3.0,2.0,1.0,15.0,1.0,test,3.534296787816869e-05,1.0,128.0,100.0,0.08929220386400008,0.07684406681675122,0.0017921568573761367,0.002560597525543649,0.001614052402034282,0.08929220386400008,0.07863622367412736,0.010655980189872724,11.93383042275754,1.0
3.0,2.0,1.0,15.0,1.0,test,3.534296787816869e-05,2.0,256.0,100.0,0.08929220386400008,0.07684406681675122,0.0017921568573761367,0.002560597525543649,0.001614052402034282,0.04464610193200004,0.04021419026575175,0.004431911666248289,9.926760622906077,1.0
3.0,2.0,1.0,15.0,1.0,test,3.534296787816869e-05,4.0,512.0,100.0,0.08929220386400008,0.07684406681675122,0.0017921568573761367,0.002560597525543649,0.001614052402034282,0.02232305096600002,0.02100317356156394,0.001319877404436079,5.912621023203186,1.0
3.0,2.0,1.0,15.0,1.0,test,3.534296787816869e-05,8.0,1024.0,100.0,0.08929220386400008,0.07684406681675122,0.0017921568573761367,0.002560597525543649,0.001614052402034282,0.01116152548300001,0.01139766520947004,-0.00023613972647002976,-2.1156581762026296,0.0
4.0,5.0,4.0,13.0,1.0,test,0.0020349211003165353,1.0,128.0,100.0,0.048304314699304324,0.023189033326884823,0.0009992055403893472,0.0012310958736581955,0.0006145820726592773,0.048304314699304324,0.02418823886727417,0.024116075832030154,49.92530373767516,1.0
4.0,5.0,4.0,13.0,1.0,test,0.0020349211003165353,2.0,256.0,100.0,0.048304314699304324,0.023189033326884823,0.0009992055403893472,0.0012310958736581955,0.0006145820726592773,0.024152157349652162,0.012593722203831759,0.011558435145820403,47.85673999423023,1.0
4.0,5.0,4.0,13.0,1.0,test,0.0020349211003165353,4.0,512.0,100.0,0.048304314699304324,0.023189033326884823,0.0009992055403893472,0.0012310958736581955,0.0006145820726592773,0.012076078674826081,0.006796463872110553,0.005279614802715528,43.71961250734038,1.0
4.0,5.0,4.0,13.0,1.0,test,0.0020349211003165353,8.0,1024.0,100.0,0.048304314699304324,0.023189033326884823,0.0009992055403893472,0.0012310958736581955,0.0006145820726592773,0.0060380393374130405,0.00389783470624995,0.0021402046311630903,35.445357533560674,1.0
5.0,5.0,4.0,16.0,1.0,fit,0.00539010156907017,1.0,128.0,100.0,0.03266663766038139,0.014674828287328029,0.0032666251323775816,0.003413373415250862,0.0004265625248613657,0.03266663766038139,0.01794145341970561,0.014725184240675777,45.077134640443,1.0
5.0,5.0,4.0,16.0,1.0,fit,0.00539010156907017,2.0,256.0,100.0,0.03266663766038139,0.014674828287328029,0.0032666251323775816,0.003413373415250862,0.0004265625248613657,0.016333318830190693,0.010604039276041595,0.0057292795541490985,35.07725290685585,1.0
5.0,5.0,4.0,16.0,1.0,fit,0.00539010156907017,4.0,512.0,100.0,0.03266663766038139,0.014674828287328029,0.0032666251323775816,0.003413373415250862,0.0004265625248613657,0.008166659415095347,0.006935332204209589,0.0012313272108857576,15.077489439681521,1.0
5.0,5.0,4.0,16.0,1.0,fit,0.00539010156907017,8.0,1024.0,100.0,0.03266663766038139,0.014674828287328029,0.0032666251323775816,0.003413373415250862,0.0004265625248613657,0.004083329707547673,0.005100978668293585,-0.001017648960745912,-24.922037494667112,0.0
6.0,9.0,8.0,10.0,1.0,test,0.017426085246850555,1.0,128.0,100.0,0.018263100772515365,0.001840877840223327,0.003154564186763902,0.0031729729651661354,0.0007551448025059035,0.018263100772515365,0.004995442026987229,0.013267658745528136,72.64735003540578,1.0
6.0,9.0,8.0,10.0,1.0,test,0.017426085246850555,2.0,256.0,100.0,0.018263100772515365,0.001840877840223327,0.003154564186763902,0.0031729729651661354,0.0007551448025059035,0.009131550386257683,0.0040750031068755655,0.005056547279382117,55.37446616942346,1.0
6.0,9.0,8.0,10.0,1.0,test,0.017426085246850555,4.0,512.0,100.0,0.018263100772515365,0.001840877840223327,0.003154564186763902,0.0031729729651661354,0.0007551448025059035,0.004565775193128841,0.003614783646819734,0.0009509915463091073,20.828698437458776,1.0
6.0,9.0,8.0,10.0,1.0,test,0.017426085246850555,8.0,1024.0,100.0,0.018263100772515365,0.001840877840223327,0.003154564186763902,0.0031729729651661354,0.0007551448025059035,0.0022828875965644206,0.0033846739167918177,-0.0011017863202273971,-48.262837026470564,0.0
7.0,10.0,3.0,12.0,1.0,fit,0.00015219022393304384,1.0,128.0,100.0,5.0561792908846375,5.057566922009108,0.0,0.04559558972020293,0.051287002324707974,5.0561792908846375,5.057566922009108,-0.0013876311244702677,-0.0274442626465385,0.0
7.0,10.0,3.0,12.0,1.0,fit,0.00015219022393304384,2.0,256.0,100.0,5.0561792908846375,5.057566922009108,0.0,0.04559558972020293,0.051287002324707974,2.5280896454423187,2.528783461004554,-0.0006938155622351339,-0.0274442626465385,0.0
