family,temperature,rho,effective_count,g2,raw_theory_mse,raw_empirical_mse,raw_empirical_se,selected_cap,selected_theory_mse,selected_empirical_mse,selected_empirical_se,clipping_mse_ratio,repetitions,validation_repetitions,test_repetitions,batch_size
aligned,0.75,0.9613287125471951,246.10015041208194,0.6085066426137722,0.0024724668482485456,0.002208662365119339,0.00012569465543195557,1.25,0.0024724668482485456,0.002208662365119339,0.00012569465543195557,1.0,100,40,60,256
shifted,0.75,0.9258704224158154,237.02282813844874,0.7076937919949509,0.0029856314056639255,0.0029292012987398625,0.00018956742470563863,1.25,0.002229625418551063,0.002337989580679392,0.00014564992861120437,0.7981662379042339,100,40,60,256
aligned,1.0,0.9326203534518116,238.75081048366377,0.4094435835142765,0.001714810367735323,0.001773721668125751,0.00010517835659249714,1.25,0.0017142815800222054,0.0017733082226255399,0.00010520638647015968,0.9997669050857072,100,40,60,256
shifted,1.0,0.9069716454272627,232.18474122937926,0.45439411787577694,0.0019569061930567212,0.0018458171292011453,0.00012888373078804682,1.25,0.0017322957944351967,0.0017227974194938852,0.00011519739618628655,0.9333521681205212,100,40,60,256
aligned,1.5,0.8214378661866581,210.2880937437845,0.29529164546093223,0.0014040935153211784,0.0013681867838571385,7.641061677734316e-05,1.25,0.0013534614095330145,0.0013276026945419806,7.482755607286421e-05,0.9703373181249823,100,40,60,256
shifted,1.5,0.8019069211836104,205.28817182300426,0.308684916015033,0.0015035355927422774,0.0015210532077908699,9.408284431086117e-05,1.25,0.0013557117750664985,0.0014339449614452298,8.830068737597632e-05,0.9427316244432018,100,40,60,256
aligned,2.5,0.5842665669715358,149.57224114471316,0.22408300396069872,0.00149802827446994,0.0014137996076143747,0.00010681348098812919,1.25,0.0012776507329651816,0.0012200408683984186,9.283036285453177e-05,0.8629517661679778,100,40,60,256
shifted,2.5,0.5714465702363375,146.2903219805024,0.22631778636007752,0.0015469147567723218,0.0014926154480527018,8.430020517622465e-05,1.25,0.0012748658439707505,0.0012278371760919317,7.016130457799559e-05,0.8226078443002814,100,40,60,256
aligned,4.0,0.38472413894953,98.48937957107968,0.17581517551182058,0.0017849873568114862,0.0016870323436471856,9.98866808686641e-05,1.25,0.001316088538254339,0.0012918225892174276,7.857599120965473e-05,0.765736705690327,100,40,60,256
shifted,4.0,0.3780183101972275,96.77268741049024,0.17585685047308683,0.0018170849797716757,0.0017056446987961126,0.00010235202844774043,1.25,0.0013135910670199955,0.0012737862397903808,7.684801117897756e-05,0.7468063194459265,100,40,60,256
target,0.75,1.0,256.0,0.7405777385635651,0.002892751034046326,0.0028915344943147435,0.00016542838298965493,1.25,0.002892751034046326,0.0028915344943147435,0.00016542838298965493,1.0,100,40,60,256
