method,rollout_batch,mean_population_reward,population_reward_se,mean_relative_improvement_pct,relative_improvement_pct_se
Raw,0.0,0.09576621467518379,1.3947701538996772e-18,0.0,0.0
Raw,1.0,0.14017211169140775,0.002691238221799096,46.369063627332615,2.8102167668703784
Raw,2.0,0.17341064080189586,0.004184868903626935,81.07705456466402,4.369880252467963
Raw,3.0,0.1907357056438461,0.0069323506476710785,99.16805346308841,7.23882704478188
Raw,4.0,0.21930208186892286,0.006919716164988932,128.9973375399073,7.225633996769071
Raw,5.0,0.22644395121900188,0.008615564748880724,136.45494602354893,8.996455355474442
Raw,6.0,0.258879048535168,0.008970039068000313,170.32398577434026,9.36660083978943
Raw,7.0,0.2769719610389375,0.00923381940156826,189.216778566805,9.64204279441051
Raw,8.0,0.2826171546396333,0.01090976939829857,195.111543876098,11.39208585752492
PPO masked,0.0,0.09576621467518379,1.3947701538996772e-18,0.0,0.0
PPO masked,1.0,0.11294898195898787,0.00038508017150721966,17.942410423220693,0.40210440896439303
PPO masked,2.0,0.1340231194739326,0.0006224511107844205,39.94822696971695,0.6499694207353047
PPO masked,3.0,0.15854070703603632,0.0008464602871013253,65.54972708670655,0.8838819514505373
PPO masked,4.0,0.18567006999111224,0.0011258953622269542,93.87846812245937,1.1756707373740556
PPO masked,5.0,0.21471391220879826,0.0012906176858462537,124.20632676884719,1.347675367794082
PPO masked,6.0,0.24322670348558964,0.0013893955819381533,153.97965692865358,1.4508201944189312
PPO masked,7.0,0.2702479233242539,0.0013993271449294813,182.19547388488783,1.4611908277628658
PPO masked,8.0,0.295201398134463,0.0014491680967594223,208.25213164759197,1.5132352277623746
ESS gated,0.0,0.09576621467518379,1.3947701538996772e-18,0.0,0.0
ESS gated,1.0,0.1395428628718876,0.0024377793970249977,45.71199597392856,2.545552630740773
ESS gated,2.0,0.1740269564981854,0.004093531529809974,81.72061732672984,4.274504890575718
ESS gated,3.0,0.20067554585349845,0.005275273184397032,109.54732995779585,5.508490862137032
ESS gated,4.0,0.22218248611691835,0.0068497654646870205,132.00508328590453,7.152590804512629
ESS gated,5.0,0.23537775364752606,0.008995524187062055,145.78370821679792,9.393212645579371
ESS gated,6.0,0.2633422050806289,0.009179976257983046,174.98445665188177,9.585819267389171
ESS gated,7.0,0.28559027244865137,0.009121173132982155,198.21610201186874,9.524416480195027
ESS gated,8.0,0.295444979398489,0.009823335706074725,208.50648154003792,10.257621374503671
