replication,method,threshold,update,rollout_cycle,minibatch,population_value,population_rho,sample_rho,chosen_ppo,raw_risk,ppo_risk
0.0,raw,nan,0.0,0.0,0.0,0.4381825474072605,1.0,1.0,0.0,nan,nan
0.0,raw,nan,1.0,1.0,1.0,0.44030731279078633,1.0,1.0,0.0,nan,nan
0.0,raw,nan,2.0,1.0,2.0,0.4421537858884176,0.9991475824025138,0.999357634613536,0.0,nan,nan
0.0,raw,nan,3.0,1.0,3.0,0.44443383263003794,0.9978187386945999,0.9975131495079622,0.0,nan,nan
0.0,raw,nan,4.0,1.0,4.0,0.445734462152841,0.9950284601310461,0.9968852692180578,0.0,nan,nan
0.0,raw,nan,5.0,1.0,5.0,0.4463014737577615,0.995258971126854,0.9952097935090146,0.0,nan,nan
0.0,raw,nan,6.0,1.0,6.0,0.44788081206926,0.9929238058099966,0.9925333708037527,0.0,nan,nan
0.0,raw,nan,7.0,1.0,7.0,0.4490667508537318,0.989450273898917,0.9888198253630123,0.0,nan,nan
0.0,raw,nan,8.0,1.0,8.0,0.45181565704529375,0.9875379071271863,0.9843664755225175,0.0,nan,nan
0.0,raw,nan,9.0,2.0,1.0,0.4527929435796161,1.0,1.0,0.0,nan,nan
0.0,raw,nan,10.0,2.0,2.0,0.45551638108120446,0.9978415379585742,0.9979029470366729,0.0,nan,nan
0.0,raw,nan,11.0,2.0,3.0,0.45681814942381865,0.9982124839837908,0.9987056010787909,0.0,nan,nan
0.0,raw,nan,12.0,2.0,4.0,0.4586694002333409,0.9955119717586198,0.9966995187257399,0.0,nan,nan
0.0,raw,nan,13.0,2.0,5.0,0.4608631985101988,0.994303610760629,0.9977152930165432,0.0,nan,nan
0.0,raw,nan,14.0,2.0,6.0,0.4622188404160489,0.9933741224271465,0.9931860389535313,0.0,nan,nan
0.0,raw,nan,15.0,2.0,7.0,0.46325235990405955,0.9924118590484298,0.9935060194560092,0.0,nan,nan
0.0,raw,nan,16.0,2.0,8.0,0.46449429222825883,0.9950447589367446,0.9964637133959631,0.0,nan,nan
0.0,raw,nan,17.0,3.0,1.0,0.467067829329826,1.0,1.0,0.0,nan,nan
0.0,raw,nan,18.0,3.0,2.0,0.4685703333906392,0.9991683579591435,0.9992537079765658,0.0,nan,nan
0.0,raw,nan,19.0,3.0,3.0,0.47026711932844123,0.99752871445002,0.9971109044487549,0.0,nan,nan
0.0,raw,nan,20.0,3.0,4.0,0.47132909518369,0.9970779205996507,0.9967859192160182,0.0,nan,nan
0.0,raw,nan,21.0,3.0,5.0,0.4723548030627181,0.9960264184672825,0.9954330325479018,0.0,nan,nan
0.0,raw,nan,22.0,3.0,6.0,0.4741908211444739,0.9911906808904322,0.9915007726528262,0.0,nan,nan
0.0,raw,nan,23.0,3.0,7.0,0.47590240811726264,0.9904743390995046,0.9923593775989688,0.0,nan,nan
0.0,raw,nan,24.0,3.0,8.0,0.4777057558979516,0.9914399405165963,0.991343617774798,0.0,nan,nan
0.0,raw,nan,25.0,4.0,1.0,0.479727142768223,1.0,1.0,0.0,nan,nan
0.0,raw,nan,26.0,4.0,2.0,0.4812862121784185,0.998365669087657,0.9985953877108599,0.0,nan,nan
0.0,raw,nan,27.0,4.0,3.0,0.48273597014044883,0.99598832875914,0.9955730858618397,0.0,nan,nan
0.0,raw,nan,28.0,4.0,4.0,0.48420656170508364,0.9955201771374944,0.9961835533780001,0.0,nan,nan
0.0,raw,nan,29.0,4.0,5.0,0.4850254813032601,0.9944035208628982,0.9943460494744967,0.0,nan,nan
0.0,raw,nan,30.0,4.0,6.0,0.48659319923142247,0.9942558355574285,0.9935399514701324,0.0,nan,nan
0.0,raw,nan,31.0,4.0,7.0,0.488306893730777,0.9946123411671275,0.9931930247980274,0.0,nan,nan
0.0,raw,nan,32.0,4.0,8.0,0.4904401505513764,0.991717121345278,0.9906515388644569,0.0,nan,nan
0.0,raw,nan,33.0,5.0,1.0,0.4920233123854673,1.0,0.9999999999999999,0.0,nan,nan
