method,replications,mean_final_value,se_final_value,median_final_value,mean_ppo_fraction,se_ppo_fraction
raw,100.0,0.5178014754477429,0.010313065560567923,0.5441142751813492,0.0,0.0
ppo,100.0,0.5585877715965822,0.002379797420724941,0.5624867013046628,1.0,0.0
mse_oracle,100.0,0.5675185608469653,0.0026552244576382414,0.5709451686834208,0.6275,0.009055803429711566
