batch_size,both_certified_points,ppo_only_certified_points,neither_certified_points,ppo_only_rho_min,ppo_only_rho_max,raw_first_loses_certificate_rho,ppo_first_loses_certificate_rho,high_rho_raw_relative_risk,high_rho_ppo_relative_risk,low_rho_raw_relative_risk,low_rho_ppo_relative_risk
160,0,17,184,0.6812072243839136,0.945764824434929,1.0,1.0,1.495514385059669,1.495514385059669,66.5407643855285,5.967545517556045
320,34,2,165,0.5386010451024024,0.5491155799483926,0.5491155799483926,0.5285353544076004,0.7477571925298345,0.7477571925298345,33.27038219276425,3.294894746408171
480,42,0,157,nan,nan,0.46228074592912205,0.47668879721023333,0.49850479501988965,0.49850479501988965,22.180254795176168,2.4040111560255464
640,46,0,151,nan,nan,0.4260127471816213,0.44910560577621966,0.37387859626491726,0.37387859626491726,16.635191096382126,1.9585693608342338
960,49,0,142,nan,nan,0.38655199857528394,0.4314109755309218,0.24925239750994482,0.24925239750994482,11.090127397588084,1.5131275656429217
1280,52,0,136,nan,nan,0.3672916312757684,0.4158954401284393,0.18693929813245863,0.18693929813245863,8.317595548191063,1.2904066680472657
