batch_size,ppo_epsilon,high_rho,high_raw_relative_risk,high_ppo_relative_risk,low_rho,low_raw_relative_risk,low_ppo_relative_risk,raw_crossing_count,first_raw_cross_rho_left,first_raw_cross_rho_right,ppo_crossing_count,first_ppo_cross_rho_left,first_ppo_cross_rho_right,recovery_points,recovery_rho_min,recovery_rho_max,high_supported_points,score
4,0.05,1.0,59.82057540238676,59.82057540238676,0.274429075637887,2661.6305754211403,184.74615696235034,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
4,0.1,1.0,59.82057540238676,59.82057540238676,0.274429075637887,2661.6305754211403,189.8653024608594,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
4,0.2,1.0,59.82057540238676,59.82057540238676,0.274429075637887,2661.6305754211403,214.43430566709023,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
4,0.3,1.0,59.82057540238676,59.82057540238676,0.274429075637887,2661.6305754211403,256.85074027335344,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
8,0.05,1.0,29.91028770119338,29.91028770119338,0.274429075637887,1330.8152877105701,92.68661215165986,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
8,0.1,1.0,29.91028770119338,29.91028770119338,0.274429075637887,1330.8152877105701,95.23879547882106,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
8,0.2,1.0,29.91028770119338,29.91028770119338,0.274429075637887,1330.8152877105701,107.52827482117524,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
8,0.3,1.0,29.91028770119338,29.91028770119338,0.274429075637887,1330.8152877105701,128.75535013769178,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
16,0.05,1.0,14.95514385059669,14.95514385059669,0.274429075637887,665.4076438552851,46.656839746314624,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
16,0.1,1.0,14.95514385059669,14.95514385059669,0.274429075637887,665.4076438552851,47.92554198780189,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
16,0.2,1.0,14.95514385059669,14.95514385059669,0.274429075637887,665.4076438552851,54.07525939821778,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
16,0.3,1.0,14.95514385059669,14.95514385059669,0.274429075637887,665.4076438552851,64.70765506986098,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
40,0.05,1.0,5.982057540238676,5.982057540238676,0.274429075637887,266.163057542114,19.03897630310749,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
40,0.1,1.0,5.982057540238676,5.982057540238676,0.274429075637887,266.163057542114,19.53758989319039,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
40,0.2,1.0,5.982057540238676,5.982057540238676,0.274429075637887,266.163057542114,22.00345014444329,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
40,0.3,1.0,5.982057540238676,5.982057540238676,0.274429075637887,266.163057542114,26.27903802916249,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
80,0.05,1.0,2.991028770119338,2.991028770119338,0.274429075637887,133.081528771057,9.833021822038441,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
80,0.1,1.0,2.991028770119338,2.991028770119338,0.274429075637887,133.081528771057,10.074939194986559,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
80,0.2,1.0,2.991028770119338,2.991028770119338,0.274429075637887,133.081528771057,11.312847059851793,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
80,0.3,1.0,2.991028770119338,2.991028770119338,0.274429075637887,133.081528771057,13.469499015596323,0,nan,nan,0,nan,nan,0,nan,nan,0,0.0
