checkpoint_id,replication,rollout_batch,minibatch,selection_bin,minibatches_per_estimator,sequences_per_diagnostic,population_sequence_ess,training_sample_ess,mean_diagnostic_sample_ess,raw_gradient_mse,ppo_gradient_mse,raw_minus_ppo_mse,ppo_mse_reduction_pct,raw_relative_gain_pct,ppo_relative_gain_pct,ppo_minus_raw_gain_pct,diagnostic_draws
1.0,0.0,8.0,14.0,1.0,1.0,128.0,0.011227026110229089,0.4128898551835551,0.20559514541703477,0.08478032186460269,0.08176930829981678,0.003011013564785904,3.5515476923932945,-3.3387211646513784,-3.294774209273298,0.04394695537808074,32.0
1.0,0.0,8.0,14.0,1.0,4.0,512.0,0.011227026110229089,0.4128898551835551,0.12317957043720756,0.04755576824592787,0.028674961216487563,0.018880807029440304,39.702454036282,-0.5611031743540235,-0.19040362780906273,0.37069954654496096,32.0
2.0,2.0,1.0,14.0,1.0,1.0,128.0,4.0801509632285453e-05,0.08188554114997618,0.11651623019877512,0.14094558729823187,0.13848415816737414,0.0024614291308577337,1.7463683525256501,-1.2214522695301313,-3.0182549985880436,-1.7968027290579123,32.0
2.0,2.0,1.0,14.0,1.0,4.0,512.0,4.0801509632285453e-05,0.08188554114997618,0.05924245332065453,0.022626533379917907,0.021003388419577575,0.0016231449603403326,7.173635187884984,1.5313004646249682,-0.8778517586648341,-2.4091522232898024,32.0
3.0,2.0,1.0,15.0,1.0,1.0,128.0,3.534296787816869e-05,0.12939424165853286,0.09035002212911777,0.02952016504394738,0.025779513925626156,0.003740651118321228,12.671511533734417,1.7557903458267217,-0.3325842320362812,-2.088374577863003,32.0
3.0,2.0,1.0,15.0,1.0,4.0,512.0,3.534296787816869e-05,0.12939424165853286,0.04264718518552463,0.15588584222874494,0.15516597526901876,0.0007198669597261564,0.46179110907957416,-4.900298318213767,-7.809015747275656,-2.9087174290618893,32.0
4.0,5.0,4.0,13.0,1.0,1.0,128.0,0.0020349211003165353,0.27238285280419455,0.14573655731344404,0.050883043398790684,0.02734983469095215,0.023533208707838538,46.24960917411997,-2.828542716490565,-2.0714956921796825,0.7570470243108822,32.0
4.0,5.0,4.0,13.0,1.0,4.0,512.0,0.0020349211003165353,0.27238285280419455,0.08814446565340799,0.008944243639603597,0.00578046999589114,0.0031637736437124565,35.372176465585106,1.4362021061695873,1.0502255710582653,-0.3859765351113219,32.0
5.0,5.0,4.0,16.0,1.0,1.0,128.0,0.00539010156907017,0.09432996338318422,0.17056739886673433,0.024411466485999796,0.015055792858641854,0.009355673627357942,38.324914370562325,3.0736768698067687,1.0468249764437672,-2.026851893363002,32.0
5.0,5.0,4.0,16.0,1.0,4.0,512.0,0.00539010156907017,0.09432996338318422,0.10442786458983394,0.020285693652598476,0.00863646030253917,0.011649233350059306,57.425856613816656,3.95495780157874,1.6716452907963009,-2.283312510782439,32.0
6.0,9.0,8.0,10.0,1.0,1.0,128.0,0.017426085246850555,0.04349537815631088,0.15810895643645956,0.060944447361860485,0.00405199630853856,0.05689245105332193,93.3513281620561,4.239235395973602,0.18097588136255838,-4.058259514611043,32.0
6.0,9.0,8.0,10.0,1.0,4.0,512.0,0.017426085246850555,0.04349537815631088,0.08308598175684312,0.010284479986127845,0.0035229803750876894,0.006761499611040155,65.74469122561725,4.365429078206938,0.3251875870190645,-4.040241491187873,32.0
7.0,10.0,3.0,12.0,1.0,1.0,128.0,0.00015219022393304384,0.19421293057528016,0.08788412850277504,0.25565936121008703,0.24670220694686246,0.008957154263224592,3.5035502791012947,8.579774579603413,5.027602987305567,-3.5521715922978463,32.0
7.0,10.0,3.0,12.0,1.0,4.0,512.0,0.00015219022393304384,0.19421293057528016,0.046101769150035554,0.11472151960821046,0.1134985379437317,0.001222981664478749,1.0660438151929972,12.94981963184686,7.7166458206980675,-5.233173811148792,32.0
8.0,16.0,8.0,15.0,1.0,1.0,128.0,0.028403767221111122,0.36491909889269847,0.2984140356205814,0.030804895787007756,0.02828540471701779,0.0025194910699899635,8.178865747218602,-1.4970708951205784,-1.0632696021261416,0.43380129299443665,32.0
8.0,16.0,8.0,15.0,1.0,4.0,512.0,0.028403767221111122,0.36491909889269847,0.22015024306262868,0.008687933817339445,0.008144462278336654,0.0005434715390027902,6.255475127102437,-0.10109602969173088,0.3126082487341093,0.4137042784258402,32.0
9.0,3.0,4.0,13.0,2.0,1.0,128.0,0.05967202096628819,0.3453369562081426,0.23008303510490502,0.02605910445311902,0.007979313117857777,0.018079791335261244,69.37994115564193,0.7590460278708299,0.055059537736626585,-0.7039864901342033,32.0
9.0,3.0,4.0,13.0,2.0,4.0,512.0,0.05967202096628819,0.3453369562081426,0.16035777628968517,0.010803230067601657,0.009221450795863383,0.0015817792717382748,14.6417253158567,1.9248528976308195,-0.015717039822983975,-1.9405699374538035,32.0
10.0,3.0,6.0,10.0,2.0,1.0,128.0,0.047291722024109105,0.21993648006544866,0.2647158814741839,0.03736873087154265,0.019754437296389035,0.017614293575153615,47.1364511567274,0.438302065853995,-1.3939700813949654,-1.8322721472489603,32.0
