replication,rollout_batch,minibatch,normalized_ess,population_sequence_ess,effective_sequences,mean_ratio,max_ratio,raw_gradient_mse,ppo_gradient_mse,raw_minus_ppo_mse,raw_relative_gain_pct,ppo_relative_gain_pct,ppo_minus_raw_gain_pct,oracle_relative_gain_pct
0.0,1.0,1.0,1.0,1.0,128.0,1.0,1.0,0.01410491603184139,0.01410491603184139,0.0,5.336178730142498,5.336178730142498,0.0,4.9370225778923835
0.0,1.0,2.0,0.8489997113658637,0.8459168743350298,108.67196305483056,0.985574841029393,2.27303135033632,0.018302289887833938,0.023845104972845442,-0.005542815085011504,-2.349855833357957,-3.981837634306937,-1.6319818009489797,4.815224279284266
0.0,1.0,3.0,0.8395653998447413,0.8209253981593934,107.46437118012689,1.0185005672403198,2.6864982359978375,0.03849962150829367,0.008896285415792465,0.029603336092501202,10.207500333694787,4.419474780828697,-5.788025552866091,5.774670791376434
0.0,1.0,4.0,0.6247290531326017,0.4879798591388072,79.96531880097302,1.0411017841911347,4.3881310463001215,0.015692126211011764,0.016382395031977283,-0.0006902688209655186,6.749912596646026,2.8260314549408716,-3.923881141705155,4.11980821386777
0.0,1.0,5.0,0.38463324910303986,0.4055847304610651,49.2330558851891,0.8767412048916278,10.814331053386116,0.005729219072595877,0.00567101416626536,5.820490633051678e-05,2.7007898330200706,-0.17666801397548157,-2.877457846995552,3.782994237731796
0.0,1.0,6.0,0.3953103190956903,0.3145836793696526,50.59972084424836,1.1326262801722486,10.02779564106236,0.008902415608079561,0.004230940768248585,0.004671474839830976,2.7777526676338335,0.13347883370590638,-2.6442738339279273,3.6994813908244413
0.0,1.0,7.0,0.4644363295611517,0.27818309282504644,59.44785018382742,1.0075290703486164,6.449116890145554,0.0036346781673696144,0.0015535130419479285,0.002081165125421686,1.9132018030642182,0.7379301118953175,-1.1752716911689007,3.3610897878169124
0.0,1.0,8.0,0.3643516562756465,0.20530158672063215,46.63701200328275,1.0017839949146763,8.896745946743433,0.00857469139976955,0.008563999202132772,1.0692197636778117e-05,1.2242979111449124,2.674120266089149,1.4498223549442368,2.948347689230747
0.0,1.0,9.0,0.38466887242473563,0.20809003131567758,49.23761567036616,0.8538295465694751,5.998966245847168,0.005643583326491281,0.004485130053666023,0.0011584532728252574,0.5651035965718711,0.9362174099210093,0.3711138133491382,2.927221508818285
0.0,1.0,10.0,0.2546669127722249,0.18983275203956193,32.59736483484479,0.8172461745422523,13.77232564206401,0.006111332287732171,0.003349151198243773,0.0027621810894883983,-0.04294857025458008,-0.36719460933816783,-0.32424603908358773,3.1925698519522956
0.0,1.0,11.0,0.30014136231818694,0.1407239757159128,38.41809437672793,1.1168135247884745,8.686402575372329,0.021321955161614507,0.004020640887506442,0.017301314274108064,2.488442263477517,0.6548712369519548,-1.8335710265255623,3.090157551676363
0.0,1.0,12.0,0.3379246316415835,0.0558954756148681,43.254352850122686,0.9657031213818166,7.286366773660544,0.02485470098911465,0.021210698800873284,0.0036440021882413673,3.4744543060867707,0.7539899851807971,-2.7204643209059736,2.7981749504473457
0.0,1.0,13.0,0.03761056740491644,0.026971856292038812,4.814152627829304,1.2430679536011933,70.54738887892555,0.006650330182933407,0.005334526183187041,0.0013158039997463655,3.216123853958333,2.4754716973858106,-0.7406521565725224,3.8797006218643593
0.0,1.0,14.0,0.31092668354419584,0.028128589651453925,39.79861549365707,1.0283343738161674,9.094704067256437,0.011142161258191806,0.014342522703871485,-0.0032003614456796795,2.4336764044557233,2.6391871227245485,0.20551071826882544,3.534385387390265
0.0,1.0,15.0,0.254485335850567,0.029263827959242674,32.574122988872574,0.5841336802723398,4.741958138441868,0.005549500105936567,0.0017507086516040053,0.003798791454332562,1.0144895655018524,-0.20586395386154718,-1.2203535193633996,2.9197451207716334
0.0,1.0,16.0,0.05790355057944826,0.03422384997818056,7.411654474169377,1.2436479387093673,54.61929924845378,0.15655839289306261,0.16041911417512764,-0.0038607212820650216,-17.737905171648443,-18.62230957722195,-0.8844044055735102,2.792708948103986
0.0,2.0,1.0,1.0,1.0,128.0,1.0,1.0,0.010568314588660475,0.010568314588660475,0.0,11.989461893110388,11.989461893110388,0.0,12.354802414365972
0.0,2.0,2.0,0.9185080381579926,0.8462749526054137,117.56902888422306,0.9572858171359017,1.8887733476656514,0.006375144000710629,0.007962740413058193,-0.0015875964123475642,0.7339292131128051,-1.2334299192116613,-1.9673591323244666,6.054178837857227
