candidate,replication,iteration,raw_value,ppo_value,raw_minus_ppo,raw_endpoint_rho
A_320_40_lr014_eps020,0,0,0.26409195184164375,0.26409195184164375,0.0,1.0
A_320_40_lr014_eps020,0,1,0.30923597142260484,0.2947493358458388,0.01448663557676605,0.8409259538240736
A_320_40_lr014_eps020,0,2,0.3609378136601834,0.33831135933515466,0.022626454325028744,0.9231124856868239
A_320_40_lr014_eps020,0,3,0.4050885589232846,0.38495222996054823,0.020136328962736372,0.9074387518169323
A_320_40_lr014_eps020,0,4,0.45646818064693206,0.42528757956231483,0.031180601084617232,0.8494190710968145
A_320_40_lr014_eps020,0,5,0.4866891953754263,0.46382010963551307,0.022869085739913253,0.8545513941398906
A_320_40_lr014_eps020,0,6,0.5299644266814828,0.5013780964342318,0.02858633024725099,0.9052784663316029
A_320_40_lr014_eps020,0,7,0.5547105209632016,0.5320817829259264,0.022628738037275165,0.8864435443735401
A_320_40_lr014_eps020,0,8,0.5798298770470559,0.5598764633042456,0.019953413742810344,0.9633732540576908
A_320_40_lr014_eps020,0,9,0.6054346471837333,0.5799002911555092,0.02553435602822407,0.8884253933457814
A_320_40_lr014_eps020,0,10,0.6149585744153417,0.5974046780959029,0.017553896319438822,0.9683762421168016
A_320_40_lr014_eps020,0,11,0.6228843431986909,0.615941723890104,0.0069426193085868615,0.7291665224337509
A_320_40_lr014_eps020,0,12,0.652772254934736,0.6271024848411905,0.02566977009354554,0.8538619090871378
A_320_40_lr014_eps020,0,13,0.6668380646224701,0.6353945208555187,0.031443543766951354,0.8664515098247106
A_320_40_lr014_eps020,0,14,0.6854069630276242,0.6579221106288741,0.027484852398750093,0.9695893746756813
A_320_40_lr014_eps020,0,15,0.6960491821920751,0.6736939372748793,0.02235524491719587,0.9879506838962565
A_320_40_lr014_eps020,0,16,0.7108378155939579,0.6874028245945812,0.023434990999376626,0.9458467211967877
A_320_40_lr014_eps020,0,17,0.7189303700340635,0.6960860490187247,0.02284432101533873,0.9377843492845112
A_320_40_lr014_eps020,0,18,0.7217114965261567,0.7072514729878492,0.014460023538307554,0.9196255382264541
A_320_40_lr014_eps020,0,19,0.7296284368988973,0.7182735874791268,0.011354849419770496,0.9369984976452751
A_320_40_lr014_eps020,0,20,0.7434072354006145,0.7260182679451784,0.017388967455436055,0.8611147749897154
A_320_40_lr014_eps020,0,21,0.7476455018329518,0.7317975451284773,0.015847956704474475,0.9265745307966818
A_320_40_lr014_eps020,0,22,0.7607394077131541,0.7416109973172499,0.019128410395904183,0.9443773403343879
A_320_40_lr014_eps020,0,23,0.7614164136994229,0.74527796141235,0.01613845228707289,0.9602972356133416
A_320_40_lr014_eps020,0,24,0.7727286022686722,0.7542023415621679,0.018526260706504316,0.9635768715917058
A_320_40_lr014_eps020,0,25,0.7801174089165245,0.763445842601777,0.016671566314747532,0.9389370306357719
