state_id,state_order,redraw,trajectory,population_rho,sample_rho,signal_sq,oracle_ppo,estimator,error_sq,relative_error,reward_change
1287.0,1.0,0.0,raw,2.4352792588476447e-08,0.12556775935962533,0.006362228960252248,1.0,raw,0.006252812350583696,0.9828021578047368,1.3953842495251223e-05
1287.0,1.0,0.0,raw,2.4352792588476447e-08,0.12556775935962533,0.006362228960252248,1.0,ppo,0.00625242535236024,0.9827413303453866,1.400255439543141e-05
1287.0,1.0,1.0,raw,2.4352792588476447e-08,0.06278488671083939,0.006362228960252248,1.0,raw,0.006362681630209563,1.0000711495861188,-5.658211321701856e-08
1287.0,1.0,1.0,raw,2.4352792588476447e-08,0.06278488671083939,0.006362228960252248,1.0,ppo,0.006362218626909317,0.999998375829761,1.2916685221409097e-09
1287.0,1.0,2.0,raw,2.4352792588476447e-08,0.055481107506293786,0.006362228960252248,1.0,raw,0.006345811422336908,0.9974195304793482,2.060141588294817e-06
1287.0,1.0,2.0,raw,2.4352792588476447e-08,0.055481107506293786,0.006362228960252248,1.0,ppo,0.006345508016039005,0.9973718417998305,2.098113815490743e-06
1287.0,1.0,3.0,raw,2.4352792588476447e-08,0.028932643110239905,0.006362228960252248,1.0,raw,0.006367606649286834,1.000845252358597,-6.714327787094021e-07
1287.0,1.0,3.0,raw,2.4352792588476447e-08,0.028932643110239905,0.006362228960252248,1.0,ppo,0.006362225945526832,0.999999526152637,3.768407252913164e-10
1287.0,1.0,4.0,raw,2.4352792588476447e-08,0.05518603986596559,0.006362228960252248,1.0,raw,0.006320109809952583,0.9933798122383206,5.315670173283715e-06
1287.0,1.0,4.0,raw,2.4352792588476447e-08,0.05518603986596559,0.006362228960252248,1.0,ppo,0.006319842646711848,0.9933378201562367,5.34916446751077e-06
1287.0,1.0,5.0,raw,2.4352792588476447e-08,0.009434200419313428,0.006362228960252248,1.0,raw,0.006362640501268692,1.0000646850371175,-5.1441227194581884e-08
1287.0,1.0,5.0,raw,2.4352792588476447e-08,0.009434200419313428,0.006362228960252248,1.0,ppo,0.006362195087516887,0.9999946759641044,4.234099765243471e-09
1287.0,1.0,6.0,raw,2.4352792588476447e-08,0.10605350137628412,0.006362228960252248,1.0,raw,0.006316169201273403,0.9927604367484099,5.805630232141867e-06
1287.0,1.0,6.0,raw,2.4352792588476447e-08,0.10605350137628412,0.006362228960252248,1.0,ppo,0.006315771319290969,0.992697898605737,5.855632085827178e-06
1287.0,1.0,7.0,raw,2.4352792588476447e-08,0.016960029583039313,0.006362228960252248,1.0,raw,0.005545609598912282,0.8716457130917858,0.00011912877737213501
1287.0,1.0,7.0,raw,2.4352792588476447e-08,0.016960029583039313,0.006362228960252248,1.0,ppo,0.0055448685870378165,0.871529242609649,0.00011922883430134923
1287.0,1.0,8.0,raw,2.4352792588476447e-08,0.11075694412260528,0.006362228960252248,1.0,raw,0.006344583645994284,0.9972265515170545,2.2133235830223974e-06
1287.0,1.0,8.0,raw,2.4352792588476447e-08,0.11075694412260528,0.006362228960252248,1.0,ppo,0.006344100899797568,0.9971506746192358,2.2737405027672963e-06
1287.0,1.0,9.0,raw,2.4352792588476447e-08,0.08461395659073072,0.006362228960252248,1.0,raw,0.015639548352962225,2.4581869735700543,0.0016392897473448687
1287.0,1.0,9.0,raw,2.4352792588476447e-08,0.08461395659073072,0.006362228960252248,1.0,ppo,0.006362228216125275,0.9999998830398942,9.30158727818764e-11
1287.0,1.0,10.0,raw,2.4352792588476447e-08,0.08170788483566807,0.006362228960252248,1.0,raw,0.006309971303343387,0.991786265908483,6.5994314807082954e-06
