checkpoint_id,replication,rollout_batch,minibatch,selection_bin,draw,minibatches_per_estimator,population_sequence_ess,training_sample_ess,diagnostic_sample_ess,effective_sequences,sequences_per_diagnostic,raw_gradient_squared_error,ppo_gradient_squared_error,raw_minus_ppo_squared_error,raw_relative_gain_pct,ppo_relative_gain_pct,ppo_minus_raw_gain_pct
1.0,0.0,8.0,14.0,1.0,1.0,1.0,0.011227026110229089,0.4128898551835551,0.35284654185639813,45.16435735761896,128.0,0.022054765700493906,0.021267706040918023,0.0007870596595758832,1.0401512421144459,0.6636377145243954,-0.3765135275900505
1.0,0.0,8.0,14.0,1.0,1.0,4.0,0.011227026110229089,0.4128898551835551,0.2201617398300218,112.72281079297116,512.0,0.004823468508250765,0.0021159490380687923,0.002707519470181973,1.1959270722195126,1.2164971380795282,0.02057006586001564
1.0,0.0,8.0,14.0,1.0,2.0,1.0,0.011227026110229089,0.4128898551835551,0.2801255627417751,35.85607203094721,128.0,0.014792095619011063,0.002585269730054462,0.0122068258889566,0.23909538834020155,0.6105921419464557,0.37149675360625417
1.0,0.0,8.0,14.0,1.0,2.0,4.0,0.011227026110229089,0.4128898551835551,0.03189685249148668,16.33118847564118,512.0,0.6127024654068827,0.0019364821273682364,0.6107659832795145,-20.0950306118512,0.8098420058004926,20.904872617651694
1.0,0.0,8.0,14.0,1.0,3.0,1.0,0.011227026110229089,0.4128898551835551,0.019927818557205566,2.5507607753223125,128.0,0.006163717986616385,0.005691340140275738,0.00047237784634064726,1.2472792296883224,1.3911852458747402,0.14390601618641785
1.0,0.0,8.0,14.0,1.0,3.0,4.0,0.011227026110229089,0.4128898551835551,0.03188796540020725,16.32663828490611,512.0,0.01402567973005174,0.012591896361375286,0.001433783368676455,1.8931987350709305,1.6134708191788107,-0.27972791589211976
1.0,0.0,8.0,14.0,1.0,4.0,1.0,0.011227026110229089,0.4128898551835551,0.28449077246080795,36.41481887498342,128.0,0.013394279754415707,0.006143861163819814,0.007250418590595893,-0.5727940036658685,-0.39289832219933246,0.17989568146653606
1.0,0.0,8.0,14.0,1.0,4.0,4.0,0.011227026110229089,0.4128898551835551,0.08264798404772594,42.31576783243568,512.0,0.010934275462251706,0.013559372385209465,-0.002625096922957759,2.9348210650642335,2.4547355490083422,-0.4800855160558912
1.0,0.0,8.0,14.0,1.0,5.0,1.0,0.011227026110229089,0.4128898551835551,0.02114614377430018,2.706706403110423,128.0,0.005960493742126429,0.00681464152703084,-0.000854147784904411,0.3022891485653318,0.6032639552482466,0.3009748066829148
1.0,0.0,8.0,14.0,1.0,5.0,4.0,0.011227026110229089,0.4128898551835551,0.018647875123427436,9.547712063194847,512.0,0.005924955014700858,0.005314482108219485,0.0006104729064813725,1.217420496449966,0.6368524668319392,-0.5805680296180268
1.0,0.0,8.0,14.0,1.0,6.0,1.0,0.011227026110229089,0.4128898551835551,0.08181079576019525,10.471781857304991,128.0,0.045099765613947934,0.03583361305351233,0.009266152560435607,-0.3880118300855532,-0.33089542861732263,0.05711640146823055
1.0,0.0,8.0,14.0,1.0,6.0,4.0,0.011227026110229089,0.4128898551835551,0.12148780754997453,62.20175746558696,512.0,0.00417833891416756,0.002959266190001419,0.0012190727241661414,1.8062427188966752,1.2953331692134544,-0.5109095496832208
1.0,0.0,8.0,14.0,1.0,7.0,1.0,0.011227026110229089,0.4128898551835551,0.45327765772574613,58.019540188895505,128.0,0.025717342503440845,0.02342259836891302,0.0022947441345278242,0.42567235293738065,0.09770740458676874,-0.3279649483506119
1.0,0.0,8.0,14.0,1.0,7.0,4.0,0.011227026110229089,0.4128898551835551,0.03568295200560579,18.269671426870165,512.0,0.04898367262764761,0.05211208170075067,-0.003128409073103057,0.8687331550876561,0.2115302627288371,-0.657202892358819
1.0,0.0,8.0,14.0,1.0,8.0,1.0,0.011227026110229089,0.4128898551835551,0.010683417798706699,1.3674774782344574,128.0,0.023520645742018488,0.024030148729444964,-0.0005095029874264759,1.3319169431843318,1.4201163536451118,0.08819941046077995
1.0,0.0,8.0,14.0,1.0,8.0,4.0,0.011227026110229089,0.4128898551835551,0.005403571058802486,2.7666283821068727,512.0,0.0037087697761142334,0.004256227293157357,-0.0005474575170431239,1.1310394642625372,1.02866591550148,-0.10237354876105731
1.0,0.0,8.0,14.0,1.0,9.0,1.0,0.011227026110229089,0.4128898551835551,0.409431774335389,52.407267114929795,128.0,0.004264565803770992,0.0030070330600181017,0.0012575327437528904,1.0647416374047873,1.5405662905631083,0.475824653158321
1.0,0.0,8.0,14.0,1.0,9.0,4.0,0.011227026110229089,0.4128898551835551,0.12212782486349612,62.52944633011001,512.0,0.011884350111135516,0.01638979318927311,-0.004505443078137595,1.6550393132067942,1.2501196387809042,-0.40491967442589005
1.0,0.0,8.0,14.0,1.0,10.0,1.0,0.011227026110229089,0.4128898551835551,0.18013597002531206,23.057404163239944,128.0,0.006971331711034484,0.0020793272118469664,0.004892004499187518,0.9991998761952908,1.029003268987354,0.029803392792063232
1.0,0.0,8.0,14.0,1.0,10.0,4.0,0.011227026110229089,0.4128898551835551,0.06261088406054123,32.05677263899711,512.0,0.024775075797940117,0.025247733704595918,-0.0004726579066558004,-0.9546969824319684,-1.0954364174419295,-0.1407394350099611
1.0,0.0,8.0,14.0,1.0,11.0,1.0,0.011227026110229089,0.4128898551835551,0.1854683861372605,23.739953425569343,128.0,0.018375913691750012,0.011866955894149316,0.0065089577976006965,-0.010753988250544619,-0.31475887792112717,-0.30400488967058253
1.0,0.0,8.0,14.0,1.0,11.0,4.0,0.011227026110229089,0.4128898551835551,0.20492806001911062,104.92316672978464,512.0,0.00960799901507873,0.010098963776829596,-0.0004909647617508655,0.3706502032259016,0.09019687936473669,-0.2804533238611649
1.0,0.0,8.0,14.0,1.0,12.0,1.0,0.011227026110229089,0.4128898551835551,0.18527141537713562,23.71474116827336,128.0,0.008534750650445502,0.008517813164274591,1.6937486170910676e-05,-0.8251346410685175,-0.9202513355273627,-0.09511669445884519
1.0,0.0,8.0,14.0,1.0,12.0,4.0,0.011227026110229089,0.4128898551835551,0.25970248323808387,132.96767141789894,512.0,0.003935917911821293,0.002850618960374334,0.0010852989514469587,0.8655681606467319,0.5339473378528319,-0.33162082279390004
1.0,0.0,8.0,14.0,1.0,13.0,1.0,0.011227026110229089,0.4128898551835551,0.26376309540501336,33.76167621184171,128.0,0.08311195270323282,0.06957218119928796,0.013539771503944864,-4.804939498674727,-3.7800310423029653,1.024908456371762
1.0,0.0,8.0,14.0,1.0,13.0,4.0,0.011227026110229089,0.4128898551835551,0.09405944474345107,48.15843570864695,512.0,0.019949616433115977,0.02047677899795098,-0.0005271625648350028,-0.38627642765561643,-0.6307348091966707,-0.24445838154105426
1.0,0.0,8.0,14.0,1.0,14.0,1.0,0.011227026110229089,0.4128898551835551,0.1550129655748409,19.841659593579635,128.0,0.00874026718113124,0.007423201890852352,0.0013170652902788878,1.736734516368149,1.5043866943883148,-0.23234782197983406
1.0,0.0,8.0,14.0,1.0,14.0,4.0,0.011227026110229089,0.4128898551835551,0.1343551062097931,68.78981437941407,512.0,0.023912076430729658,0.014479790500497431,0.009432285930232227,-0.14949276392677982,0.6624089624055675,0.8119017263323473
1.0,0.0,8.0,14.0,1.0,15.0,1.0,0.011227026110229089,0.4128898551835551,0.26072570037028386,33.372889647396335,128.0,0.03286299568234739,0.03179896723976984,0.0010640284425775526,-0.7285628794769374,-1.3235260467104717,-0.5949631672335343
1.0,0.0,8.0,14.0,1.0,15.0,4.0,0.011227026110229089,0.4128898551835551,0.1405540808340754,71.9636893870466,512.0,0.05363009859249368,0.0662967621055446,-0.012666663513050916,-0.19352532665966585,-0.9525174725593165,-0.7589921458996507
1.0,0.0,8.0,14.0,1.0,16.0,1.0,0.011227026110229089,0.4128898551835551,0.13812853321426805,17.68045225142631,128.0,0.026023047626468045,0.029005576721265438,-0.0029825290947973933,0.33955314922690505,-0.1711805189043313,-0.5107336681312363
1.0,0.0,8.0,14.0,1.0,16.0,4.0,0.011227026110229089,0.4128898551835551,0.15025333432307503,76.92970717341441,512.0,0.005368281279252077,0.006708753880801581,-0.0013404726015495035,2.043598051556883,1.633033244284908,-0.410564807271975
1.0,0.0,8.0,14.0,1.0,17.0,1.0,0.011227026110229089,0.4128898551835551,0.06477885338526938,8.291693233314481,128.0,0.08286168367926917,0.07778813763129558,0.0050735460479735955,-3.4703833231055494,-3.751650045443725,-0.2812667223381755
1.0,0.0,8.0,14.0,1.0,17.0,4.0,0.011227026110229089,0.4128898551835551,0.0947310637583844,48.50230464429281,512.0,0.03367285491943743,0.017082295773546214,0.016590559145891217,0.3147769835202476,1.5716360527683293,1.2568590692480817
1.0,0.0,8.0,14.0,1.0,18.0,1.0,0.011227026110229089,0.4128898551835551,0.3061798428937318,39.19101989039767,128.0,0.010956962122285073,0.009989206287618574,0.0009677558346664998,-0.5448105136868587,-1.2332782598098664,-0.6884677461230077
1.0,0.0,8.0,14.0,1.0,18.0,4.0,0.011227026110229089,0.4128898551835551,0.06505476624646289,33.308040318189,512.0,0.003378481697627392,0.003970273122312002,-0.0005917914246846103,0.6222890526623315,0.3902486205408864,-0.2320404321214451
1.0,0.0,8.0,14.0,1.0,19.0,1.0,0.011227026110229089,0.4128898551835551,0.3523055095082958,45.095105217061864,128.0,0.019030601469731036,0.017340824257613702,0.001689777212117334,0.4982491365473331,-0.16146500444405137,-0.6597141409913845
1.0,0.0,8.0,14.0,1.0,19.0,4.0,0.011227026110229089,0.4128898551835551,0.026594444382929707,13.61635552406001,512.0,0.005163046155524199,0.0022733982830832208,0.002889647872440978,1.8062393533383725,1.0395545843695857,-0.7666847689687868
1.0,0.0,8.0,14.0,1.0,20.0,1.0,0.011227026110229089,0.4128898551835551,0.10952255483741807,14.018887019189513,128.0,0.009486514436252178,0.002139311413663545,0.007347203022588633,-0.0016167312010256865,0.6555536707596498,0.6571704019606754
1.0,0.0,8.0,14.0,1.0,20.0,4.0,0.011227026110229089,0.4128898551835551,0.17368321010605853,88.92580357430197,512.0,0.005633015949105387,0.004791627969768404,0.0008413879793369829,1.8437438061857443,1.7221508782445702,-0.12159292794117404
1.0,0.0,8.0,14.0,1.0,21.0,1.0,0.011227026110229089,0.4128898551835551,0.16595936831527078,21.24279914435466,128.0,0.00730564063891323,0.007165894669979263,0.00013974596893396706,-0.373166061099057,-0.208495242187919,0.16467081891113797
1.0,0.0,8.0,14.0,1.0,21.0,4.0,0.011227026110229089,0.4128898551835551,0.16650534267284606,85.25073544849718,512.0,0.004516482156104247,0.0034201835741829,0.0010962985819213474,1.132513991566097,0.5396253707542755,-0.5928886208118214
1.0,0.0,8.0,14.0,1.0,22.0,1.0,0.011227026110229089,0.4128898551835551,0.07494085185595808,9.592429037562635,128.0,1.534252098534087,1.6152955063630565,-0.08104340782896946,-69.66122936727814,-71.88583057790893,-2.2246012106307944
1.0,0.0,8.0,14.0,1.0,22.0,4.0,0.011227026110229089,0.4128898551835551,0.09602478379757777,49.16468930435982,512.0,0.10624801405903891,0.11565038992722923,-0.009402375868190316,-10.688178869731724,-11.792687741357177,-1.1045088716254536
1.0,0.0,8.0,14.0,1.0,23.0,1.0,0.011227026110229089,0.4128898551835551,0.2850404609704759,36.48517900422092,128.0,0.009961649501672642,0.0032974067730435824,0.00666424272862906,0.24704574289045375,0.048282865032871256,-0.1987628778575825
1.0,0.0,8.0,14.0,1.0,23.0,4.0,0.011227026110229089,0.4128898551835551,0.11964476411653087,61.258119227663805,512.0,0.0027241289213609707,0.0026092282924277464,0.00011490062893322432,1.48374232107108,0.8465139563239532,-0.6372283647471269
1.0,0.0,8.0,14.0,1.0,24.0,1.0,0.011227026110229089,0.4128898551835551,0.30581828394418553,39.14474034485575,128.0,0.007800441174207981,0.005768904747303946,0.002031536426904035,-0.08373750003787557,-0.11699184972730241,-0.03325434968942684
1.0,0.0,8.0,14.0,1.0,24.0,4.0,0.011227026110229089,0.4128898551835551,0.24673892811714968,126.33033119598063,512.0,0.005311468955686413,0.005429547444833583,-0.00011807848914716958,0.610170057740437,0.5413976373556261,-0.0687724203848109
1.0,0.0,8.0,14.0,1.0,25.0,1.0,0.011227026110229089,0.4128898551835551,0.43358486899876597,55.498863231842044,128.0,0.03926915496428013,0.02917536893377028,0.010093786030509849,-2.216368281249848,-2.030744482330454,0.18562379891939385
1.0,0.0,8.0,14.0,1.0,25.0,4.0,0.011227026110229089,0.4128898551835551,0.18765388677983133,96.07879003127364,512.0,0.011486917870928037,0.008978445651492244,0.0025084722194357936,-0.09652793583367207,-0.15774018757702843,-0.06121225174335636
1.0,0.0,8.0,14.0,1.0,26.0,1.0,0.011227026110229089,0.4128898551835551,0.2953702464440017,37.80739154483222,128.0,0.0082775016940059,0.005696074023439823,0.0025814276705660765,0.4147020314509186,0.37100938152822954,-0.043692649922689064
1.0,0.0,8.0,14.0,1.0,26.0,4.0,0.011227026110229089,0.4128898551835551,0.16266769421385704,83.2858594374948,512.0,0.014167626922503408,0.013218802847498809,0.0009488240750045989,2.0875186292926085,1.7778233229993128,-0.30969530629329567
1.0,0.0,8.0,14.0,1.0,27.0,1.0,0.011227026110229089,0.4128898551835551,0.11940027772954775,15.283235549382113,128.0,0.46293619376013456,0.46700169859166135,-0.004065504831526789,-27.706926853496054,-27.462918548071375,0.24400830542467844
1.0,0.0,8.0,14.0,1.0,27.0,4.0,0.011227026110229089,0.4128898551835551,0.1265375194022777,64.78720993396618,512.0,0.02137586582862798,0.026958571380655508,-0.005582705552027528,0.8023326932389282,0.19619610038138952,-0.6061365928575386
1.0,0.0,8.0,14.0,1.0,28.0,1.0,0.011227026110229089,0.4128898551835551,0.2795969074749078,35.7884041567882,128.0,0.01771890546897175,0.012315693295391202,0.0054032121735805485,-0.11690535848284714,-0.5486330610547137,-0.43172770257186655
1.0,0.0,8.0,14.0,1.0,28.0,4.0,0.011227026110229089,0.4128898551835551,0.22626672580848542,115.84856361394453,512.0,0.008649514849955232,0.007726746868361619,0.0009227679815936125,0.8493325856896226,0.3388148368887046,-0.5105177488009179
1.0,0.0,8.0,14.0,1.0,29.0,1.0,0.011227026110229089,0.4128898551835551,0.23165503700048398,29.65184473606195,128.0,0.008678718905336733,0.0066371778561301375,0.0020415410492065954,1.0131826058329068,0.9357076811512551,-0.07747492468165162
1.0,0.0,8.0,14.0,1.0,29.0,4.0,0.011227026110229089,0.4128898551835551,0.25247508142805575,129.26724169116454,512.0,0.010426623839168618,0.009191243602845397,0.0012353802363232209,2.328828141914204,1.7026457956719026,-0.6261823462423015
1.0,0.0,8.0,14.0,1.0,30.0,1.0,0.011227026110229089,0.4128898551835551,0.05291201286004613,6.772737646085905,128.0,0.08616533707998422,0.004327710742973654,0.08183762633701057,-4.462221026618284,-0.11447812476698907,4.347742901851295
