threshold,mean_final_value,se_final_value,mean_ppo_fraction,se_ppo_fraction,frozen_redraw_oracle_agreement
0.01,0.4763360193349768,0.025326623890866547,0.0,0.0,0.8383333333333334
0.03,0.4931693467265867,0.02509732139485913,0.005,0.0009775188413389867,0.85375
0.05,0.4969127570500293,0.025001478816084704,0.013472222222222224,0.0021303157290351905,0.8633333333333333
0.1,0.5041527325627694,0.024055798302287577,0.031944444444444435,0.003500863912761786,0.88375
0.2,0.5122401410396997,0.022593231410296212,0.06805555555555556,0.005273050041507471,0.9054166666666666
0.4,0.5819949687339087,0.01980645246420165,0.13,0.006012104844721455,0.9241666666666667
0.6,0.600408044941005,0.01825794883932678,0.2345833333333333,0.007493437187659424,0.8820833333333333
0.8,0.6802571075603348,0.012719264809619022,0.44319444444444445,0.007161574657678534,0.7070833333333333
