state_id,state_order,replication,rollout_cycle,minibatch,trajectory,population_rho,mean_sample_rho,signal_sq,current_value,oracle_change,exact_raw_risk,exact_ppo_risk,oracle_ppo,raw_mse,raw_mse_se,raw_relative_mse,raw_mean_change,raw_harm_rate,ppo_mse,ppo_mse_se,ppo_relative_mse,ppo_mean_change,ppo_harm_rate
485.0,1.0,5.0,1.0,40.0,raw,0.28219594264867676,0.6746337374039559,0.04739439406080139,0.23342411050281145,0.008018920998224294,0.4873061478414748,0.3996293149108936,1.0,0.482985725418909,0.07484227098144339,10.190777516836603,0.004681328716773647,0.4,0.38919638571249626,0.06479645105153099,8.21186542047997,0.008636318743513232,0.175
125.0,2.0,1.0,11.0,40.0,raw,0.5265602755461736,0.8339629496439261,0.016092408560705852,0.6265753473498653,0.002688692359505529,2.076592104986838,1.798349493952443,1.0,0.60044400640268,0.13136287969015095,37.3122521801263,-0.0006851598009653375,0.575,0.4027439708531265,0.12868894680616835,25.02695412770835,0.00030806052117625106,0.3
869.0,3.0,9.0,1.0,40.0,raw,0.6612739020302316,0.7606771603093737,0.01287069077282909,0.3202002573280044,0.002169394029793159,0.5508439641518654,0.32805115788356654,1.0,0.5604029317045034,0.06895981335756024,43.54101435546509,0.0012145782688811446,0.35,0.3158331668163413,0.03055358159691959,24.53894452060699,0.001845748731252847,0.3
706.0,4.0,7.0,15.0,30.0,raw,0.7110142048943918,0.8543487750297721,0.013302383670046044,0.6704151671862844,0.0022180306174069964,1.371064078662029,1.261010163376102,1.0,1.026087412888627,0.42010793494969706,77.13560504191017,-0.0012389070136836684,0.6,0.9429468620021149,0.42472741932110436,70.88555595681831,-0.00043401170477000705,0.225
207.0,5.0,2.0,5.0,20.0,raw,0.7458345104539723,0.836561156832045,0.017884597392599545,0.4454012085215101,0.0029963260993097207,1.1150822507925595,0.9175349033989841,1.0,1.0355857647217839,0.43892846172764366,57.90377842949365,0.00019546821177670315,0.4,0.9041818521567103,0.4406375719419541,50.55645549677574,0.00043047271679009375,0.325
584.0,6.0,6.0,3.0,10.0,raw,0.7742029634707913,0.8763969058301969,0.010800960022943179,0.39563772435673716,0.001820251924467442,0.951765425140614,0.6638745335557877,1.0,1.553932723025039,0.7132124565144852,143.86987080076278,6.250990210672353e-05,0.275,1.3058519594372417,0.7088741714561019,120.90147141211315,-0.0003134098729531659,0.325
893.0,7.0,9.0,11.0,40.0,raw,0.8006353216298469,0.8764467964436864,0.017378552601734255,0.5348327419693156,0.0029340966039825833,0.6980485712717717,0.5736397939455735,1.0,0.4986904474557862,0.11763996100573156,28.6957411750171,0.0017984259443668243,0.25,0.3463471666283404,0.10891230047858623,19.929574951700953,0.0015316795250161276,0.15
111.0,8.0,1.0,5.0,20.0,raw,0.8181264977998904,0.9115106429166329,0.01198928056090105,0.46399401755794084,0.0020149982056504867,0.9010601610554461,0.5941475492277282,1.0,1.111605567147192,0.21188445648721352,92.71661977552803,-0.0013699218964067562,0.6,0.48118172165771805,0.14095385842315822,40.13432826210842,-0.0012939086359978439,0.525
909.0,9.0,9.0,25.0,20.0,raw,0.8394765069973272,0.9194849271765045,0.008465979436154944,0.6623099508478398,0.0014208738129174447,0.44738110732178543,0.32183501671706266,1.0,0.27253969978378095,0.06979952781505855,32.19234133972363,0.0013228096376422943,0.15,0.14997127815007041,0.05259456448799881,17.714580962670514,0.00043206142261975334,0.175
335.0,10.0,3.0,25.0,40.0,raw,0.857733522762476,0.9263316795008937,0.006583595703590911,0.7267673577856699,0.0011141432242897098,0.7606847672206493,0.6730114906747547,1.0,0.4113167467311175,0.1198127159624007,62.4760032738298,0.0005734353060923181,0.275,0.35916048602646305,0.119212389007868,54.55384902061423,0.0009945470357725582,0.2
