method,step,mean_value,value_se
ESS gated,13,0.6956286902144455,0.001990575718743942
ESS gated,14,0.7041905360027598,0.0018569029028993828
ESS gated,15,0.7120886800603502,0.001981524216188712
ESS gated,16,0.7192413196185515,0.0018543393849253882
ESS gated,17,0.7259127959764506,0.001956518579446069
ESS gated,18,0.7319911837471156,0.001852747103725436
ESS gated,19,0.7376771631920097,0.001931140615127099
ESS gated,20,0.7428855207557586,0.0018591635960898641
ESS gated,21,0.7476180532430577,0.0019081378833528183
ESS gated,22,0.7521097012288666,0.0018684331688599337
ESS gated,23,0.7561335972638429,0.0018985244986006026
ESS gated,24,0.7600700177188444,0.0018847125527756065
ESS gated,25,0.7635594788203998,0.0018842657787936387
ESS gated,26,0.7670366171873368,0.0018750708022732387
ESS gated,27,0.7701177639833926,0.0018659980168016963
ESS gated,28,0.7731868859342493,0.0018585683526373012
ESS gated,29,0.7758573725364611,0.0018578400019895766
ESS gated,30,0.7783215730024584,0.0018797519151752295
ESS gated,31,0.7809702532352162,0.001857758902055748
ESS gated,32,0.7829835133712695,0.0019037692728556242
ESS gated,33,0.7853571385630036,0.0018979146158864244
ESS gated,34,0.7873889190043767,0.001923140086532997
ESS gated,35,0.7891007982726083,0.0019314322557580676
ESS gate diagnostics,0,0.9903773236661892,1.0
ESS gate diagnostics,1,0.7999542163294008,1.0
ESS gate diagnostics,2,0.7902386227272582,1.0
ESS gate diagnostics,3,0.7437702590939911,1.0
ESS gate diagnostics,4,0.7217172498898784,1.0
ESS gate diagnostics,5,0.6885947902193604,1.0
ESS gate diagnostics,6,0.6683432452427436,1.0
ESS gate diagnostics,7,0.6442395726314867,1.0
ESS gate diagnostics,8,0.6275413584821814,1.0
ESS gate diagnostics,9,0.609682808035321,1.0
ESS gate diagnostics,10,0.5957105581956977,1.0
ESS gate diagnostics,11,0.5829056870176696,1.0
ESS gate diagnostics,12,0.5713384538856187,1.0
ESS gate diagnostics,13,0.5613365548054817,1.0
ESS gate diagnostics,14,0.5516441583739343,1.0
ESS gate diagnostics,15,0.543689518209448,1.0
ESS gate diagnostics,16,0.535455461056982,1.0
ESS gate diagnostics,17,0.5289503536253019,1.0
ESS gate diagnostics,18,0.5220202542752789,0.9666666666666667
ESS gate diagnostics,19,0.5168912101193054,0.9833333333333333
ESS gate diagnostics,20,0.5109142717886676,0.9666666666666667
ESS gate diagnostics,21,0.506488942952899,0.9666666666666667
ESS gate diagnostics,22,0.5014563888153315,0.95
