learning_rate,minibatches,minibatch_size,replications,raw_mean,raw_se,ppo_mean,ppo_se,oracle_mean,oracle_se,oracle_ppo_fraction,oracle_gain_vs_best_static,oracle_gain_vs_raw,oracle_gain_vs_ppo
1.0,8,75,8,0.6803582028478892,0.003136885667353352,0.6649668668341062,0.0020882206365213187,0.6795035133288797,0.0033967306223394804,0.2265625,-0.0008546895190094661,-0.0008546895190094661,0.014536646494773486
1.25,8,75,8,0.7072429955721338,0.004985870807242271,0.685979725884529,0.0030298458548757793,0.7076390710738943,0.002253336689637678,0.10416666666666666,0.00039607550176057327,0.00039607550176057327,0.021659345189365298
1.5,8,75,8,0.725250553949015,0.005928145857816692,0.6978404238638846,0.002850893583625477,0.7188908650631063,0.006865385440955593,0.2578125,-0.006359688885908765,-0.006359688885908765,0.021050441199221726
1.75,8,75,8,0.73310923292773,0.007987497487853603,0.7149890616809784,0.002651003922443532,0.7313937788211677,0.009118485344564211,0.2552083333333333,-0.0017154541065622642,-0.0017154541065622642,0.016404717140189318
2.0,8,75,8,0.6957075772476417,0.016987925251133934,0.7223327902345114,0.004220151971516448,0.7262890624335068,0.005924932000838086,0.3203125,0.003956272198995414,0.03058148518586512,0.003956272198995414
2.25,8,75,8,0.7010154718592745,0.031252716963631424,0.7141031400778326,0.00809046648687648,0.6709232630362112,0.0647157501945336,0.39322916666666663,-0.043179877041621406,-0.030092208823063293,-0.043179877041621406
2.5,8,75,8,0.5160051122573738,0.09570066268903976,0.6814089941687974,0.019234722831658627,0.7373083142630842,0.008200188783475648,0.5052083333333334,0.055899320094286775,0.2213032020057104,0.055899320094286775
1.0,12,50,8,0.7255398770386567,0.0050282735403346605,0.7077613829611802,0.00198061339898382,0.7079776759171682,0.0031311917837852617,0.6371527777777778,-0.01756220112148854,-0.01756220112148854,0.0002162929559880178
1.25,12,50,8,0.7484960411334927,0.0037889493909807996,0.7283453876500063,0.002744587667928756,0.7288880616455795,0.0018423774554147615,0.6961805555555556,-0.019607979487913152,-0.019607979487913152,0.000542673995573173
1.5,12,50,8,0.6716320762358667,0.03022827619082744,0.741516222980556,0.0018879500870811956,0.7433081811743452,0.003176981029251643,0.7118055555555556,0.0017919581937891893,0.07167610493847842,0.0017919581937891893
1.75,12,50,8,0.6068155741200993,0.07497105909676509,0.7473121675459642,0.004794097573647826,0.7550056992797729,0.004962532739129941,0.7395833333333333,0.007693531733808712,0.14819012515967356,0.007693531733808712
2.0,12,50,8,0.46789221519043966,0.09533190465244343,0.7156977250211638,0.02300304022432236,0.7400268500523703,0.0045902467898330445,0.7777777777777777,0.024329125031206544,0.2721346348619307,0.024329125031206544
2.25,12,50,8,0.3729826113682139,0.06636489645790852,0.6615204088829396,0.032930998927815106,0.6587177653150328,0.07973640727091875,0.796875,-0.0028026435679068262,0.28573515394681887,-0.0028026435679068262
2.5,12,50,8,0.290336465440246,0.0791950999434,0.6425643981636742,0.0559953263666452,0.6625465679721425,0.033328907104870034,0.8194444444444444,0.019982169808468342,0.3722101025318965,0.019982169808468342
1.0,20,30,8,0.5801533354302569,0.09360322507602432,0.7492648584165418,0.00273814637094811,0.7519483000076199,0.0021147617389154823,0.94375,0.0026834415910781395,0.17179496457736299,0.0026834415910781395
1.25,20,30,8,0.608328355707612,0.032530917021866,0.72913512140764,0.025046762630889067,0.7380432911868121,0.025948832493621714,0.94375,0.008908169779172082,0.1297149354792001,0.008908169779172082
1.5,20,30,8,0.3774529956420348,0.09461791660001231,0.5791293926240677,0.07183881048076594,0.6291397236342496,0.05154340842808609,0.9458333333333333,0.05001033101018193,0.2516867279922148,0.05001033101018193
1.75,20,30,8,0.3619801230066224,0.06627306103973876,0.4660944774704299,0.07403420969424358,0.5461129745745479,0.07300472135832123,0.9447916666666667,0.08001849710411796,0.18413285156792547,0.08001849710411796
2.0,20,30,8,0.3612643492865977,0.06802924887414491,0.4322950988080211,0.07992818301997419,0.4313012913352918,0.07962611379296573,0.9083333333333333,-0.0009938074727292578,0.07003694204869415,-0.0009938074727292578
2.25,20,30,8,0.3845126306016695,0.0687492525724026,0.4869560809276321,0.040854293654348485,0.4855840890441031,0.04047425431580726,0.9468749999999999,-0.001371991883528989,0.10107145844243359,-0.001371991883528989
2.5,20,30,8,0.13623786415425945,0.017045873317773772,0.3901964865104601,0.07562696404062767,0.38340974582440324,0.07890303406785097,0.871875,-0.006786740686056891,0.24717188167014378,-0.006786740686056891
