iteration,raw_mean,raw_se,ppo_mean,ppo_se,oracle_mean,oracle_se,raw_relative_improvement,ppo_relative_improvement,oracle_relative_improvement
0.0,0.2640919518416433,4.463264492478967e-17,0.2640919518416433,4.463264492478967e-17,0.2640919518416433,4.463264492478967e-17,-1.681570402858584e-13,-1.681570402858584e-13,-1.681570402858584e-13
1.0,0.31213503035032575,0.0014846079884773833,0.30343716837051926,0.0004992162950784855,0.30343716837051926,0.0004992162950784855,18.19179955074506,14.898301994627957,14.898301994627957
2.0,0.36292495548168924,0.0021267547261678973,0.3455325717761346,0.0007908698295973146,0.3455325717761346,0.0007908698295973146,37.42370903423376,30.837978729213503,30.837978729213503
3.0,0.40676330405548233,0.002915720957744625,0.38860394604798754,0.0009702484566222554,0.38860394604798754,0.0009702484566222554,54.02336240045208,47.14721268030324,47.14721268030324
4.0,0.4484396849162085,0.002589020870929667,0.4305885991375169,0.0011140060375657696,0.4305885991375169,0.0011140060375657696,69.8043737376383,63.04495314408853,63.04495314408853
5.0,0.4770093874344932,0.004871680986678119,0.468057895092225,0.0011205547532392023,0.468057895092225,0.0011205547532392023,80.62246278543172,77.23292657281901,77.23292657281901
6.0,0.5098802575048813,0.0037294326582377525,0.4993933512038244,0.0012533724555215963,0.4993933512038244,0.0012533724555215963,93.06921469936293,89.09828479107661,89.09828479107661
7.0,0.5363134453780386,0.0038916251782449437,0.529200558092817,0.0012198796058190985,0.529200558092817,0.0012198796058190985,103.07829967481393,100.38496228394688,100.38496228394688
8.0,0.5602664881972885,0.0031295035184759983,0.5545562150297991,0.0012336904804032883,0.5545562150297991,0.0012336904804032883,112.14826286460958,109.98603371386537,109.98603371386537
9.0,0.5785826420466171,0.003208787341215471,0.5769471213151255,0.0011745984330140654,0.5769471213151255,0.0011745984330140654,119.08378426978722,118.4644845447913,118.4644845447913
10.0,0.5875547462815699,0.006201499395089219,0.5964041464771586,0.0014744061431748532,0.5964041464771586,0.0014744061431748532,122.48112529907108,125.83200370860891,125.83200370860891
11.0,0.6074192298417134,0.006075389815774658,0.614090741074051,0.0012904360817205427,0.614090741074051,0.0012904360817205427,130.00293102681803,132.52913873054166,132.52913873054166
12.0,0.6190439323933163,0.006234751066986901,0.6307667239791482,0.0012718774122664426,0.6307667239791482,0.0012718774122664426,134.4046943030323,138.84359957980547,138.84359957980547
13.0,0.6286041869100646,0.008227943108167067,0.6442671446234588,0.001448678970567602,0.6442671446234588,0.001448678970567602,138.02474196070602,143.95561475109918,143.95561475109918
14.0,0.6416320541780004,0.006703248669071194,0.6561999062312078,0.001552544223212243,0.6561999062312078,0.001552544223212243,142.95782196450247,148.4740264348086,148.4740264348086
15.0,0.6475851770582643,0.007305996116623184,0.6674766783791842,0.001509707187867177,0.6674766783791842,0.001509707187867177,145.21200761414073,152.7440437788957,152.7440437788957
16.0,0.6641842130144453,0.006844700897038274,0.6784025971521536,0.0017917294372004002,0.6784025971521536,0.0017917294372004002,151.4973320401324,156.88120839022804,156.88120839022804
17.0,0.6716512183338996,0.008082567922189615,0.68917350313073,0.0017358585167981766,0.68917350313073,0.0017358585167981766,154.3247583465318,160.9596764781291,160.9596764781291
18.0,0.6761460151212682,0.00852673589220706,0.6975177469632119,0.0019368804289651327,0.6975177469632119,0.0019368804289651327,156.02674008282636,164.11927440388692,164.11927440388692
19.0,0.6759423883214118,0.010266670805437632,0.706117137064006,0.002091806355491638,0.706117137064006,0.002091806355491638,155.9496355749319,167.3754849929739,167.3754849929739
20.0,0.6846642597150654,0.01024315461401171,0.7152065992131602,0.0021483190902638716,0.7152065992131602,0.0021483190902638716,159.25222443946626,170.81726429967708,170.81726429967708
21.0,0.6866592254259994,0.010448279337364912,0.7236542669853319,0.002090096551831775,0.7236542669853319,0.002090096551831775,160.00763015971717,174.01602431991316,174.01602431991316
22.0,0.6922365123449559,0.011139681866951516,0.7319215459453087,0.002128608297582829,0.7319215459453087,0.002128608297582829,162.11950327060268,177.14647903552452,177.14647903552452
23.0,0.702832362532503,0.009898350215640658,0.7362469682072477,0.0022122748110578686,0.7362469682072477,0.0022122748110578686,166.13168543429873,178.78432609287543,178.78432609287543
24.0,0.7099642760599931,0.009606395138102972,0.7410250519295037,0.0021799446225925986,0.7410250519295037,0.0021799446225925986,168.83222722580572,180.59357612451637,180.59357612451637
25.0,0.7162045007072009,0.009652822497542377,0.747606373649697,0.00209232843941578,0.747606373649697,0.00209232843941578,171.19512567980692,183.08563302905222,183.08563302905222
