state_id,state_order,redraw,trajectory,population_rho,sample_rho,signal_sq,oracle_ppo,estimator,error_sq,relative_error,reward_change
1287.0,1.0,0.0,raw,2.4352792588476447e-08,0.12827061704281123,0.006362228960252248,1.0,raw,0.006362650575217182,1.000066268436356,-3.5836350414930607e-08
1287.0,1.0,0.0,raw,2.4352792588476447e-08,0.12827061704281123,0.006362228960252248,1.0,ppo,0.006362224758483955,0.9999993395760638,3.5715036483807694e-10
1287.0,1.0,1.0,raw,2.4352792588476447e-08,0.0845137432470759,0.006362228960252248,1.0,raw,0.006060075563225349,0.9525082484590559,2.7338461848464002e-05
1287.0,1.0,1.0,raw,2.4352792588476447e-08,0.0845137432470759,0.006362228960252248,1.0,ppo,0.006059914766795818,0.952482974859106,2.7352471175662307e-05
1287.0,1.0,2.0,raw,2.4352792588476447e-08,0.057355617797555984,0.006362228960252248,1.0,raw,0.006362774928051297,1.0000858139187476,-4.6405726983334006e-08
1287.0,1.0,2.0,raw,2.4352792588476447e-08,0.057355617797555984,0.006362228960252248,1.0,ppo,0.006362215172392496,0.999997832857032,1.171969132851558e-09
1287.0,1.0,3.0,raw,2.4352792588476447e-08,0.03876494600655075,0.006362228960252248,1.0,raw,0.006362699734883121,1.0000739952356028,-4.0014634244966985e-08
1287.0,1.0,3.0,raw,2.4352792588476447e-08,0.03876494600655075,0.006362228960252248,1.0,ppo,0.006362213403742728,0.9999975548648725,1.3223043493493236e-09
1287.0,1.0,4.0,raw,2.4352792588476447e-08,0.09717679066668952,0.006362228960252248,1.0,raw,0.006271636709929189,0.9857609257873254,7.840198313291413e-06
1287.0,1.0,4.0,raw,2.4352792588476447e-08,0.09717679066668952,0.006362228960252248,1.0,ppo,0.00627055256957231,0.9855905231872851,7.93289708583833e-06
1287.0,1.0,5.0,raw,2.4352792588476447e-08,0.05653096416026519,0.006362228960252248,1.0,raw,0.006359791724203232,0.9996169210406852,2.0727497290762287e-07
1287.0,1.0,5.0,raw,2.4352792588476447e-08,0.05653096416026519,0.006362228960252248,1.0,ppo,0.006359698538777839,0.9996022743773891,2.151972504083055e-07
1287.0,1.0,6.0,raw,2.4352792588476447e-08,0.1466708916197012,0.006362228960252248,1.0,raw,0.006286267177556228,0.9880605078549377,6.559075318629537e-06
1287.0,1.0,6.0,raw,2.4352792588476447e-08,0.1466708916197012,0.006362228960252248,1.0,ppo,0.0062860310153747215,0.9880233884455323,6.5792576452172735e-06
1287.0,1.0,7.0,raw,2.4352792588476447e-08,0.07356699726718893,0.006362228960252248,1.0,raw,0.0052541158382893235,0.8258294178210477,0.00012869835557044462
1287.0,1.0,7.0,raw,2.4352792588476447e-08,0.07356699726718893,0.006362228960252248,1.0,ppo,0.0052538860673146765,0.8257933029663196,0.00012871998529309647
1287.0,1.0,8.0,raw,2.4352792588476447e-08,0.09964603326540973,0.006362228960252248,1.0,raw,0.006363412876692554,1.0001860851672744,-1.0062420469081346e-07
1287.0,1.0,8.0,raw,2.4352792588476447e-08,0.09964603326540973,0.006362228960252248,1.0,ppo,0.006362228840072981,0.999999981110509,1.0215217560727297e-11
1287.0,1.0,9.0,raw,2.4352792588476447e-08,0.11582009041601724,0.006362228960252248,1.0,raw,0.006359922868915304,0.9996375340542833,1.9611232515703847e-07
1287.0,1.0,9.0,raw,2.4352792588476447e-08,0.11582009041601724,0.006362228960252248,1.0,ppo,0.006359715420707627,0.9996049278389187,2.137484934605638e-07
1287.0,1.0,10.0,raw,2.4352792588476447e-08,0.08318450788614315,0.006362228960252248,1.0,raw,0.006362977251948174,1.0001176147071413,-6.360206039612848e-08
1287.0,1.0,10.0,raw,2.4352792588476447e-08,0.08318450788614315,0.006362228960252248,1.0,ppo,0.006362227310773317,0.9999997407388289,1.4020570815453937e-10
1287.0,1.0,11.0,raw,2.4352792588476447e-08,0.0614139913282821,0.006362228960252248,1.0,raw,0.006365880243255851,1.0005738999690854,-3.1020609533860544e-07
1287.0,1.0,11.0,raw,2.4352792588476447e-08,0.0614139913282821,0.006362228960252248,1.0,ppo,0.006362228629392842,0.9999999479963063,2.8123031681204225e-11
