method,paired_gain_vs_raw,paired_gain_vs_raw_se
raw,0.0,0.0
ppo,0.2472539037822781,0.025797728819656047
mse_oracle,0.24990909284729004,0.02667944495728319
ess_0.80,0.20392108822535795,0.028147410090514427
