method,final_population_reward,final_population_reward_se,median_final_population_reward,p10_final_population_reward,lower_tail_mean_final_population_reward,final_relative_improvement_pct,final_relative_improvement_pct_se,paired_difference_from_raw,paired_difference_from_raw_se,paired_win_rate_vs_raw_pct,paired_difference_from_ppo,paired_difference_from_ppo_se,paired_difference_from_fitted,paired_difference_from_fitted_se,paired_win_rate_vs_fitted_pct,mean_gate_raw_updates,mean_gate_masked_updates,mean_minibatch_ess,mean_minimum_minibatch_ess,replications,rollout_batches,minibatches_per_rollout,optimization_epochs,prompts_per_rollout,responses_per_prompt,response_tokens,policy_learning_rate,ppo_epsilon,ess_threshold,sequences_per_update,responses_per_rollout
Raw,0.46055531238892927,0.00977296164335625,0.4997860367887835,0.3518515989988375,0.2087725282242424,380.91627506738473,10.205020295000494,0.0,0.0,0.0,0.0567587482711387,0.009780586089778125,-0.035556257694351896,0.009763071871993687,71.0,0.0,0.0,0.726803395095967,0.010294702446005005,100.0,8.0,16.0,4.0,512.0,16.0,16.0,3.0,0.2,,512.0,8192.0
PPO masked,0.40379656411779047,0.0005481543475181616,0.40364762345651567,0.3981969186260531,0.39412044715302735,321.64824566510464,0.5723880278419384,-0.0567587482711387,0.009780586089778125,16.0,0.0,0.0,-0.0923150059654906,0.0005904406719877623,0.0,0.0,0.0,0.9434877478075466,0.8511878122673948,100.0,8.0,16.0,4.0,512.0,16.0,16.0,3.0,0.2,,512.0,8192.0
ESS fitted,0.49611157008328105,0.0003031798227131666,0.4960581704633982,0.49331216774361747,0.4907121625248564,418.0444604247681,0.3165832791256087,0.035556257694351896,0.009763071871993687,28.999999999999996,0.0923150059654906,0.0005904406719877623,0.0,0.0,0.0,450.28,61.72,0.7444405062578621,0.08053208232074274,100.0,8.0,16.0,4.0,512.0,16.0,16.0,3.0,0.2,0.41698081898431194,512.0,8192.0
ESS count transfer,0.4928475722914903,0.004989484446817712,0.49800210983807647,0.49417298453595054,0.44161527972193315,414.6361626207237,5.210067520931942,0.032292259902561155,0.00855098762430625,30.0,0.08905100817369985,0.005008752964437429,-0.003263997791790746,0.004982818947749351,80.0,476.61,35.39,0.7480923184396673,0.02960875693376029,100.0,8.0,16.0,4.0,512.0,16.0,16.0,3.0,0.2,0.25000025,512.0,8192.0
ESS fixed 0.1,0.4940125224251449,0.005015011945996367,0.4997943483941488,0.49543369873575754,0.4387956014669424,415.8526147250549,5.236723580446499,0.033457210036215705,0.008559592360581096,34.0,0.0902159583073544,0.005034300767956827,-0.0020990476581361915,0.005006620201874077,90.0,495.13,16.87,0.7441336150880521,0.015518817913867557,100.0,8.0,16.0,4.0,512.0,16.0,16.0,3.0,0.2,0.1,512.0,8192.0
