checkpoint_id,selection_bin,blocks_per_estimator,sequences_per_estimator,population_sequence_ess,method,selected_ppo,agrees_with_formula_oracle,heldout_gradient_mse,evaluation_draws
4.0,1.0,1.0,128.0,0.0020349211003165353,Raw,0.0,0.0,0.07745588448122835,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,PPO masked,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,Formula oracle,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,Fitted ESS,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,Effective-count transfer,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,1.0,128.0,0.0020349211003165353,Fixed ESS 0.1,1.0,1.0,0.06587161983784869,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Raw,0.0,0.0,0.030790561332962284,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,PPO masked,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Formula oracle,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Fitted ESS,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Effective-count transfer,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,2.0,256.0,0.0020349211003165353,Fixed ESS 0.1,1.0,1.0,0.023773202643610433,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,Raw,0.0,0.0,0.016172006849483042,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,PPO masked,1.0,1.0,0.012349684379675105,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,Formula oracle,1.0,1.0,0.012349684379675105,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,Fitted ESS,1.0,1.0,0.012349684379675105,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,Effective-count transfer,1.0,1.0,0.012349684379675105,100.0
4.0,1.0,4.0,512.0,0.0020349211003165353,Fixed ESS 0.1,1.0,1.0,0.012349684379675105,100.0
4.0,1.0,8.0,1024.0,0.0020349211003165353,Raw,0.0,0.0,0.030010496610742045,100.0
4.0,1.0,8.0,1024.0,0.0020349211003165353,PPO masked,1.0,1.0,0.02806698068961119,100.0
4.0,1.0,8.0,1024.0,0.0020349211003165353,Formula oracle,1.0,1.0,0.02806698068961119,100.0
4.0,1.0,8.0,1024.0,0.0020349211003165353,Fitted ESS,0.0,0.0,0.030010496610742045,100.0
4.0,1.0,8.0,1024.0,0.0020349211003165353,Effective-count transfer,1.0,1.0,0.02806698068961119,100.0
4.0,1.0,8.0,1024.0,0.0020349211003165353,Fixed ESS 0.1,1.0,1.0,0.02806698068961119,100.0
6.0,1.0,1.0,128.0,0.017426085246850555,Raw,0.0,0.0,0.10868213288305589,100.0
6.0,1.0,1.0,128.0,0.017426085246850555,PPO masked,1.0,1.0,0.004647151181155041,100.0
6.0,1.0,1.0,128.0,0.017426085246850555,Formula oracle,1.0,1.0,0.004647151181155041,100.0
6.0,1.0,1.0,128.0,0.017426085246850555,Fitted ESS,1.0,1.0,0.004647151181155041,100.0
6.0,1.0,1.0,128.0,0.017426085246850555,Effective-count transfer,1.0,1.0,0.004647151181155041,100.0
6.0,1.0,1.0,128.0,0.017426085246850555,Fixed ESS 0.1,1.0,1.0,0.004647151181155041,100.0
6.0,1.0,2.0,256.0,0.017426085246850555,Raw,0.0,0.0,0.09381864690434957,100.0
6.0,1.0,2.0,256.0,0.017426085246850555,PPO masked,1.0,1.0,0.0038508892771041197,100.0
6.0,1.0,2.0,256.0,0.017426085246850555,Formula oracle,1.0,1.0,0.0038508892771041197,100.0
6.0,1.0,2.0,256.0,0.017426085246850555,Fitted ESS,1.0,1.0,0.0038508892771041197,100.0
6.0,1.0,2.0,256.0,0.017426085246850555,Effective-count transfer,1.0,1.0,0.0038508892771041197,100.0
6.0,1.0,2.0,256.0,0.017426085246850555,Fixed ESS 0.1,1.0,1.0,0.0038508892771041197,100.0
6.0,1.0,4.0,512.0,0.017426085246850555,Raw,0.0,0.0,0.045036535865963144,100.0
6.0,1.0,4.0,512.0,0.017426085246850555,PPO masked,1.0,1.0,0.0035711352670133633,100.0
