bin,relative_error_left,relative_error_right,relative_error_median,count,mean_change,change_se,harm_rate
0.0,0.0,0.25,0.23223852941405412,5.0,0.009107641910408438,0.0008294098741291146,0.0
1.0,0.25,0.5,0.3673244636847225,47.0,0.008191888381591886,0.00031455893167326603,0.0
2.0,0.5,1.0,0.7771320042398747,109.0,0.005400309705739943,0.0003167110704062922,0.0
3.0,1.0,2.0,1.33365861906064,122.0,0.004844399586457122,0.0003135162660613666,0.02459016393442623
4.0,2.0,4.0,2.5274894589202024,38.0,0.0034280073031120496,0.0005421840997009969,0.05263157894736842
5.0,4.0,inf,6.775889603002409,39.0,0.004115163650404203,0.001136221618105813,0.1282051282051282
